Leftist	leftist	Leftist
indoctrination	indoctrin	indoctrination
for	for	for
toddlers	toddler	toddler
How	how	How
I	i	I
wish	wish	wish
this	this	this
wasn	wasn	wasn
t	t	t
a	a	a
true	true	true
story	stori	story
A	a	A
three	three	three
-year-old	-year-old	-year-old
named	name	named
Lee	lee	Lee
defends	defend	defends
the	the	the
abortion	abort	abortion
of	of	of
his	his	his
sister	sister	sister
in	in	in
a	a	a
new	new	new
children	children	child
s	s	s
book	book	book
by	by	by
an	an	an
author	author	author
with	with	with
her	her	her
own	own	own
ghost	ghost	ghost
sister	sister	sister
.	.	.
Sister	sister	Sister
Apple	appl	Apple
,	,	,
Sister	sister	Sister
Pig	pig	Pig
by	by	by
Mary	mari	Mary
Walling	wall	Walling
Blackburn	blackburn	Blackburn
focuses	focus	focus
on	on	on
an	an	an
adult	adult	adult
topic	topic	topic
abortion	abort	abortion
.	.	.
The	the	The
story	stori	story
follows	follow	follows
Lee	lee	Lee
as	as	a
he	he	he
or	or	or
she	she	she
,	,	,
as	as	a
the	the	the
author	author	author
stressed	stress	stressed
searches	search	search
for	for	for
his	his	his
sister	sister	sister
who	who	who
might	might	might
be	be	be
an	an	an
apple	appl	apple
,	,	,
a	a	a
pig	pig	pig
,	,	,
or	or	or
somewhere	somewher	somewhere
in	in	in
a	a	a
tree	tree	tree
.	.	.
Lee	lee	Lee
later	later	later
decides	decid	decides
Sister	sister	Sister
is	is	is
a	a	a
happy	happi	happy
ghost	ghost	ghost
!	!	!
and	and	and
explicitly	explicit	explicitly
says	say	say
he	he	he
s	s	s
glad	glad	glad
Sister	sister	Sister
isn	isn	isn
t	t	t
around	around	around
to	to	to
inconvenience	inconveni	inconvenience
his	his	his
parents	parent	parent
.	.	.
The	the	The
free	free	free
e	e	e
-book	-book	-book
is	is	is
available	avail	available
on	on	on
art	art	art
publishing	publish	publishing
platform	platform	platform
e	e	e
-flux	-flux	-flux
,	,	,
The	the	The
Blaze	blaze	Blaze
reported	report	reported
.	.	.
The	the	The
author	author	author
,	,	,
Walling	wall	Walling
Blackburn	blackburn	Blackburn
,	,	,
is	is	is
assistant	assist	assistant
professor	professor	professor
of	of	of
art	art	art
at	at	at
Southern	southern	Southern
Methodist	methodist	Methodist
University	univers	University
s	s	s
Meadows	meadow	Meadows
School	school	School
of	of	of
the	the	the
