About	about	About
163	163	163
Trump	trump	Trump
scandals	scandal	scandal
ago	ago	ago
,	,	,
Rep	rep	Rep
.	.	.
Devin	devin	Devin
Nunes	nune	Nunes
R	r	R
-CA	-ca	-CA
recused	recus	recused
himself	himself	himself
from	from	from
the	the	the
House	hous	House
Russian	russian	Russian
investigation	investig	investigation
for	for	for
feeding	feed	feeding
information	inform	information
to	to	to
Donald	donald	Donald
Trump	trump	Trump
.	.	.
A	a	A
report	report	report
from	from	from
CNN	cnn	CNN
,	,	,
though	though	though
,	,	,
shows	show	show
that	that	that
he	he	he
s	s	s
still	still	still
receiving	receiv	receiving
intelligence	intellig	intelligence
.	.	.
As	as	As
you	you	you
may	may	may
recall	recal	recall
,	,	,
just	just	just
a	a	a
few	few	few
weeks	week	week
ago	ago	ago
,	,	,
Nunes	nune	Nunes
came	came	came
under	under	under
fire	fire	fire
for	for	for
visiting	visit	visiting
the	the	the
White	white	White
House	hous	House
grounds	ground	ground
after	after	after
learning	learn	learning
that	that	that
Donald	donald	Donald
Trump	trump	Trump
may	may	may
have	have	have
been	been	been
swept	swept	swept
up	up	up
in	in	in
surveillance	surveil	surveillance
before	befor	before
he	he	he
took	took	took
office	offic	office
.	.	.
Nunes	nune	Nunes
denies	deni	denies
that	that	that
he	he	he
delivered	deliv	delivered
the	the	the
intel	intel	intel
to	to	to
Trump	trump	Trump
but	but	but
nonetheless	nonetheless	nonetheless
,	,	,
he	he	he
recused	recus	recused
himself	himself	himself
from	from	from
the	the	the
investigation	investig	investigation
at	at	at
least	least	least
he	he	he
appeared	appear	appeared
,	,	,
until	until	until
now	now	now
,	,	,
to	to	to
have	have	have
recused	recus	recused
himself	himself	himself
.	.	.
Nunes	nune	Nunes
,	,	,
a	a	a
California	california	California
Republican	republican	Republican
,	,	,
took	took	took
a	a	a
trip	trip	trip
to	to	to
the	the	the
CIA	cia	CIA
this	this	this
week	week	week
to	to	to
review	review	review
Russia	russia	Russia
intelligence	intellig	intelligence
,	,	,
according	accord	according
to	to	to
House	hous	House
intelligence	intellig	intelligence
committee	committe	committee
sources	sourc	source
.	.	.
As	as	As
word	word	word
of	of	of
Nunes	nune	Nunes
trip	trip	trip
trickled	trickl	trickled
out	out	out
among	among	among
lawmakers	lawmak	lawmaker
this	this	this
week	week	week
,	,	,
it	it	it
angered	anger	angered
Democrats	democrat	Democrats
who	who	who
thought	thought	thought
that	that	that
they	they	they
had	had	had
moved	move	moved
past	past	past
the	the	the
chaos	chao	chaos
spurred	spur	spurred
by	by	by
Nunes	nune	Nunes
coordination	coordin	coordination
with	with	with
the	the	the
White	white	White
House	hous	House
.	.	.
Rep	rep	Rep
.	.	.
Mike	mike	Mike
Quigley	quigley	Quigley
,	,	,
an	an	an
Illinois	illinoi	Illinois
Democrat	democrat	Democrat
on	on	on
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
,	,	,
shrugged	shrug	shrugged
when	when	when
asked	ask	asked
if	if	if
he	he	he
was	was	wa
concerned	concern	concerned
that	that	that
Nunes	nune	Nunes
had	had	had
not	not	not
completely	complet	completely
removed	remov	removed
himself	himself	himself
