Bill	bill	Bill
Maher	maher	Maher
literally	liter	literally
called	call	called
bullshit	bullshit	bullshit
when	when	when
a	a	a
Donald	donald	Donald
Trump	trump	Trump
supporter	support	supporter
insisted	insist	insisted
that	that	that
Russia	russia	Russia
did	did	did
not	not	not
interfere	interfer	interfere
with	with	with
the	the	the
2016	2016	2016
Election	elect	Election
.	.	.
Racist	racist	Racist
CNN	cnn	CNN
pundit	pundit	pundit
Jeffrey	jeffrey	Jeffrey
Lord	lord	Lord
has	has	ha
made	made	made
every	everi	every
excuse	excus	excuse
in	in	in
the	the	the
book	book	book
to	to	to
defend	defend	defend
Trump	trump	Trump
and	and	and
he	he	he
brought	brought	brought
the	the	the
excuses	excus	excuse
to	to	to
Real	real	Real
Time	time	Time
on	on	on
Friday	friday	Friday
night	night	night
when	when	when
he	he	he
attempted	attempt	attempted
to	to	to
spin	spin	spin
the	the	the
Russia	russia	Russia
scandal	scandal	scandal
by	by	by
claiming	claim	claiming
that	that	that
Russia	russia	Russia
did	did	did
nothing	noth	nothing
to	to	to
help	help	help
Trump	trump	Trump
to	to	to
begin	begin	begin
with	with	with
.	.	.
Maher	maher	Maher
was	was	wa
not	not	not
in	in	in
the	the	the
mood	mood	mood
for	for	for
bullshit	bullshit	bullshit
on	on	on
this	this	this
night	night	night
as	as	a
he	he	he
called	call	called
Lord	lord	Lord
out	out	out
for	for	for
supporting	support	supporting
a	a	a
vulgar	vulgar	vulgar
human	human	human
being	be	being
.	.	.
Lord	lord	Lord
threw	threw	threw
out	out	out
a	a	a
false	fals	false
equivalency	equival	equivalency
by	by	by
comparing	compar	comparing
everything	everyth	everything
Trump	trump	Trump
has	has	ha
said	said	said
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
accurate	accur	accurate
assessment	assess	assessment
of	of	of
Trump	trump	Trump
supporters	support	supporter
as	as	a
deplorable	deplor	deplorable
people	peopl	people
.	.	.
Apparently	appar	Apparently
,	,	,
Clinton	clinton	Clinton
s	s	s
one	one	one
comment	comment	comment
magically	magic	magically
makes	make	make
every	everi	every
truly	truli	truly
horrible	horribl	horrible
thing	thing	thing
Trump	trump	Trump
said	said	said
disappear	disappear	disappear
.	.	.
Lord	lord	Lord
then	then	then
tried	tri	tried
to	to	to
claim	claim	claim
that	that	that
Russia	russia	Russia
did	did	did
not	not	not
influence	influenc	influence
the	the	the
election	elect	election
simply	simpli	simply
because	becaus	because
they	they	they
allegedly	alleg	allegedly
did	did	did
not	not	not
hack	hack	hack
any	ani	any
voting	vote	voting
machines	machin	machine
.	.	.
That	that	That
s	s	s
when	when	when
Maher	maher	Maher
pounced	pounc	pounced
.	.	.
Don	don	Don
t	t	t
bullsh	bullsh	bullsh
t	t	t
me	me	me
!	!	!
Maher	maher	Maher
responded	respond	responded
before	befor	before
going	go	going
over	over	over
the	the	the
fact	fact	fact
that	that	that
17	17	17
intelligence	intellig	intelligence
agencies	agenc	agency
agree	agre	agree
that	that	that
Russia	russia	Russia
interfered	interf	interfered
in	in	in
our	our	our
election	elect	election
process	process	process
by	by	by
hacking	hack	hacking
the	the	the
DNC	dnc	DNC
and	and	and
Clinton	clinton	Clinton
campaign	campaign	campaign
officials	offici	official
.	.	.
Russia	russia	Russia
also	also	also
spread	spread	spread
propaganda	propaganda	propaganda
and	and	and
misinformation	misinform	misinformation
to	to	to
help	help	help
Trump	trump	Trump
.	.	.
Maher	maher	Maher
even	even	even
mentioned	mention	mentioned
that	that	that
we	we	we
could	could	could
find	find	find
out	out	out
a	a	a
whole	whole	whole
lot	lot	lot
more	more	more
about	about	about
Trump	trump	Trump
s	s	s
deep	deep	deep
ties	tie	tie
to	to	to
Russia	russia	Russia
if	if	if
he	he	he
were	were	were
forced	forc	forced
to	to	to
release	releas	release
his	his	his
taxes	tax	tax
.	.	.
Lord	lord	Lord
then	then	then
parroted	parrot	parroted
Trump	trump	Trump
by	by	by
calling	call	calling
for	for	for
an	an	an
investigation	investig	investigation
into	into	into
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
for	for	for
also	also	also
meeting	meet	meeting
with	with	with
the	the	the
Russian	russian	Russian
ambassador	ambassador	ambassador
,	,	,
even	even	even
though	though	though
Pelosi	pelosi	Pelosi
s	s	s
meeting	meet	meeting
was	was	wa
not	not	not
a	a	a
secret	secret	secret
and	and	and
Russia	russia	Russia
did	did	did
not	not	not
influence	influenc	influence
her	her	her
election	elect	election
results	result	result
.	.	.
Russians	russian	Russians
didn	didn	didn
t	t	t
hack	hack	hack
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
s	s	s
election	elect	election
,	,	,
Maher	maher	Maher
shot	shot	shot
back	back	back
.	.	.
They	they	They
hacked	hack	hacked
our	our	our
election	elect	election
,	,	,
all	all	all
of	of	of
our	our	our
intelligence	intellig	intelligence
agencies	agenc	agency
said	said	said
for	for	for
one	one	one
side	side	side
to	to	to
win	win	win
,	,	,
your	your	your
side	side	side
.	.	.
Are	are	Are
you	you	you
telling	tell	telling
me	me	me
if	if	if
it	it	it
had	had	had
worked	work	worked
out	out	out
the	the	the
other	other	other
way	way	way
and	and	and
they	they	they
were	were	were
only	onli	only
hacking	hack	hacking
the	the	the
Republicans	republican	Republicans
to	to	to
get	get	get
Hilary	hilari	Hilary
elected	elect	elected
you	you	you
d	d	d
let	let	let
it	it	it
slide	slide	slide
?	?	?
Lord	lord	Lord
tried	tri	tried
to	to	to
get	get	get
away	away	away
not	not	not
answering	answer	answering
for	for	for
this	this	this
hypocrisy	hypocrisi	hypocrisy
.	.	.
After	after	After
all	all	all
,	,	,
Republicans	republican	Republicans
would	would	would
definitely	definit	definitely
be	be	be
endlessly	endless	endlessly
investigating	investig	investigating
Clinton	clinton	Clinton
if	if	if
she	she	she
had	had	had
won	won	won
the	the	the
election	elect	election
with	with	with
Russia	russia	Russia
s	s	s
aid	aid	aid
.	.	.
But	but	But
Maher	maher	Maher
forced	forc	forced
Lord	lord	Lord
to	to	to
answer	answer	answer
and	and	and
he	he	he
conceded	conced	conceded
that	that	that
Republicans	republican	Republicans
are	are	are
hypocrites	hypocrit	hypocrite
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
Donald	donald	Donald
Trump	trump	Trump
s	s	s
staunchest	staunchest	staunchest
defenders	defend	defender
should	should	should
be	be	be
ashamed	asham	ashamed
of	of	of
themselves	themselv	themselves
.	.	.
They	they	They
should	should	should
be	be	be
ashamed	asham	ashamed
as	as	a
Americans	american	Americans
and	and	and
as	as	a
human	human	human
beings	be	being
.	.	.
They	they	They
are	are	are
literally	liter	literally
defending	defend	defending
a	a	a
man	man	man
who	who	who
cares	care	care
more	more	more
about	about	about
himself	himself	himself
and	and	and
his	his	his
own	own	own
image	imag	image
than	than	than
he	he	he
does	doe	doe
about	about	about
this	this	this
country	countri	country
and	and	and
our	our	our
collective	collect	collective
future	futur	future
.	.	.
This	this	This
Russia	russia	Russia
scandal	scandal	scandal
is	is	is
enough	enough	enough
to	to	to
get	get	get
Trump	trump	Trump
impeached	impeach	impeached
and	and	and
he	he	he
should	should	should
be	be	be
ousted	oust	ousted
before	befor	before
he	he	he
can	can	can
do	do	do
more	more	more
damage	damag	damage
to	to	to
this	this	this
nation	nation	nation
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot
