Not	not	Not
holding	hold	holding
back	back	back
one	one	one
bit	bit	bit
after	after	after
her	her	her
absolute	absolut	absolute
victory	victori	victory
in	in	in
South	south	South
Carolina	carolina	Carolina
over	over	over
Senator	senat	Senator
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
focused	focus	focused
on	on	on
the	the	the
end	end	end
goal	goal	goal
and	and	and
what	what	what
is	is	is
best	best	best
for	for	for
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
as	as	a
a	a	a
whole	whole	whole
.	.	.

She	she	She
knows	know	know
that	that	that
in	in	in
order	order	order
to	to	to
really	realli	really
bring	bring	bring
the	the	the
change	chang	change
that	that	that
is	is	is
needed	need	needed
to	to	to
progress	progress	progress
the	the	the
nation	nation	nation
forward	forward	forward
,	,	,
we	we	we
don	don	don
t	t	t
need	need	need
to	to	to
make	make	make
America	america	America
great	great	great
again	again	again
,	,	,
because	becaus	because
it	it	it
s	s	s
already	alreadi	already
pretty	pretti	pretty
damn	damn	damn
fantastic	fantast	fantastic
.	.	.

Rather	rather	Rather
,	,	,
we	we	we
need	need	need
to	to	to
focus	focus	focus
on	on	on
coming	come	coming
together	togeth	together
and	and	and
tear	tear	tear
down	down	down
the	the	the
barriers	barrier	barrier
that	that	that
have	have	have
been	been	been
holding	hold	holding
so	so	so
many	mani	many
citizens	citizen	citizen
back	back	back
for	for	for
so	so	so
long	long	long
.	.	.
Hillary	hillari	Hillary
went	went	went
after	after	after
Donald	donald	Donald
Trump	trump	Trump
s	s	s
ridiculous	ridicul	ridiculous
slogan	slogan	slogan
head	head	head
-on	-on	-on
,	,	,
and	and	and
simply	simpli	simply
told	told	told
it	it	it
like	like	like
it	it	it
is	is	is
Despite	despit	Despite
what	what	what
you	you	you
hear	hear	hear
,	,	,
we	we	we
don	don	don
t	t	t
need	need	need
to	to	to
make	make	make
America	america	America
great	great	great
again	again	again
.	.	.

America	america	America
has	has	ha
never	never	never
stopped	stop	stopped
being	be	being
great	great	great
.	.	.

But	but	But
,	,	,
we	we	we
do	do	do
need	need	need
to	to	to
make	make	make
America	america	America
whole	whole	whole
again	again	again
.	.	.

Instead	instead	Instead
of	of	of
building	build	building
walls	wall	wall
,	,	,
we	we	we
need	need	need
to	to	to
be	be	be
tearing	tear	tearing
down	down	down
barriers	barrier	barrier
.	.	.

We	we	We
need	need	need
to	to	to
show	show	show
by	by	by
everything	everyth	everything
that	that	that
we	we	we
do	do	do
that	that	that
we	we	we
are	are	are
in	in	in
this	this	this
together	togeth	together
.	.	.

While	while	While
Trump	trump	Trump
is	is	is
focused	focus	focused
on	on	on
dividing	divid	dividing
us	us	u
and	and	and
relying	reli	relying
on	on	on
racism	racism	racism
at	at	at
the	the	the
polls	poll	poll
,	,	,
Hillary	hillari	Hillary
is	is	is
focused	focus	focused
on	on	on
bringing	bring	bringing
us	us	u
together	togeth	together
and	and	and
pushing	push	pushing
as	as	a
forward	forward	forward
.	.	.

Her	her	Her
speech	speech	speech
not	not	not
only	onli	only
demolished	demolish	demolished
Trump	trump	Trump
s	s	s
outright	outright	outright
stupid	stupid	stupid
slogan	slogan	slogan
,	,	,
but	but	but
relayed	relay	relayed
the	the	the
much	much	much
-needed	-need	-needed
message	messag	message
that	that	that
we	we	we
re	re	re
all	all	all
in	in	in
this	this	this
together	togeth	together
.	.	.

!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
span	span	span
class	class	class
mceItemHidden	mceitemhidden	mceItemHidden
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
span	span	span
span	span	span
lt	lt	lt
;	;	;
span	span	span
gt	gt	gt
;	;	;
lt	lt	lt
;	;	;
span	span	span
gt	gt	gt
;	;	;
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
span	span	span
class	class	class
mceItemHidden	mceitemhidden	mceItemHidden
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
span	span	span
class	class	class
hiddenSpellError	hiddenspellerror	hiddenSpellError
pre	pre	pre
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
fjs	fjs	fjs
span	span	span
span	span	span
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&amp;version=v2.3"";"	"#xfbml=1&amp;version=v2.3"";"	"#xfbml=1&amp;version=v2.3"";"
span	span	span
class	class	class
hiddenSpellError	hiddenspellerror	hiddenSpellError
pre	pre	pre
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
fjs	fjs	fjs
span	span	span
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'	'	'
span	span	span
class	class	class
hiddenSpellError	hiddenspellerror	hiddenSpellError
pre	pre	pre
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
facebook	facebook	facebook
-jssdk	-jssdk	-jssdk
span	span	span
'	'	'
;	;	;
gt	gt	gt
;	;	;
Hillary	hillari	Hillary
Clinton	clinton	Clinton
SC	sc	SC
victory	victori	victory
speech	speech	speech
Despite	despit	Despite
what	what	what
you	you	you
hear	hear	hear
,	,	,
we	we	we
don	don	don
t	t	t
need	need	need
to	to	to
make	make	make
America	america	America
great	great	great
again	again	again
,	,	,
America	america	America
has	has	ha
never	never	never
stopped	stop	stopped
being	be	being
great	great	great
.	.	.

Hillary	hillari	Hillary
Clinton	clinton	Clinton
takes	take	take
a	a	a
jab	jab	jab
at	at	at
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
in	in	in
her	her	her
South	south	South
Carolina	carolina	Carolina
Democratic	democrat	Democratic
primary	primari	primary
victory	victori	victory
speech	speech	speech
.	.	.

cnn	cnn	cnn
.	.	.
it	it	it
SCPrimaryPosted	scprimarypost	SCPrimaryPosted
by	by	by
CNN	cnn	CNN
on	on	on
Saturday	saturday	Saturday
,	,	,
February	februari	February
27	27	27
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
screen	screen	screen
grab	grab	grab

