Newly	newli	Newly
released	releas	released
body	bodi	body
camera	camera	camera
footage	footag	footage
shows	show	show
a	a	a
La	la	La
Junta	junta	Junta
,	,	,
Colorado	colorado	Colorado
police	polic	police
officer	offic	officer
violently	violent	violently
slamming	slam	slamming
a	a	a
man	man	man
s	s	s
head	head	head
to	to	to
the	the	the
pavement	pavement	pavement
with	with	with
enough	enough	enough
force	forc	force
to	to	to
break	break	break
his	his	his
neck	neck	neck
.	.	.
The	the	The
officer	offic	officer
s	s	s
actions	action	action
left	left	left
the	the	the
man	man	man
,	,	,
who	who	who
was	was	wa
never	never	never
charged	charg	charged
with	with	with
any	ani	any
crime	crime	crime
,	,	,
paralyzed	paralyz	paralyzed
from	from	from
the	the	the
chest	chest	chest
down	down	down
.	.	.
According	accord	According
to	to	to
Donovan	donovan	Donovan
Duran	duran	Duran
s	s	s
family	famili	family
the	the	the
young	young	young
MMA	mma	MMA
fighter	fighter	fighter
was	was	wa
experiencing	experienc	experiencing
a	a	a
mental	mental	mental
health	health	health
crisis	crisi	crisis
at	at	at
the	the	the
time	time	time
of	of	of
the	the	the
encounter	encount	encounter
with	with	with
police	polic	police
,	,	,
which	which	which
took	took	took
place	place	place
in	in	in
December	decemb	December
of	of	of
2015	2015	2015
.	.	.
Over	over	Over
the	the	the
course	cours	course
of	of	of
several	sever	several
days	day	day
Duran	duran	Duran
s	s	s
family	famili	family
called	call	called
police	polic	police
to	to	to
help	help	help
them	them	them
cope	cope	cope
with	with	with
what	what	what
they	they	they
describe	describ	describe
as	as	a
unusual	unusu	unusual
behavior	behavior	behavior
.	.	.
The	the	The
Denver	denver	Denver
Post	post	Post
reports	report	report
that	that	that
Duran	duran	Duran
was	was	wa
drinking	drink	drinking
excessively	excess	excessively
and	and	and
experiencing	experienc	experiencing
bouts	bout	bout
of	of	of
paranoia	paranoia	paranoia
in	in	in
the	the	the
days	day	day
prior	prior	prior
to	to	to
his	his	his
injury	injuri	injury
.	.	.
On	on	On
two	two	two
prior	prior	prior
occasions	occas	occasion
police	polic	police
had	had	had
taken	taken	taken
the	the	the
man	man	man
to	to	to
a	a	a
local	local	local
hospital	hospit	hospital
.	.	.
On	on	On
both	both	both
occasions	occas	occasion
he	he	he
was	was	wa
released	releas	released
without	without	without
treatment	treatment	treatment
.	.	.
According	accord	According
to	to	to
police	polic	police
,	,	,
authorities	author	authority
were	were	were
not	not	not
able	abl	able
to	to	to
hold	hold	hold
him	him	him
in	in	in
custody	custodi	custody
because	becaus	because
he	he	he
had	had	had
not	not	not
broken	broken	broken
any	ani	any
laws	law	law
.	.	.
The	the	The
latter	latter	latter
half	half	half
of	of	of
the	the	the
body	bodi	body
cam	cam	cam
video	video	video
shows	show	show
officer	offic	officer
Vince	vinc	Vince
Fraker	fraker	Fraker
speaking	speak	speaking
with	with	with
Duran	duran	Duran
before	befor	before
his	his	his
arrest	arrest	arrest
.	.	.
Although	although	Although
it	it	it
appears	appear	appears
that	that	that
some	some	some
of	of	of
the	the	the
footage	footag	footage
has	has	ha
been	been	been
edited	edit	edited
,	,	,
none	none	none
of	of	of
the	the	the
footage	footag	footage
published	publish	published
by	by	by
the	the	the
Denver	denver	Denver
Post	post	Post
shows	show	show
the	the	the
man	man	man
being	be	being
combative	combat	combative
or	or	or
threatening	threaten	threatening
the	the	the
police	polic	police
.	.	.
The	the	The
first	first	first
portion	portion	portion
of	of	of
the	the	the
video	video	video
shows	show	show
the	the	the
moment	moment	moment
that	that	that
Fraker	fraker	Fraker
slams	slam	slam
Duran	duran	Duran
s	s	s
head	head	head
to	to	to
the	the	the
pavement	pavement	pavement
.	.	.
It	it	It
s	s	s
clear	clear	clear
that	that	that
he	he	he
is	is	is
severely	sever	severely
injured	injur	injured
and	and	and
no	no	no
longer	longer	longer
able	abl	able
to	to	to
stand	stand	stand
or	or	or
walk	walk	walk
.	.	.
The	the	The
video	video	video
shows	show	show
Fraker	fraker	Fraker
and	and	and
another	anoth	another
officer	offic	officer
dealing	deal	dealing
with	with	with
Duran	duran	Duran
s	s	s
injuries	injuri	injury
in	in	in
a	a	a
shockingly	shock	shockingly
callous	callous	callous
manner	manner	manner
,	,	,
dragging	drag	dragging
him	him	him
across	across	across
the	the	the
hospital	hospit	hospital
parking	park	parking
lot	lot	lot
and	and	and
tossing	toss	tossing
his	his	his
limp	limp	limp
body	bodi	body
around	around	around
without	without	without
any	ani	any
concern	concern	concern
whatsoever	whatsoev	whatsoever
for	for	for
his	his	his
well	well	well
-being	-be	-being
.	.	.
Watch	watch	Watch
the	the	the
video	video	video
below	below	below
,	,	,
courtesy	courtesi	courtesy
of	of	of
the	the	the
Denver	denver	Denver
Post	post	Post
.	.	.
More	more	More
than	than	than
six	six	six
months	month	month
later	later	later
Duran	duran	Duran
still	still	still
remains	remain	remains
in	in	in
the	the	the
hospital	hospit	hospital
.	.	.
In	in	In
spite	spite	spite
of	of	of
the	the	the
brutal	brutal	brutal
treatment	treatment	treatment
he	he	he
received	receiv	received
from	from	from
police	polic	police
,	,	,
he	he	he
was	was	wa
never	never	never
charged	charg	charged
with	with	with
any	ani	any
crime	crime	crime
.	.	.
According	accord	According
to	to	to
the	the	the
Denver	denver	Denver
Post	post	Post
A	a	A
grand	grand	grand
jury	juri	jury
in	in	in
April	april	April
found	found	found
there	there	there
were	were	were
no	no	no
fileable	fileabl	fileable
charges	charg	charge
against	against	against
Fraker	fraker	Fraker
or	or	or
another	anoth	another
officer	offic	officer
involved	involv	involved
in	in	in
the	the	the
encounter	encount	encounter
.	.	.
The	the	The
grand	grand	grand
jurors	juror	juror
wrote	wrote	wrote
in	in	in
a	a	a
report	report	report
that	that	that
while	while	while
Fraker	fraker	Fraker
was	was	wa
responsible	respons	responsible
for	for	for
Duran	duran	Duran
s	s	s
injuries	injuri	injury
a	a	a
fractured	fractur	fractured
neck	neck	neck
that	that	that
left	left	left
him	him	him
paralyzed	paralyz	paralyzed
from	from	from
his	his	his
nipples	nippl	nipple
down	down	down
when	when	when
he	he	he
rolled	roll	rolled
him	him	him
out	out	out
of	of	of
a	a	a
La	la	La
Junta	junta	Junta
police	polic	police
SUV	suv	SUV
,	,	,
it	it	it
cannot	cannot	cannot
be	be	be
the	the	the
basis	basi	basis
of	of	of
any	ani	any
criminal	crimin	criminal
charges	charg	charge
.	.	.
Duran	duran	Duran
s	s	s
attorneys	attorney	attorney
have	have	have
filed	file	filed
a	a	a
federal	feder	federal
lawsuit	lawsuit	lawsuit
,	,	,
stating	state	stating
La	la	La
Junta	junta	Junta
Police	polic	Police
Department	depart	Department
training	train	training
of	of	of
officers	offic	officer
does	doe	doe
not	not	not
include	includ	include
proper	proper	proper
training	train	training
in	in	in
responding	respond	responding
to	to	to
calls	call	call
involving	involv	involving
persons	person	person
in	in	in
crisis	crisi	crisis
or	or	or
with	with	with
obvious	obvious	obvious
mental	mental	mental
health	health	health
problems	problem	problem
,	,	,
including	includ	including
use	use	use
of	of	of
force	forc	force
policies	polici	policy
and	and	and
de	de	de
-escalation	-escal	-escalation
strategies	strategi	strategy
.	.	.
The	the	The
suit	suit	suit
goes	goe	go
on	on	on
to	to	to
say	say	say
Fraker	fraker	Fraker
s	s	s
use	use	use
of	of	of
excessive	excess	excessive
force	forc	force
as	as	a
described	describ	described
above	abov	above
herein	herein	herein
was	was	wa
outrageous	outrag	outrageous
and	and	and
shocking	shock	shocking
to	to	to
the	the	the
conscience	conscienc	conscience
,	,	,
in	in	in
violation	violat	violation
of	of	of
Duran	duran	Duran
s	s	s
substantive	substant	substantive
due	due	due
process	process	process
rights	right	right
.	.	.
A	a	A
spokesperson	spokesperson	spokesperson
for	for	for
the	the	the
La	la	La
Junta	junta	Junta
Police	polic	Police
