Listening	listen	Listening
to	to	to
several	sever	several
of	of	of
the	the	the
Republican	republican	Republican
candidates	candid	candidate
for	for	for
president	presid	president
,	,	,
one	one	one
could	could	could
wonder	wonder	wonder
if	if	if
they	they	they
ve	ve	ve
been	been	been
in	in	in
a	a	a
cryogenic	cryogen	cryogenic
sleep	sleep	sleep
for	for	for
the	the	the
past	past	past
seven	seven	seven
years	year	year
,	,	,
and	and	and
they	they	they
re	re	re
still	still	still
talking	talk	talking
about	about	about
how	how	how
badly	bad	badly
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
screwed	screw	screwed
things	thing	thing
up	up	up
.	.	.
However	howev	However
,	,	,
no	no	no
,	,	,
they	they	they
keep	keep	keep
repeating	repeat	repeating
the	the	the
lie	lie	lie
that	that	that
the	the	the
nation	nation	nation
is	is	is
so	so	so
much	much	much
worse	wors	worse
now	now	now
than	than	than
it	it	it
was	was	wa
at	at	at
the	the	the
brink	brink	brink
of	of	of
a	a	a
recession	recess	recession
before	befor	before
President	presid	President
Obama	obama	Obama
took	took	took
over	over	over
.	.	.
Republican	republican	Republican
voters	voter	voter
should	should	should
honestly	honest	honestly
be	be	be
insulted	insult	insulted
by	by	by
this	this	this
,	,	,
being	be	being
treated	treat	treated
like	like	like
idiots	idiot	idiot
absent	absent	absent
from	from	from
reality	realiti	reality
.	.	.
Although	although	Although
,	,	,
maybe	mayb	maybe
they	they	they
are	are	are
idiots	idiot	idiot
absent	absent	absent
to	to	to
reality	realiti	reality
,	,	,
and	and	and
these	these	these
Republican	republican	Republican
candidates	candid	candidate
are	are	are
just	just	just
being	be	being
opportunistic	opportunist	opportunistic
.	.	.
Repeating	repeat	Repeating
this	this	this
lie	lie	lie
of	of	of
seven	seven	seven
disastrous	disastr	disastrous
years	year	year
of	of	of
Obama	obama	Obama
,	,	,
Marco	marco	Marco
Rubio	rubio	Rubio
took	took	took
to	to	to
the	the	the
media	media	medium
branch	branch	branch
of	of	of
the	the	the
GOP	gop	GOP
,	,	,
Fox	fox	Fox
News	news	News
,	,	,
to	to	to
give	give	give
a	a	a
quick	quick	quick
campaign	campaign	campaign
message	messag	message
and	and	and
offer	offer	offer
his	his	his
well	well	well
wishes	wish	wish
for	for	for
the	the	the
new	new	new
year	year	year
.	.	.
Hi	hi	Hi
,	,	,
this	this	this
is	is	is
Marco	marco	Marco
Rubio	rubio	Rubio
,	,	,
a	a	a
senator	senat	senator
from	from	from
Florida	florida	Florida
,	,	,
and	and	and
a	a	a
candidate	candid	candidate
for	for	for
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
As	as	As
we	we	we
leave	leav	leave
2015	2015	2015
behind	behind	behind
and	and	and
look	look	look
forward	forward	forward
to	to	to
2016	2016	2016
,	,	,
with	with	with
the	the	the
elections	elect	election
that	that	that
are	are	are
coming	come	coming
up	up	up
in	in	in
November	novemb	November
,	,	,
this	this	this
is	is	is
the	the	the
year	year	year
where	where	where
we	we	we
re	re	re
going	go	going
to	to	to
have	have	have
a	a	a
chance	chanc	chance
to	to	to
turn	turn	turn
America	america	America
around	around	around
.	.	.
After	after	After
seven	seven	seven
disastrous	disastr	disastrous
years	year	year
of	of	of
the	the	the
current	current	current
president	presid	president
,	,	,
we	we	we
have	have	have
a	a	a
chance	chanc	chance
to	to	to
reclaim	reclaim	reclaim
the	the	the
American	american	American
dream	dream	dream
,	,	,
and	and	and
that	that	that
s	s	s
why	whi	why
I	i	I
m	m	m
running	run	running
for	for	for
president	presid	president
.	.	.
And	and	And
my	my	my
resolution	resolut	resolution
for	for	for
2016	2016	2016
is	is	is
to	to	to
do	do	do
everything	everyth	everything
I	i	I
can	can	can
to	to	to
not	not	not
just	just	just
restore	restor	restore
the	the	the
American	american	American
dream	dream	dream
,	,	,
but	but	but
to	to	to
expand	expand	expand
it	it	it
to	to	to
reach	reach	reach
more	more	more
people	peopl	people
and	and	and
change	chang	change
more	more	more
lives	live	life
than	than	than
ever	ever	ever
before	befor	before
.	.	.
So	so	So
that	that	that
this	this	this
,	,	,
the	the	the
greatest	greatest	greatest
country	countri	country
in	in	in
the	the	the
world	world	world
,	,	,
can	can	can
be	be	be
greater	greater	greater
than	than	than
it	it	it
s	s	s
ever	ever	ever
been	been	been
.	.	.
So	so	So
,	,	,
what	what	what
America	america	America
does	doe	doe
Rubio	rubio	Rubio
want	want	want
to	to	to
go	go	go
back	back	back
to	to	to
,	,	,
exactly	exact	exactly
?	?	?
One	one	One
where	where	where
people	peopl	people
are	are	are
losing	lose	losing
their	their	their
homes	home	home
?	?	?
One	one	One
where	where	where
jobs	job	job
are	are	are
lost	lost	lost
at	at	at
a	a	a
rate	rate	rate
of	of	of
750	750	750
,	,	,
000	000	000
per	per	per
month	month	month
?	?	?
One	one	One
where	where	where
people	peopl	people
could	could	could
be	be	be
denied	deni	denied
healthcare	healthcar	healthcare
for	for	for
a	a	a
preexisting	preexist	preexisting
condition	condit	condition
?	?	?
One	one	One
where	where	where
the	the	the
14th	14th	14th
