HELSINKI	helsinki	HELSINKI
Reuters	reuter	Reuters
-	-	-
Finnish	finnish	Finnish
police	polic	police
searched	search	searched
a	a	a
reporter	report	reporter
s	s	s
home	home	home
and	and	and
seized	seiz	seized
her	her	her
computer	comput	computer
after	after	after
she	she	she
tried	tri	tried
to	to	to
destroy	destroy	destroy
the	the	the
hard	hard	hard
drive	drive	drive
to	to	to
protect	protect	protect
sources	sourc	source
linked	link	linked
to	to	to
a	a	a
security	secur	security
story	stori	story
,	,	,
her	her	her
newspaper	newspap	newspaper
reported	report	reported
.	.	.

The	the	The
journalist	journalist	journalist
,	,	,
Laura	laura	Laura
Halminen	halminen	Halminen
,	,	,
said	said	said
she	she	she
tried	tri	tried
to	to	to
smash	smash	smash
up	up	up
her	her	her
computer	comput	computer
with	with	with
a	a	a
hammer	hammer	hammer
in	in	in
her	her	her
home	home	home
,	,	,
but	but	but
the	the	the
laptop	laptop	laptop
then	then	then
started	start	started
smoking	smoke	smoking
and	and	and
she	she	she
called	call	called
the	the	the
fire	fire	fire
brigade	brigad	brigade
,	,	,
according	accord	according
to	to	to
an	an	an
interview	interview	interview
published	publish	published
by	by	by
her	her	her
employer	employ	employer
Helsingin	helsingin	Helsingin
Sanomat	sanomat	Sanomat
.	.	.

Police	polic	Police
officers	offic	officer
who	who	who
came	came	came
to	to	to
her	her	her
home	home	home
with	with	with
the	the	the
fire	fire	fire
service	servic	service
to	to	to
investigate	investig	investigate
the	the	the
blaze	blaze	blaze
then	then	then
took	took	took
her	her	her
computer	comput	computer
and	and	and
searched	search	searched
her	her	her
property	properti	property
,	,	,
police	polic	police
said	said	said
-	-	-
a	a	a
rare	rare	rare
operation	oper	operation
in	in	in
a	a	a
country	countri	country
rated	rate	rated
high	high	high
for	for	for
protecting	protect	protecting
press	press	press
freedom	freedom	freedom
.	.	.

The	the	The
case	case	case
centered	center	centered
on	on	on
a	a	a
story	stori	story
that	that	that
Halminen	halminen	Halminen
and	and	and
another	anoth	another
journalist	journalist	journalist
wrote	wrote	wrote
on	on	on
Saturday	saturday	Saturday
about	about	about
a	a	a
Finnish	finnish	Finnish
intelligence	intellig	intelligence
center	center	center
that	that	that
they	they	they
said	said	said
monitored	monitor	monitored
neighboring	neighbor	neighboring
Russia	russia	Russia
and	and	and
,	,	,
they	they	they
reported	report	reported
,	,	,
was	was	wa
about	about	about
to	to	to
get	get	get
new	new	new
powers	power	power
to	to	to
watch	watch	watch
Finns	finn	Finns
online	onlin	online
.	.	.

After	after	After
the	the	the
article	articl	article
s	s	s
publication	public	publication
,	,	,
Finland	finland	Finland
s	s	s
President	presid	President
Sauli	sauli	Sauli
Niinisto	niinisto	Niinisto
released	releas	released
a	a	a
statement	statement	statement
saying	say	saying
authorities	author	authority
had	had	had
launched	launch	launched
an	an	an
investigation	investig	investigation
in	in	in
to	to	to
the	the	the
leaking	leak	leaking
of	of	of
material	materi	material
used	use	used
in	in	in
the	the	the
story	stori	story
.	.	.

The	the	The
reporter	report	reporter
Halminen	halminen	Halminen
told	told	told
her	her	her
newspaper	newspap	newspaper
in	in	in
the	the	the
interview	interview	interview
she	she	she
had	had	had
decided	decid	decided
to	to	to
destroy	destroy	destroy
the	the	the
computer	comput	computer
to	to	to
make	make	make
sure	sure	sure
sources	sourc	source
were	were	were
protected	protect	protected
in	in	in
the	the	the
best	best	best
possible	possibl	possible
way	way	way
.	.	.

On	on	On
Sunday	sunday	Sunday
,	,	,
the	the	the
police	polic	police
s	s	s
National	nation	National
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
said	said	said
,	,	,
officers	offic	officer
went	went	went
to	to	to
the	the	the
property	properti	property
and	and	and
found	found	found
the	the	the
computer	comput	computer
burning	burn	burning
in	in	in
the	the	the
basement	basement	basement
.	.	.

After	after	After
that	that	that
,	,	,
a	a	a
special	special	special
home	home	home
search	search	search
was	was	wa
ordered	order	ordered
to	to	to
be	be	be
carried	carri	carried
out	out	out
in	in	in
the	the	the
apartment	apart	apartment
and	and	and
basement	basement	basement
,	,	,
the	the	the
force	forc	force
added	ad	added
.	.	.

It	it	It
said	said	said
officers	offic	officer
had	had	had
had	had	had
to	to	to
act	act	act
quickly	quick	quickly
because	becaus	because
they	they	they
feared	fear	feared
material	materi	material
linked	link	linked
to	to	to
an	an	an
investigation	investig	investigation
could	could	could
be	be	be
destroyed	destroy	destroyed
.	.	.

There	there	There
were	were	were
no	no	no
reports	report	report
of	of	of
anyone	anyon	anyone
being	be	being
arrested	arrest	arrested
or	or	or
charged	charg	charged
.	.	.

The	the	The
newspaper	newspap	newspaper
said	said	said
the	the	the
police	polic	police
also	also	also
took	took	took
phones	phone	phone
and	and	and
memory	memori	memory
sticks	stick	stick
in	in	in
what	what	what
it	it	it
called	call	called
a	a	a
very	veri	very
worrying	worri	worrying
raid	raid	raid
.	.	.

A	a	A
house	hous	house
search	search	search
of	of	of
this	this	this
scale	scale	scale
targeting	target	targeting
a	a	a
journalist	journalist	journalist
is	is	is
totally	total	totally
exceptional	except	exceptional
in	in	in
Finland	finland	Finland
,	,	,
Editor	editor	Editor
-in-chief	-in-chief	-in-chief
,	,	,
Kaius	kaius	Kaius
Niemi	niemi	Niemi
,	,	,
said	said	said
.	.	.

Campaign	campaign	Campaign
group	group	group
Reporters	report	Reporters
Without	without	Without
Borders	border	Borders
ranked	rank	ranked
Finland	finland	Finland
third	third	third
in	in	in
its	it	it
2017	2017	2017
World	world	World
Press	press	Press
Freedom	freedom	Freedom
Index	index	Index
,	,	,
behind	behind	behind
only	onli	only
Sweden	sweden	Sweden
and	and	and
Norway	norway	Norway
.	.	.

