UPDATE	updat	UPDATE
Trump	trump	Trump
304	304	304
Clinton	clinton	Clinton
224	224	224
,	,	,
Other	other	Other
6	6	6
and	and	and
4	4	4
pending	pend	pending
votes	vote	vote
remaining	remain	remaining
.	.	.
Among	among	Among
the	the	the
electors	elector	elector
today	today	today
,	,	,
there	there	there
were	were	were
more	more	more
Hillary	hillari	Hillary
defectors	defector	defector
than	than	than
Trump	trump	Trump
defectors	defector	defector
.	.	.

Go	go	Go
HERE	here	HERE
to	to	to
see	see	see
who	who	who
they	they	they
were	were	were
and	and	and
which	which	which
states	state	state
they	they	they
are	are	are
from	from	from
.	.	.
Although	although	Although
the	the	the
official	offici	official
electoral	elector	electoral
college	colleg	college
results	result	result
won	won	won
t	t	t
be	be	be
announced	announc	announced
until	until	until
January	januari	January
6	6	6
,	,	,
when	when	when
Congress	congress	Congress
meets	meet	meet
in	in	in
a	a	a
joint	joint	joint
session	session	session
to	to	to
officially	offici	officially
count	count	count
the	the	the
results	result	result
,	,	,
many	mani	many
of	of	of
the	the	the
votes	vote	vote
are	are	are
already	alreadi	already
being	be	being
announced	announc	announced
in	in	in
some	some	some
states	state	state
.	.	.

We	we	We
will	will	will
update	updat	update
this	this	this
post	post	post
with	with	with
the	the	the
electoral	elector	electoral
count	count	count
as	as	a
state	state	state
results	result	result
are	are	are
announced	announc	announced
,	,	,
so	so	so
you	you	you
can	can	can
stay	stay	stay
updated	updat	updated
on	on	on
the	the	the
latest	latest	latest
.	.	.

Trump	trump	Trump
had	had	had
259	259	259
electoral	elector	electoral
votes	vote	vote
before	befor	before
Texas	texa	Texas
cast	cast	cast
36	36	36
of	of	of
its	it	it
38	38	38
electoral	elector	electoral
votes	vote	vote
for	for	for
Trump	trump	Trump
,	,	,
pushing	push	pushing
him	him	him
over	over	over
the	the	the
270	270	270
that	that	that
he	he	he
needed	need	needed
to	to	to
win	win	win
.	.	.
Here	here	Here
are	are	are
the	the	the
results	result	result
we	we	we
know	know	know
so	so	so
far	far	far
,	,	,
as	as	a
shared	share	shared
by	by	by
local	local	local
media	media	medium
outlets	outlet	outlet
,	,	,
electors	elector	elector
,	,	,
or	or	or
state	state	state
officials	offici	official
Alabama	alabama	Alabama
All	all	All
9	9	9
electors	elector	elector
have	have	have
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Alaska	alaska	Alaska
All	all	All
3	3	3
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Arizona	arizona	Arizona
All	all	All
11	11	11
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Arkansas	arkansa	Arkansas
All	all	All
6	6	6
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Connecticut	connecticut	Connecticut
All	all	All
7	7	7
electors	elector	elector
voted	vote	voted
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Delaware	delawar	Delaware
All	all	All
3	3	3
electors	elector	elector
voted	vote	voted
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Florida	florida	Florida
All	all	All
29	29	29
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Georgia	georgia	Georgia
All	all	All
16	16	16
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Idaho	idaho	Idaho
All	all	All
4	4	4
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Illinois	illinoi	Illinois
All	all	All
20	20	20
electors	elector	elector
voted	vote	voted
for	for	for
Clinton	clinton	Clinton
.	.	.
Indiana	indiana	Indiana
All	all	All
11	11	11
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Kansas	kansa	Kansas
All	all	All
six	six	six
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
,	,	,
per	per	per
270	270	270
to	to	to
WIN	win	WIN
.	.	.
Kentucky	kentucki	Kentucky
All	all	All
8	8	8
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Louisiana	louisiana	Louisiana
All	all	All
8	8	8
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Maine	main	Maine
Maine	main	Maine
and	and	and
Nebraska	nebraska	Nebraska
are	are	are
the	the	the
only	onli	only
states	state	state
that	that	that
split	split	split
their	their	their
electoral	elector	electoral
votes	vote	vote
.	.	.

In	in	In
Maine	main	Maine
,	,	,
Trump	trump	Trump
earned	earn	earned
1	1	1
electoral	elector	electoral
vote	vote	vote
and	and	and
Clinton	clinton	Clinton
earned	earn	earned
3	3	3
.	.	.

One	one	One
of	of	of
Clinton	clinton	Clinton
s	s	s
electors	elector	elector
,	,	,
David	david	David
Bright	bright	Bright
,	,	,
announced	announc	announced
on	on	on
Facebook	facebook	Facebook
that	that	that
he	he	he
was	was	wa
giving	give	giving
his	his	his
electoral	elector	electoral
vote	vote	vote
to	to	to
Bernie	berni	Bernie
Sanders	sander	Sanders
.	.	.

He	he	He
tried	tri	tried
to	to	to
do	do	do
just	just	just
that	that	that
,	,	,
but	but	but
he	he	he
was	was	wa
ruled	rule	ruled
out	out	out
of	of	of
order	order	order
and	and	and
the	the	the
vote	vote	vote
was	was	wa
recast	recast	recast
,	,	,
forcing	forc	forcing
him	him	him
to	to	to
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
instead	instead	instead
.	.	.
Maryland	maryland	Maryland
All	all	All
10	10	10
electors	elector	elector
voted	vote	voted
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Michigan	michigan	Michigan
All	all	All
16	16	16
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Minnesota	minnesota	Minnesota
All	all	All
10	10	10
electors	elector	elector
voted	vote	voted
for	for	for
Clinton	clinton	Clinton
.	.	.
Missouri	missouri	Missouri
All	all	All
10	10	10
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Mississippi	mississippi	Mississippi
All	all	All
6	6	6
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Nebraska	nebraska	Nebraska
All	all	All
5	5	5
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
New	new	New
Hampshire	hampshir	Hampshire
All	all	All
4	4	4
electors	elector	elector
voted	vote	voted
for	for	for
Clinton	clinton	Clinton
.	.	.
New	new	New
York	york	York
All	all	All
29	29	29
electors	elector	elector
voted	vote	voted
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
North	north	North
Carolina	carolina	Carolina
All	all	All
15	15	15
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
North	north	North
Dakota	dakota	Dakota
All	all	All
3	3	3
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Ohio	ohio	Ohio
All	all	All
18	18	18
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Oklahoma	oklahoma	Oklahoma
All	all	All
7	7	7
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Oregon	oregon	Oregon
All	all	All
7	7	7
electors	elector	elector
voted	vote	voted
for	for	for
Clinton	clinton	Clinton
.	.	.
Pennsylvania	pennsylvania	Pennsylvania
All	all	All
20	20	20
votes	vote	vote
for	for	for
Trump	trump	Trump
verified	verifi	verified
by	by	by
CBS	cbs	CBS
.	.	.
Rhode	rhode	Rhode
Island	island	Island
All	all	All
4	4	4
electors	elector	elector
voted	vote	voted
for	for	for
Clinton	clinton	Clinton
.	.	.
South	south	South
Carolina	carolina	Carolina
All	all	All
9	9	9
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
South	south	South
Dakota	dakota	Dakota
All	all	All
3	3	3
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Tennessee	tennesse	Tennessee
All	all	All
11	11	11
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Texas	texa	Texas
In	in	In
Texas	texa	Texas
,	,	,
36	36	36
out	out	out
of	of	of
its	it	it
38	38	38
electoral	elector	electoral
votes	vote	vote
went	went	went
to	to	to
Trump	trump	Trump
.	.	.

Chris	chris	Chris
Suprun	suprun	Suprun
wrote	wrote	wrote
today	today	today
on	on	on
The	the	The
Hill	hill	Hill
that	that	that
he	he	he
still	still	still
intended	intend	intended
to	to	to
cast	cast	cast
his	his	his
vote	vote	vote
for	for	for
John	john	John
Kasich	kasich	Kasich
and	and	and
not	not	not
Trump	trump	Trump
.	.	.

Once	onc	Once
the	the	the
meeting	meet	meeting
got	got	got
underway	underway	underway
,	,	,
four	four	four
electors	elector	elector
resigned	resign	resigned
and	and	and
then	then	then
were	were	were
replaced	replac	replaced
,	,	,
which	which	which
caused	caus	caused
the	the	the
results	result	result
to	to	to
be	be	be
delayed	delay	delayed
.	.	.

One	one	One
of	of	of
the	the	the
electors	elector	elector
,	,	,
Sisneros	sisnero	Sisneros
,	,	,
did	did	did
not	not	not
want	want	want
to	to	to
vote	vote	vote
for	for	for
Trump	trump	Trump
.	.	.

The	the	The
other	other	other
three	three	three
found	found	found
out	out	out
they	they	they
were	were	were
ineligible	inelig	ineligible
,	,	,
Sean	sean	Sean
Walsh	walsh	Walsh
of	of	of
the	the	the
Statesman	statesman	Statesman
reported	report	reported
.	.	.
Utah	utah	Utah
All	all	All
6	6	6
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
,	,	,
per	per	per
270toWin	270towin	270toWin
.	.	.
Vermont	vermont	Vermont
All	all	All
3	3	3
electors	elector	elector
voted	vote	voted
for	for	for
Clinton	clinton	Clinton
.	.	.
Washington	washington	Washington
In	in	In
Washington	washington	Washington
,	,	,
eight	eight	eight
voted	vote	voted
for	for	for
Clinton	clinton	Clinton
