Ted	ted	Ted
Cruz	cruz	Cruz
just	just	just
got	got	got
his	his	his
ass	ass	as
handed	hand	handed
to	to	to
him	him	him
by	by	by
a	a	a
Fox	fox	Fox
News	news	News
host	host	host
on	on	on
national	nation	national
television	televis	television
for	for	for
whining	whine	whining
about	about	about
hard	hard	hard
questions	question	question
.	.	.
During	dure	During
an	an	an
appearance	appear	appearance
on	on	on
Fox	fox	Fox
News	news	News
Sunday	sunday	Sunday
,	,	,
Chris	chris	Chris
Wallace	wallac	Wallace
grilled	grill	grilled
the	the	the
Texas	texa	Texas
Senator	senat	Senator
over	over	over
the	the	the
dirty	dirti	dirty
tricks	trick	trick
his	his	his
campaign	campaign	campaign
has	has	ha
perpetrated	perpetr	perpetrated
since	sinc	since
the	the	the
Iowa	iowa	Iowa
Primary	primari	Primary
in	in	in
apparently	appar	apparently
desperate	desper	desperate
attempts	attempt	attempt
to	to	to
smear	smear	smear
candidates	candid	candidate
and	and	and
steak	steak	steak
votes	vote	vote
from	from	from
them	them	them
.	.	.
Your	your	Your
campaign	campaign	campaign
has	has	ha
been	been	been
involved	involv	involved
in	in	in
a	a	a
series	seri	series
of	of	of
incidents	incid	incident
that	that	that
people	peopl	people
are	are	are
calling	call	calling
dirty	dirti	dirty
tricks	trick	trick
.	.	.
In	in	In
Iowa	iowa	Iowa
,	,	,
the	the	the
Cruz	cruz	Cruz
campaign	campaign	campaign
sent	sent	sent
out	out	out
tweets	tweet	tweet
saying	say	saying
Ben	ben	Ben
Carson	carson	Carson
was	was	wa
suspending	suspend	suspending
his	his	his
campaign	campaign	campaign
.	.	.
That	that	That
was	was	wa
false	fals	false
.	.	.
The	the	The
campaign	campaign	campaign
put	put	put
out	out	out
fliers	flier	flier
accusing	accus	accusing
people	peopl	people
of	of	of
voting	vote	voting
violations	violat	violation
,	,	,
that	that	that
was	was	wa
false	fals	false
.	.	.
In	in	In
South	south	South
Carolina	carolina	Carolina
,	,	,
a	a	a
Cruz	cruz	Cruz
super	super	super
PAC	pac	PAC
attacked	attack	attacked
Trump	trump	Trump
over	over	over
the	the	the
Confederate	confeder	Confederate
flag	flag	flag
.	.	.
And	and	And
your	your	your
then	then	then
-communications	-commun	-communications
director	director	director
posted	post	posted
a	a	a
link	link	link
this	this	this
week	week	week
accusing	accus	accusing
Rubio	rubio	Rubio
of	of	of
disrespecting	disrespect	disrespecting
the	the	the
Bible	bibl	Bible
.	.	.
That	that	That
was	was	wa
false	fals	false
.	.	.
Do	do	Do
you	you	you
take	take	take
personal	person	personal
responsibility	respons	responsibility
this	this	this
was	was	wa
your	your	your
campaign	campaign	campaign
except	except	except
for	for	for
the	the	the
super	super	super
PAC	pac	PAC
do	do	do
you	you	you
take	take	take
personal	person	personal
responsibility	respons	responsibility
for	for	for
this	this	this
series	seri	series
of	of	of
incidents	incid	incident
?	?	?
