Support	support	Support
for	for	for
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
shooting	shoot	shooting
death	death	death
of	of	of
Lavoy	lavoy	Lavoy
Finicum	finicum	Finicum
has	has	ha
been	been	been
growing	grow	growing
.	.	.
Something	someth	Something
about	about	about
his	his	his
shooting	shoot	shooting
death	death	death
just	just	just
didn	didn	didn
t	t	t
seem	seem	seem
right	right	right
.	.	.
FBI	fbi	FBI
agents	agent	agent
involved	involv	involved
in	in	in
the	the	the
traffic	traffic	traffic
stop	stop	stop
that	that	that
led	led	led
to	to	to
the	the	the
killing	kill	killing
of	of	of
one	one	one
of	of	of
the	the	the
armed	arm	armed
occupiers	occupi	occupier
of	of	of
an	an	an
Oregon	oregon	Oregon
wildlife	wildlif	wildlife
refuge	refug	refuge
are	are	are
under	under	under
investigation	investig	investigation
for	for	for
not	not	not
disclosing	disclos	disclosing
they	they	they
fired	fire	fired
shots	shot	shot
that	that	that
missed	miss	missed
Robert	robert	Robert
LaVoy	lavoy	LaVoy
Finicum	finicum	Finicum
,	,	,
authorities	author	authority
said	said	said
Tuesday	tuesday	Tuesday
.	.	.
Oregon	oregon	Oregon
State	state	State
Police	polic	Police
troopers	trooper	trooper
fired	fire	fired
the	the	the
three	three	three
rounds	round	round
that	that	that
killed	kill	killed
the	the	the
Arizona	arizona	Arizona
rancher	rancher	rancher
during	dure	during
a	a	a
confrontation	confront	confrontation
on	on	on
a	a	a
remote	remot	remote
road	road	road
,	,	,
law	law	law
enforcement	enforc	enforcement
officials	offici	official
said	said	said
at	at	at
a	a	a
news	news	news
conference	confer	conference
in	in	in
Bend	bend	Bend
.	.	.
CLICK	click	CLICK
HERE	here	HERE
to	to	to
see	see	see
the	the	the
video	video	video
of	of	of
FBI	fbi	FBI
Agents	agent	Agents
shooting	shoot	shooting
and	and	and
killing	kill	killing
Lavoy	lavoy	Lavoy
Finicum	finicum	Finicum
.	.	.
An	an	An
independent	independ	independent
investigation	investig	investigation
by	by	by
Oregon	oregon	Oregon
authorities	author	authority
found	found	found
the	the	the
troopers	trooper	trooper
were	were	were
justified	justifi	justified
in	in	in
shooting	shoot	shooting
Finicum	finicum	Finicum
because	becaus	because
he	he	he
failed	fail	failed
to	to	to
heed	heed	heed
their	their	their
commands	command	command
and	and	and
repeatedly	repeat	repeatedly
reached	reach	reached
for	for	for
his	his	his
weapon	weapon	weapon
,	,	,
Malheur	malheur	Malheur
County	counti	County
District	district	District
Attorney	attorney	Attorney
Dan	dan	Dan
Norris	norri	Norris
said	said	said
.	.	.
The	the	The
investigators	investig	investigator
discovered	discov	discovered
members	member	member
of	of	of
an	an	an
FBI	fbi	FBI
hostage	hostag	hostage
rescue	rescu	rescue
team	team	team
who	who	who
were	were	were
at	at	at
the	the	the
scene	scene	scene
failed	fail	failed
to	to	to
disclose	disclos	disclose
they	they	they
fired	fire	fired
two	two	two
rounds	round	round
.	.	.
As	as	As
they	they	they
looked	look	looked
into	into	into
how	how	how
many	mani	many
shots	shot	shot
were	were	were
fired	fire	fired
during	dure	during
the	the	the
confrontation	confront	confrontation
and	and	and
by	by	by
whom	whom	whom
,	,	,
the	the	the
investigators	investig	investigator
found	found	found
a	a	a
round	round	round
in	in	in
the	the	the
roof	roof	roof
of	of	of
Finicum	finicum	Finicum
s	s	s
truck	truck	truck
.	.	.
We	we	We
could	could	could
not	not	not
explain	explain	explain
the	the	the
fourth	fourth	fourth
shot	shot	shot
into	into	into
the	the	the
roof	roof	roof
of	of	of
the	the	the
truck	truck	truck
,	,	,
or	or	or
its	it	it
trajectory	trajectori	trajectory
given	given	given
the	the	the
placement	placement	placement
of	of	of
the	the	the
Oregon	oregon	Oregon
State	state	State
Police	polic	Police
troopers	trooper	trooper
at	at	at
the	the	the
time	time	time
,	,	,
Deschutes	deschut	Deschutes
County	counti	County
Sheriff	sheriff	Sheriff
Shane	shane	Shane
Nelson	nelson	Nelson
said	said	said
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Justice	justic	Justice
Department	depart	Department
s	s	s
Office	offic	Office
of	of	of
Inspector	inspector	Inspector
General	general	General
said	said	said
it	it	it
is	is	is
investigating	investig	investigating
the	the	the
FBI	fbi	FBI
team	team	team
s	s	s
actions	action	action
,	,	,
working	work	working
with	with	with
Oregon	oregon	Oregon
officials	offici	official
.	.	.
During	dure	During
the	the	the
news	news	news
conference	confer	conference
,	,	,
Oregon	oregon	Oregon
officials	offici	official
played	play	played
videos	video	video
