SYDNEY	sydney	SYDNEY
SINGAPORE	singapor	SINGAPORE
Reuters	reuter	Reuters
-	-	-
The	the	The
captain	captain	captain
of	of	of
the	the	the
Malaysian	malaysian	Malaysian
Airlines	airlin	Airlines
aircraft	aircraft	aircraft
that	that	that
vanished	vanish	vanished
somewhere	somewher	somewhere
in	in	in
the	the	the
southern	southern	southern
Indian	indian	Indian
Ocean	ocean	Ocean
with	with	with
239	239	239
people	peopl	people
on	on	on
board	board	board
had	had	had
flown	flown	flown
a	a	a
route	rout	route
on	on	on
his	his	his
home	home	home
flight	flight	flight
simulator	simul	simulator
six	six	six
weeks	week	week
earlier	earlier	earlier
that	that	that
was	was	wa
initially	initi	initially
similar	similar	similar
to	to	to
the	the	the
one	one	one
actually	actual	actually
taken	taken	taken
,	,	,
Australian	australian	Australian
authorities	author	authority
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
details	detail	detail
were	were	were
contained	contain	contained
in	in	in
a	a	a
440	440	440
-page	-page	-page
final	final	final
report	report	report
by	by	by
the	the	the
Australian	australian	Australian
Transport	transport	Transport
Safety	safeti	Safety
Bureau	bureau	Bureau
ATSB	atsb	ATSB
on	on	on
the	the	the
unsuccessful	unsuccess	unsuccessful
search	search	search
for	for	for
flight	flight	flight
MH370	mh370	MH370
.	.	.
The	the	The
disappearance	disappear	disappearance
of	of	of
the	the	the
Boeing	boe	Boeing
777	777	777
on	on	on
March	march	March
8	8	8
,	,	,
2014	2014	2014
,	,	,
on	on	on
a	a	a
flight	flight	flight
to	to	to
Beijing	beij	Beijing
from	from	from
the	the	the
Malaysian	malaysian	Malaysian
capital	capit	capital
of	of	of
Kuala	kuala	Kuala
Lumpur	lumpur	Lumpur
,	,	,
has	has	ha
become	becom	become
one	one	one
of	of	of
the	the	the
world	world	world
s	s	s
greatest	greatest	greatest
aviation	aviat	aviation
mysteries	mysteri	mystery
.	.	.
The	the	The
report	report	report
concluded	conclud	concluded
that	that	that
the	the	the
reasons	reason	reason
for	for	for
the	the	the
loss	loss	loss
of	of	of
the	the	the
aircraft	aircraft	aircraft
could	could	could
not	not	not
be	be	be
established	establish	established
with	with	with
certainty	certainti	certainty
until	until	until
the	the	the
aircraft	aircraft	aircraft
was	was	wa
found	found	found
.	.	.
It	it	It
is	is	is
almost	almost	almost
inconceivable	inconceiv	inconceivable
and	and	and
certainly	certain	certainly
societally	societ	societally
unacceptable	unaccept	unacceptable
in	in	in
the	the	the
modern	modern	modern
aviation	aviat	aviation
era	era	era
.	.	.
.	.	.
.	.	.
for	for	for
a	a	a
large	larg	large
commercial	commerci	commercial
aircraft	aircraft	aircraft
to	to	to
be	be	be
missing	miss	missing
and	and	and
for	for	for
the	the	the
world	world	world
not	not	not
to	to	to
know	know	know
with	with	with
certainty	certainti	certainty
what	what	what
became	becam	became
of	of	of
the	the	the
aircraft	aircraft	aircraft
and	and	and
those	those	those
on	on	on
board	board	board
,	,	,
the	the	the
ATSB	atsb	ATSB
said	said	said
.	.	.
The	the	The
aircraft	aircraft	aircraft
was	was	wa
thought	thought	thought
to	to	to
have	have	have
been	been	been
diverted	divert	diverted
thousands	thousand	thousand
of	of	of
miles	mile	mile
off	off	off
course	cours	course
out	out	out
over	over	over
the	the	the
southern	southern	southern
Indian	indian	Indian
Ocean	ocean	Ocean
before	befor	before
crashing	crash	crashing
off	off	off
the	the	the
coast	coast	coast
of	of	of
Western	western	Western
Australia	australia	Australia
.	.	.
Australia	australia	Australia
,	,	,
which	which	which
led	led	led
the	the	the
underwater	underwat	underwater
hunt	hunt	hunt
,	,	,
and	and	and
Malaysia	malaysia	Malaysia
and	and	and
China	china	China
called	call	called
off	off	off
a	a	a
A	a	A
200	200	200
million	million	million
160	160	160
million	million	million
search	search	search
for	for	for
the	the	the
plane	plane	plane
in	in	in
January	januari	January
,	,	,
despite	despit	despite
the	the	the
protests	protest	protest
of	of	of
families	famili	family
of	of	of
those	those	those
onboard	onboard	onboard
.	.	.
Six	six	Six
weeks	week	week
before	befor	before
the	the	the
aircraft	aircraft	aircraft
s	s	s
disappearance	disappear	disappearance
,	,	,
Captain	captain	Captain
Zaharie	zahari	Zaharie
Ahmad	ahmad	Ahmad
Shah	shah	Shah
used	use	used
his	his	his
home	home	home
simulator	simul	simulator
to	to	to
fly	fli	fly
a	a	a
route	rout	route
that	that	that
was	was	wa
initially	initi	initially
similar	similar	similar
to	to	to
part	part	part
of	of	of
the	the	the
route	rout	route
flown	flown	flown
by	by	by
MH370	mh370	MH370
up	up	up
the	the	the
Strait	strait	Strait
of	of	of
Malacca	malacca	Malacca
,	,	,
with	with	with
a	a	a
left	left	left
-hand	-hand	-hand
turn	turn	turn
and	and	and
track	track	track
into	into	into
the	the	the
southern	southern	southern
Indian	indian	Indian
Ocean	ocean	Ocean
,	,	,
the	the	the
ATSB	atsb	ATSB
said	said	said
in	in	in
its	it	it
report	report	report
.	.	.
By	by	By
the	the	the
last	last	last
data	data	data
point	point	point
the	the	the
aircraft	aircraft	aircraft
had	had	had
flown	flown	flown
approximately	approxim	approximately
4	4	4
,	,	,
200	200	200
nautical	nautic	nautical
miles	mile	mile
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.
This	this	This
was	was	wa
further	further	further
than	than	than
was	was	wa
possible	possibl	possible
with	with	with
the	the	the
fuel	fuel	fuel
loaded	load	loaded
on	on	on
board	board	board
the	the	the
aircraft	aircraft	aircraft
for	for	for
flight	flight	flight
MH370	mh370	MH370
.	.	.
The	the	The
simulated	simul	simulated
aircraft	aircraft	aircraft
track	track	track
was	was	wa
also	also	also
inconsistent	inconsist	inconsistent
with	with	with
those	those	those
modeled	model	modeled
using	use	using
satellite	satellit	satellite
signal	signal	signal
data	data	data
from	from	from
MH370	mh370	MH370
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.
However	howev	However
,	,	,
the	the	the
ATSB	atsb	ATSB
said	said	said
there	there	there
were	were	were
enough	enough	enough
similarities	similar	similarity
to	to	to
the	the	the
flight	flight	flight
path	path	path
of	of	of
MH370	mh370	MH370
for	for	for
the	the	the
agency	agenc	agency
to	to	to
carefully	care	carefully
consider	consid	consider
the	the	the
possible	possibl	possible
implications	implic	implication
for	for	for
the	the	the
underwater	underwat	underwater
search	search	search
area	area	area
,	,	,
including	includ	including
whether	whether	whether
it	it	it
glided	glide	glided
after	after	after
fuel	fuel	fuel
exhaustion	exhaust	exhaustion
or	or	or
was	was	wa
ditched	ditch	ditched
in	in	in
a	a	a
controlled	control	controlled
manner	manner	manner
.	.	.
Aircraft	aircraft	Aircraft
debris	debri	debris
found	found	found
later	later	later
indicated	indic	indicated
the	the	the
flaps	flap	flap
were	were	were
most	most	most
likely	like	likely
retracted	retract	retracted
,	,	,
which	which	which
wasn	wasn	wasn
t	t	t
consistent	consist	consistent
with	with	with
a	a	a
controlled	control	controlled
ditching	ditch	ditching
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.
Australia	australia	Australia
s	s	s
main	main	main
scientific	scientif	scientific
agency	agenc	agency
said	said	said
in	in	in
August	august	August
it	it	it
believes	believ	belief
with	with	with
unprecedented	unpreced	unprecedented
precision	precis	precision
and	and	and
certainty	certainti	certainty
that	that	that
the	the	the
plane	plane	plane
crashed	crash	crashed
northeast	northeast	northeast
of	of	of
the	the	the
search	search	search
zone	zone	zone
.	.	.
But	but	But
those	those	those
findings	find	finding
were	were	were
dismissed	dismiss	dismissed
by	by	by
Australia	australia	Australia
s	s	s
government	govern	government
at	at	at
the	the	the
time	time	time
as	as	a
not	not	not
specific	specif	specific
enough	enough	enough
,	,	,
and	and	and
the	the	the
search	search	search
has	has	ha
not	not	not
been	been	been
re	re	re
-opened	-open	-opened
.	.	.
Doing	do	Doing
so	so	so
depends	depend	depends
on	on	on
finding	find	finding
credible	credibl	credible
,	,	,
new	new	new
evidence	evid	evidence
about	about	about
the	the	the
plane	plane	plane
s	s	s
whereabouts	whereabout	whereabouts
.	.	.
The	the	The
ATSB	atsb	ATSB
report	report	report
published	publish	published
on	on	on
Tuesday	tuesday	Tuesday
detailed	detail	detailed
the	the	the
unsuccessful	unsuccess	unsuccessful
1	1	1
,	,	,
046	046	046
-day	-day	-day
hunt	hunt	hunt
for	for	for
the	the	the
plane	plane	plane
,	,	,
above	abov	above
and	and	and
below	below	below
the	the	the
surface	surfac	surface
of	of	of
the	the	the
Indian	indian	Indian
Ocean	ocean	Ocean
,	,	,
and	and	and
scientific	scientif	scientific
analyses	analys	analysis
of	of	of
satellite	satellit	satellite
pictures	pictur	picture
,	,	,
sea	sea	sea
currents	current	current
and	and	and
even	even	even
barnacles	barnacl	barnacle
found	found	found
clinging	cling	clinging
to	to	to
a	a	a
piece	piec	piece
of	of	of
the	the	the
plane	plane	plane
found	found	found
on	on	on
Reunion	reunion	Reunion
Island	island	Island
.	.	.
The	the	The
understanding	understand	understanding
of	of	of
where	where	where
MH370	mh370	MH370
may	may	may
be	be	be
located	locat	located
is	is	is
better	better	better
now	now	now
than	than	than
it	it	it
has	has	ha
ever	ever	ever
been	been	been
.	.	.
The	the	The
underwater	underwat	underwater
search	search	search
has	has	ha
eliminated	elimin	eliminated
most	most	most
of	of	of
the	the	the
high	high	high
probability	probabl	probability
areas	area	area
,	,	,
the	the	the
ATSB	atsb	ATSB
said	said	said
.	.	.
We	we	We
.	.	.
.	.	.
.	.	.
deeply	deepli	deeply
regret	regret	regret
that	that	that
we	we	we
have	have	have
not	not	not
been	been	been
able	abl	able
to	to	to
locate	locat	locate
the	the	the
aircraft	aircraft	aircraft
,	,	,
nor	nor	nor
those	those	those
239	239	239
souls	soul	soul
on	on	on
board	board	board
that	that	that
remain	remain	remain
missing	miss	missing
.	.	.
It	it	It
recommends	recommend	recommends
aircraft	aircraft	aircraft
and	and	and
aircraft	aircraft	aircraft
equipment	equip	equipment
manufacturers	manufactur	manufacturer
investigate	investig	investigate
providing	provid	providing
better	better	better
methods	method	method
of	of	of
automated	autom	automated
satellite	satellit	satellite
tracking	track	tracking
for	for	for
planes	plane	plane
if	if	if
they	they	they
encounter	encount	encounter
problems	problem	problem
during	dure	during
flight	flight	flight
in	in	in
future	futur	future
.	.	.
Malaysia	malaysia	Malaysia
has	has	ha
continued	continu	continued
to	to	to
investigate	investig	investigate
the	the	the
plane	plane	plane
s	s	s
whereabouts	whereabout	whereabouts
and	and	and
in	in	in
August	august	August
said	said	said
it	it	it
received	receiv	received
an	an	an
offer	offer	offer
from	from	from
a	a	a
private	privat	private
seabed	seab	seabed
exploration	explor	exploration
firm	firm	firm
,	,	,
Ocean	ocean	Ocean
Infinity	infin	Infinity
,	,	,
to	to	to
resume	resum	resume
the	the	the
search	search	search
.	.	.
Malaysian	malaysian	Malaysian
investigators	investig	investigator
said	said	said
in	in	in
2015	2015	2015
there	there	there
was	was	wa
nothing	noth	nothing
suspicious	suspici	suspicious
in	in	in
the	the	the
financial	financi	financial
,	,	,
medical	medic	medical
or	or	or
personal	person	personal
histories	histori	history
of	of	of
pilots	pilot	pilot
or	or	or
crew	crew	crew
.	.	.
For	for	For
a	a	a
graphic	graphic	graphic
on	on	on
The	the	The
world's	world	world's
largest	largest	largest
search	search	search
,	,	,
click	click	click
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2xbonEn	2xbonen	2xbonEn
