DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Saudi	saudi	Saudi
Arabia	arabia	Arabia
on	on	on
Thursday	thursday	Thursday
welcomed	welcom	welcomed
a	a	a
United	unit	United
Nations	nation	Nations
report	report	report
and	and	and
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
stand	stand	stand
on	on	on
Iran	iran	Iran
s	s	s
missile	missil	missile
supplies	suppli	supply
to	to	to
Yemen	yemen	Yemen
s	s	s
Houthis	houthi	Houthis
and	and	and
demanded	demand	demanded
immediate	immedi	immediate
action	action	action
to	to	to
hold	hold	hold
Tehran	tehran	Tehran
accountable	account	accountable
for	for	for
its	it	it
actions	action	action
,	,	,
state	state	state
news	news	news
agency	agenc	agency
SPA	spa	SPA
reported	report	reported
.	.	.
The	the	The
Kingdom	kingdom	Kingdom
of	of	of
Saudi	saudi	Saudi
Arabia	arabia	Arabia
welcomes	welcom	welcome
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
that	that	that
asserted	assert	asserted
that	that	that
the	the	the
hostile	hostil	hostile
Iranian	iranian	Iranian
intervention	intervent	intervention
and	and	and
its	it	it
support	support	support
for	for	for
the	the	the
terrorist	terrorist	terrorist
Houthi	houthi	Houthi
militia	militia	militia
with	with	with
advanced	advanc	advanced
and	and	and
dangerous	danger	dangerous
missile	missil	missile
capabilities	capabl	capability
threatens	threaten	threatens
the	the	the
security	secur	security
and	and	and
stability	stabil	stability
of	of	of
the	the	the
kingdom	kingdom	kingdom
and	and	and
the	the	the
region	region	region
,	,	,
SPA	spa	SPA
said	said	said
.	.	.
The	the	The
agency	agenc	agency
said	said	said
Saudi	saudi	Saudi
Arabia	arabia	Arabia
also	also	also
welcomed	welcom	welcomed
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
position	posit	position
announced	announc	announced
by	by	by
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
Nikki	nikki	Nikki
Haley	haley	Haley
,	,	,
who	who	who
presented	present	presented
pieces	piec	piece
of	of	of
what	what	what
she	she	she
said	said	said
were	were	were
Iranian	iranian	Iranian
weapons	weapon	weapon
supplied	suppli	supplied
to	to	to
the	the	the
Iran	iran	Iran
-aligned	-align	-aligned
Houthi	houthi	Houthi
and	and	and
described	describ	described
them	them	them
as	as	a
conclusive	conclus	conclusive
evidence	evid	evidence
that	that	that
Tehran	tehran	Tehran
was	was	wa
violating	violat	violating
U	u	U
.	.	.
N	n	N
.	.	.
resolutions	resolut	resolution
.	.	.
SPA	spa	SPA
said	said	said
the	the	the
evidence	evid	evidence
,	,	,
which	which	which
emerged	emerg	emerged
after	after	after
the	the	the
Houthis	houthi	Houthis
fired	fire	fired
a	a	a
missile	missil	missile
toward	toward	toward
the	the	the
capital	capit	capital
Riyadh	riyadh	Riyadh
last	last	last
month	month	month
,	,	,
was	was	wa
proof	proof	proof
of	of	of
violations	violat	violation
of	of	of
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
Resolutions	resolut	Resolutions
2216	2216	2216
and	and	and
2231	2231	2231
on	on	on
Yemen	yemen	Yemen
,	,	,
and	and	and
1559	1559	1559
and	and	and
1701	1701	1701
,	,	,
which	which	which
relate	relat	relate
to	to	to
Lebanon	lebanon	Lebanon
.	.	.
The	the	The
Kingdom	kingdom	Kingdom
of	of	of
Saudi	saudi	Saudi
Arabia	arabia	Arabia
demands	demand	demand
the	the	the
international	intern	international
community	communiti	community
to	to	to
take	take	take
immediate	immedi	immediate
measures	measur	measure
to	to	to
implement	implement	implement
the	the	the
aforementioned	aforement	aforementioned
Security	secur	Security
Council	council	Council
resolutions	resolut	resolution
and	and	and
to	to	to
hold	hold	hold
the	the	the
Iranian	iranian	Iranian
regime	regim	regime
accountable	account	accountable
for	for	for
its	it	it
hostile	hostil	hostile
actions	action	action
,	,	,
it	it	it
said	said	said
.	.	.
Saudi	saudi	Saudi
Arabia	arabia	Arabia
accuses	accus	accuses
Iran	iran	Iran
of	of	of
smuggling	smuggl	smuggling
missiles	missil	missile
to	to	to
the	the	the
Houthis	houthi	Houthis
through	through	through
ports	port	port
used	use	used
to	to	to
deliver	deliv	deliver
humanitarian	humanitarian	humanitarian
aid	aid	aid
and	and	and
food	food	food
shipments	shipment	shipment
to	to	to
Yemen	yemen	Yemen
.	.	.
It	it	It
said	said	said
the	the	the
evidence	evid	evidence
means	mean	mean
the	the	the
United	unit	United
Nations	nation	Nations
should	should	should
tighten	tighten	tighten
its	it	it
inspection	inspect	inspection
and	and	and
verification	verif	verification
regime	regim	regime
for	for	for
vessels	vessel	vessel
allowed	allow	allowed
into	into	into
Yemen	yemen	Yemen
.	.	.
