Gross	gross	Gross
!	!	!

As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
the	the	the
White	white	White
House	hous	House
is	is	is
a	a	a
wreck	wreck	wreck
with	with	with
infestations	infest	infestation
of	of	of
mice	mice	mouse
,	,	,
roaches	roach	roach
and	and	and
ants	ant	ant
.	.	.

It	it	It
s	s	s
being	be	being
reported	report	reported
that	that	that
hundreds	hundr	hundred
of	of	of
work	work	work
orders	order	order
have	have	have
been	been	been
made	made	made
to	to	to
fix	fix	fix
numerous	numer	numerous
problems	problem	problem
.	.	.

If	if	If
anyone	anyon	anyone
can	can	can
fix	fix	fix
the	the	the
White	white	White
House	hous	House
up	up	up
to	to	to
be	be	be
the	the	the
best	best	best
it	it	it
can	can	can
be	be	be
,	,	,
it	it	it
s	s	s
President	presid	President
Trump	trump	Trump
.	.	.

He	he	He
s	s	s
a	a	a
builder	builder	builder
and	and	and
a	a	a
perfectionist	perfectionist	perfectionist
so	so	so
it	it	it
s	s	s
no	no	no
surprise	surpris	surprise
that	that	that
he	he	he
reportedly	report	reportedly
said	said	said
the	the	the
White	white	White
House	hous	House
is	is	is
a	a	a
dump	dump	dump
.	.	.

He	he	He
s	s	s
use	use	use
to	to	to
5	5	5
-star	-star	-star
places	place	place
so	so	so
we	we	we
re	re	re
betting	bet	betting
he	he	he
ll	ll	ll
have	have	have
the	the	the
White	white	White
House	hous	House
in	in	in
5	5	5
-star	-star	-star
shape	shape	shape
AND	and	AND
under	under	under
budget	budget	budget
in	in	in
no	no	no
time	time	time
.	.	.
MAGA	maga	MAGA
!	!	!
Apparently	appar	Apparently
,	,	,
the	the	the
White	white	White
House	hous	House
really	realli	really
is	is	is
a	a	a
dump	dump	dump
with	with	with
work	work	work
orders	order	order
showing	show	showing
reports	report	report
of	of	of
mice	mice	mouse
and	and	and
cockroach	cockroach	cockroach
infestations	infest	infestation
in	in	in
the	the	the
West	west	West
Wing	wing	Wing
,	,	,
broken	broken	broken
toilet	toilet	toilet
seats	seat	seat
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
and	and	and
numerous	numer	numerous
other	other	other
problems	problem	problem
.	.	.
The	the	The
documents	document	document
,	,	,
obtained	obtain	obtained
by	by	by
NBC4	nbc4	NBC4
Washington	washington	Washington
,	,	,
were	were	were
made	made	made
public	public	public
this	this	this
week	week	week
just	just	just
months	month	month
after	after	after
President	presid	President
Trump	trump	Trump
reportedly	report	reportedly
criticized	critic	criticized
the	the	the
shape	shape	shape
that	that	that
it	it	it
was	was	wa
left	left	left
in	in	in
by	by	by
the	the	the
previous	previous	previous
administration	administr	administration
.	.	.

That	that	That
White	white	White
House	hous	House
is	is	is
a	a	a
real	real	real
dump	dump	dump
,	,	,
he	he	he
said	said	said
,	,	,
according	accord	according
to	to	to
Golf	golf	Golf
magazine	magazin	magazine
.	.	.
While	while	While
the	the	the
president	presid	president
later	later	later
denied	deni	denied
the	the	the
comment	comment	comment
,	,	,
it	it	it
turns	turn	turn
out	out	out
,	,	,
there	there	there
really	realli	really
are	are	are
loads	load	load
of	of	of
issues	issu	issue
plaguing	plagu	plaguing
the	the	the
historic	histor	historic
structure	structur	structure
