WINNIPEG	winnipeg	WINNIPEG
,	,	,
Manitoba	manitoba	Manitoba
Reuters	reuter	Reuters
-	-	-
Former	former	Former
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Jimmy	jimmi	Jimmy
Carter	carter	Carter
was	was	wa
receiving	receiv	receiving
hospital	hospit	hospital
care	care	care
on	on	on
Thursday	thursday	Thursday
after	after	after
becoming	becom	becoming
dehydrated	dehydr	dehydrated
at	at	at
a	a	a
charity	chariti	charity
house	hous	house
-building	-build	-building
project	project	project
in	in	in
Canada	canada	Canada
,	,	,
but	but	but
he	he	he
is	is	is
doing	do	doing
OK	ok	OK
,	,	,
Habitat	habitat	Habitat
for	for	for
Humanity	human	Humanity
said	said	said
.	.	.
Carter	carter	Carter
,	,	,
92	92	92
,	,	,
became	becam	became
unsteady	unsteadi	unsteady
at	at	at
the	the	the
construction	construct	construction
site	site	site
and	and	and
slumped	slump	slumped
away	away	away
from	from	from
his	his	his
work	work	work
area	area	area
to	to	to
a	a	a
chair	chair	chair
,	,	,
according	accord	according
to	to	to
eyewitnesses	eyewit	eyewitness
,	,	,
who	who	who
said	said	said
he	he	he
was	was	wa
working	work	working
for	for	for
more	more	more
than	than	than
an	an	an
hour	hour	hour
on	on	on
steps	step	step
of	of	of
the	the	the
home	home	home
,	,	,
using	use	using
a	a	a
drill	drill	drill
.	.	.
Several	sever	Several
workers	worker	worker
helped	help	helped
him	him	him
to	to	to
sit	sit	sit
,	,	,
and	and	and
he	he	he
was	was	wa
later	later	later
taken	taken	taken
away	away	away
by	by	by
ambulance	ambul	ambulance
.	.	.
His	his	His
medical	medic	medical
issue	issu	issue
resulted	result	resulted
from	from	from
dehydration	dehydr	dehydration
,	,	,
the	the	the
Carter	carter	Carter
Center	center	Center
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
He	he	He
had	had	had
been	been	been
working	work	working
on	on	on
a	a	a
building	build	building
project	project	project
with	with	with
Habitat	habitat	Habitat
for	for	for
Humanity	human	Humanity
,	,	,
a	a	a
charitable	charit	charitable
organization	organ	organization
promoting	promot	promoting
affordable	afford	affordable
home	home	home
ownership	ownership	ownership
.	.	.
Carter	carter	Carter
was	was	wa
taken	taken	taken
to	to	to
St	st	St
.	.	.
