ALTOONA	altoona	ALTOONA
,	,	,
Iowa	iowa	Iowa
Reuters	reuter	Reuters
-	-	-
Iowa	iowa	Iowa
s	s	s
governor	governor	governor
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
it	it	it
would	would	would
be	be	be
a	a	a
big	big	big
mistake	mistak	mistake
for	for	for
voters	voter	voter
in	in	in
the	the	the
nation	nation	nation
s	s	s
first	first	first
presidential	presidenti	presidential
contest	contest	contest
next	next	next
month	month	month
to	to	to
choose	choos	choose
Ted	ted	Ted
Cruz	cruz	Cruz
for	for	for
the	the	the
Republican	republican	Republican
nomination	nomin	nomination
,	,	,
citing	cite	citing
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
senator	senat	senator
s	s	s
opposition	opposit	opposition
to	to	to
a	a	a
biofuel	biofuel	biofuel
mandate	mandat	mandate
important	import	important
to	to	to
the	the	the
state	state	state
.	.	.
Republican	republican	Republican
Governor	governor	Governor
Terry	terri	Terry
Branstad	branstad	Branstad
said	said	said
Cruz	cruz	Cruz
was	was	wa
in	in	in
the	the	the
pocket	pocket	pocket
of	of	of
Big	big	Big
Oil	oil	Oil
,	,	,
and	and	and
criticized	critic	criticized
the	the	the
Texan	texan	Texan
s	s	s
opposition	opposit	opposition
to	to	to
the	the	the
Renewable	renew	Renewable
Fuel	fuel	Fuel
Standard	standard	Standard
,	,	,
which	which	which
requires	requir	requires
U	u	U
.	.	.
S	s	S
.	.	.
fuel	fuel	fuel
to	to	to
contain	contain	contain
a	a	a
minimum	minimum	minimum
amount	amount	amount
of	of	of
biofuels	biofuel	biofuels
,	,	,
including	includ	including
ethanol	ethanol	ethanol
.	.	.
Ethanol	ethanol	Ethanol
is	is	is
a	a	a
major	major	major
market	market	market
for	for	for
Iowa	iowa	Iowa
corn	corn	corn
,	,	,
and	and	and
the	the	the
state	state	state
s	s	s
voters	voter	voter
have	have	have
generally	general	generally
supported	support	supported
ethanol	ethanol	ethanol
mandates	mandat	mandate
.	.	.
Branstad	branstad	Branstad
said	said	said
Cruz	cruz	Cruz
is	is	is
a	a	a
big	big	big
opponent	oppon	opponent
of	of	of
renewable	renew	renewable
fuels	fuel	fuel
who	who	who
is	is	is
heavily	heavili	heavily
financed	financ	financed
by	by	by
Big	big	Big
Oil	oil	Oil
.	.	.
Ted	ted	Ted
Cruz	cruz	Cruz
,	,	,
who	who	who
is	is	is
ahead	ahead	ahead
in	in	in
the	the	the
polls	poll	poll
,	,	,
is	is	is
diametrically	diametr	diametrically
opposed	oppos	opposed
to	to	to
what	what	what
we	we	we
really	realli	really
care	care	care
about	about	about
,	,	,
and	and	and
that	that	that
is	is	is
growing	grow	growing
the	the	the
opportunity	opportun	opportunity
for	for	for
renewable	renew	renewable
fuels	fuel	fuel
in	in	in
this	this	this
country	countri	country
,	,	,
Branstad	branstad	Branstad
said	said	said
.	.	.
Branstad	branstad	Branstad
spoke	spoke	spoke
after	after	after
addressing	address	addressing
the	the	the
Iowa	iowa	Iowa
Renewable	renew	Renewable
Fuels	fuel	Fuels
Summit	summit	Summit
,	,	,
where	where	where
Republican	republican	Republican
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
also	also	also
spoke	spoke	spoke
later	later	later
in	in	in
the	the	the
day	day	day
and	and	and
endorsed	endors	endorsed
the	the	the
Renewable	renew	Renewable
Fuel	fuel	Fuel
Standard	standard	Standard
.	.	.
Branstad	branstad	Branstad
s	s	s
oldest	oldest	oldest
son	son	son
,	,	,
Eric	eric	Eric
,	,	,
has	has	ha
worked	work	worked
on	on	on
a	a	a
political	polit	political
action	action	action
committee	committe	committee
that	that	that
has	has	ha
been	been	been
critical	critic	critical
of	of	of
Cruz	cruz	Cruz
s	s	s
ethanol	ethanol	ethanol
stance	stanc	stance
.	.	.
The	the	The
governor	governor	governor
has	has	ha
said	said	said
he	he	he
would	would	would
not	not	not
endorse	endors	endorse
a	a	a
candidate	candid	candidate
before	befor	before
the	the	the
Feb	feb	Feb
.	.	.
1	1	1
caucuses	caucus	caucus
in	in	in
Iowa	iowa	Iowa
,	,	,
where	where	where
Cruz	cruz	Cruz
leads	lead	lead
Trump	trump	Trump
in	in	in
some	some	some
opinion	opinion	opinion
polls	poll	poll
.	.	.
I	i	I
think	think	think
it	it	it
would	would	would
be	be	be
a	a	a
big	big	big
mistake	mistak	mistake
for	for	for
Iowa	iowa	Iowa
to	to	to
support	support	support
him	him	him
,	,	,
Branstad	branstad	Branstad
said	said	said
of	of	of
Cruz	cruz	Cruz
.	.	.
I	i	I
know	know	know
he	he	he
s	s	s
ahead	ahead	ahead
in	in	in
the	the	the
polls	poll	poll
,	,	,
but	but	but
the	the	the
only	onli	only
poll	poll	poll
that	that	that
counts	count	count
is	is	is
the	the	the
one	one	one
they	they	they
take	take	take
on	on	on
caucus	caucus	caucus
night	night	night
.	.	.
And	and	And
I	i	I
think	think	think
it	it	it
could	could	could
change	chang	change
between	between	between
now	now	now
and	and	and
then	then	then
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Representative	repres	Representative
Steve	steve	Steve
King	king	King
of	of	of
Iowa	iowa	Iowa
,	,	,
who	who	who
backs	back	back
Cruz	cruz	Cruz
,	,	,
criticized	critic	criticized
Branstad	branstad	Branstad
s	s	s
comments	comment	comment
as	as	a
a	a	a
de	de	de
facto	facto	facto
endorsement	endors	endorsement
of	of	of
Trump	trump	Trump
.	.	.
Reporting	report	Reporting
by	by	by
Kay	kay	Kay
Henderson	henderson	Henderson
;	;	;
Writing	write	Writing
by	by	by
Doina	doina	Doina
Chiacu	chiacu	Chiacu
;	;	;
Editing	edit	Editing
by	by	by
Jonathan	jonathan	Jonathan
Oatis	oati	Oatis
SAP	sap	SAP
is	is	is
the	the	the
sponsor	sponsor	sponsor
of	of	of
this	this	this
coverage	coverag	coverage
which	which	which
is	is	is
independently	independ	independently
produced	produc	produced
by	by	by
the	the	the
staff	staff	staff
of	of	of
Reuters	reuter	Reuters
News	news	News
Agency	agenc	Agency
.	.	.
