Ruline	rulin	Ruline
Steininger	steining	Steininger
wants	want	want
to	to	to
participate	particip	participate
in	in	in
an	an	an
historic	histor	historic
election	elect	election
that	that	that
could	could	could
result	result	result
in	in	in
the	the	the
first	first	first
female	femal	female
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
and	and	and
she	she	she
isn	isn	isn
t	t	t
going	go	going
to	to	to
vote	vote	vote
for	for	for
national	nation	national
disaster	disast	disaster
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Steininger	steining	Steininger
is	is	is
103	103	103
years	year	year
old	old	old
,	,	,
and	and	and
was	was	wa
only	onli	only
seven	seven	seven
years	year	year
old	old	old
in	in	in
1920	1920	1920
when	when	when
women	women	woman
won	won	won
the	the	the
right	right	right
to	to	to
vote	vote	vote
with	with	with
the	the	the
passage	passag	passage
and	and	and
ratification	ratif	ratification
of	of	of
the	the	the
19th	19th	19th
Amendment	amend	Amendment
.	.	.
Throughout	throughout	Throughout
her	her	her
life	life	life
and	and	and
the	the	the
lives	live	life
of	of	of
every	everi	every
woman	woman	woman
in	in	in
America	america	America
since	sinc	since
the	the	the
founding	found	founding
of	of	of
our	our	our
country	countri	country
there	there	there
has	has	ha
never	never	never
been	been	been
a	a	a
woman	woman	woman
president	presid	president
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
now	now	now
poised	pois	poised
to	to	to
break	break	break
that	that	that
unfortunate	unfortun	unfortunate
streak	streak	streak
since	sinc	since
becoming	becom	becoming
the	the	the
first	first	first
woman	woman	woman
to	to	to
become	becom	become
the	the	the
presidential	presidenti	presidential
nominee	nomine	nominee
of	of	of
a	a	a
major	major	major
political	polit	political
party	parti	party
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
s	s	s
Christiane	christian	Christiane
Amanpour	amanpour	Amanpour
,	,	,
the	the	the
Iowa	iowa	Iowa
native	nativ	native
expressed	express	expressed
her	her	her
delight	delight	delight
that	that	that
she	she	she
has	has	ha
the	the	the
chance	chanc	chance
to	to	to
finally	final	finally
cast	cast	cast
her	her	her
vote	vote	vote
for	for	for
a	a	a
woman	woman	woman
in	in	in
the	the	the
upcoming	upcom	upcoming
presidential	presidenti	presidential
election	elect	election
in	in	in
November	novemb	November
,	,	,
especially	especi	especially
if	if	if
it	it	it
means	mean	mean
blocking	block	blocking
Donald	donald	Donald
Trump	trump	Trump
from	from	from
stepping	step	stepping
foot	foot	foot
in	in	in
the	the	the
White	white	White
House	hous	House
next	next	next
year	year	year
.	.	.

She	she	She
s	s	s
our	our	our
only	onli	only
hope	hope	hope
,	,	,
Steininger	steining	Steininger
said	said	said
of	of	of
Clinton	clinton	Clinton
.	.	.

We	we	We
certainly	certain	certainly
don	don	don
t	t	t
want	want	want
Trump	trump	Trump
for	for	for
a	a	a
president	presid	president
.	.	.

Hillary	hillari	Hillary
is	is	is
the	the	the
best	best	best
qualified	qualifi	qualified
candidate	candid	candidate
we	we	we
have	have	have
had	had	had
in	in	in
a	a	a
long	long	long
long	long	long
time	time	time
.	.	.

I	i	I
never	never	never
thought	thought	thought
we	we	we
d	d	d
see	see	see
a	a	a
woman	woman	woman
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
but	but	but
this	this	this
is	is	is
the	the	the
year	year	year
.	.	.

Back	back	Back
in	in	in
December	decemb	December
,	,	,
Steininger	steining	Steininger
sent	sent	sent
her	her	her
family	famili	family
a	a	a
Christmas	christma	Christmas
card	card	card
vowing	vow	vowing
that	that	that
she	she	she
will	will	will
do	do	do
whatever	whatev	whatever
it	it	it
takes	take	take
to	to	to
stay	stay	stay
alive	aliv	alive
long	long	long
enough	enough	enough
to	to	to
cast	cast	cast
her	her	her
vote	vote	vote
in	in	in
this	this	this
crucial	crucial	crucial
election	elect	election
.	.	.

The	the	The
chances	chanc	chance
are	are	are
high	high	high
that	that	that
my	my	my
vote	vote	vote
will	will	will
be	be	be
absent	absent	absent
,	,	,
she	she	she
wrote	wrote	wrote
.	.	.

After	after	After
giving	give	giving
this	this	this
problem	problem	problem
much	much	much
serious	serious	serious
thought	thought	thought
and	and	and
consideration	consider	consideration
,	,	,
I	i	I
ve	ve	ve
come	come	come
to	to	to
the	the	the
decision	decis	decision
that	that	that
I	i	I
must	must	must
live	live	live
to	to	to
do	do	do
my	my	my
part	part	part
November	novemb	November
2016	2016	2016
.	.	.

I	i	I
can	can	can
die	die	die
later	later	later
.	.	.

Voting	vote	Voting
to	to	to
put	put	put
a	a	a
woman	woman	woman
in	in	in
the	the	the
White	white	White
House	hous	House
is	is	is
not	not	not
the	the	the
only	onli	only
reason	reason	reason
she	she	she
decided	decid	decided
to	to	to
cheat	cheat	cheat
death	death	death
for	for	for
another	anoth	another
year	year	year
.	.	.

She	she	She
s	s	s
genuinely	genuin	genuinely
shocked	shock	shocked
that	that	that
Donald	donald	Donald
trump	trump	trump
has	has	ha
gotten	gotten	gotten
this	this	this
far	far	far
and	and	and
that	that	that
people	peopl	people
genuinely	genuin	genuinely
think	think	think
he	he	he
s	s	s
a	a	a
qualified	qualifi	qualified
candidate	candid	candidate
to	to	to
lead	lead	lead
the	the	the
country	countri	country
.	.	.

I	i	I
don	don	don
t	t	t
know	know	know
what	what	what
has	has	ha
gotten	gotten	gotten
into	into	into
people	peopl	people
,	,	,
she	she	she
told	told	told
Amanpour	amanpour	Amanpour
