EAG	eag	EAG
News	news	News
A	a	A
Wyoming	wyom	Wyoming
high	high	high
school	school	school
is	is	is
under	under	under
fire	fire	fire
after	after	after
parents	parent	parent
exposed	expos	exposed
an	an	an
online	onlin	online
student	student	student
quiz	quiz	quiz
that	that	that
offered	offer	offered
shooting	shoot	shooting
at	at	at
Trump	trump	Trump
as	as	a
one	one	one
of	of	of
the	the	the
multiple	multipl	multiple
choice	choic	choice
answers	answer	answer
.	.	.
An	an	An
unidentified	unidentifi	unidentified
English	english	English
teacher	teacher	teacher
at	at	at
Jackson	jackson	Jackson
Hole	hole	Hole
High	high	High
School	school	School
gave	gave	gave
students	student	student
a	a	a
multiple	multipl	multiple
choice	choic	choice
quiz	quiz	quiz
on	on	on
Thursday	thursday	Thursday
about	about	about
George	georg	George
Orwell	orwel	Orwell
s	s	s
novel	novel	novel
Animal	anim	Animal
Farm	farm	Farm
that	that	that
included	includ	included
a	a	a
question	question	question
that	that	that
many	mani	many
are	are	are
pointing	point	pointing
to	to	to
as	as	a
an	an	an
example	exampl	example
of	of	of
the	the	the
district	district	district
s	s	s
liberal	liber	liberal
bias	bias	bias
,	,	,
the	the	the
Jackson	jackson	Jackson
Hole	hole	Hole
News	news	News
and	and	and
Guide	guid	Guide
reports	report	report
.	.	.

Napoleon	napoleon	Napoleon
has	has	ha
a	a	a
gun	gun	gun
fired	fire	fired
for	for	for
a	a	a
new	new	new
occasion	occas	occasion
.	.	.

What	what	What
is	is	is
the	the	the
new	new	new
occasion	occas	occasion
?	?	?

the	the	the
quiz	quiz	quiz
read	read	read
.	.	.
Possible	possibl	Possible
answers	answer	answer
included	includ	included
He	he	He
was	was	wa
shooting	shoot	shooting
at	at	at
Trump	trump	Trump
,	,	,
His	his	His
birthday	birthday	birthday
,	,	,
For	for	For
completion	complet	completion
of	of	of
the	the	the
windmill	windmil	windmill
,	,	,
or	or	or
To	to	To
scare	scare	scare
off	off	off
the	the	the
attackers	attack	attacker
of	of	of
Animal	anim	Animal
Farm	farm	Farm
.	.	.

Jim	jim	Jim
McCollum	mccollum	McCollum
told	told	told
the	the	the
news	news	news
site	site	site
he	he	he
did	did	did
a	a	a
double	doubl	double
-take	-take	-take
when	when	when
his	his	his
son	son	son
showed	show	showed
him	him	him
a	a	a
screenshot	screenshot	screenshot
he	he	he
took	took	took
of	of	of
the	the	the
test	test	test
.	.	.

I	i	I
had	had	had
to	to	to
read	read	read
it	it	it
two	two	two
times	time	time
,	,	,
McCollum	mccollum	McCollum
said	said	said
.	.	.

I	i	I
was	was	wa
like	like	like
,	,	,
Are	are	Are
you	you	you
kidding	kid	kidding
me	me	me
?	?	?

McCollum	mccollum	McCollum
,	,	,
a	a	a
Jackson	jackson	Jackson
Hole	hole	Hole
High	high	High
School	school	School
graduate	graduat	graduate
and	and	and
Trump	trump	Trump
supporter	support	supporter
,	,	,
shared	share	shared
the	the	the
quiz	quiz	quiz
on	on	on
Facebook	facebook	Facebook
,	,	,
where	where	where
it	it	it
was	was	wa
shared	share	shared
widely	wide	widely
and	and	and
generated	generat	generated
a	a	a
lot	lot	lot
of	of	of
angry	angri	angry
comments	comment	comment
.	.	.

It	it	It
was	was	wa
so	so	so
inappropriate	inappropri	inappropriate
to	to	to
show	show	show
a	a	a
name	name	name
of	of	of
a	a	a
sitting	sit	sitting
president	presid	president
in	in	in
that	that	that
question	question	question
,	,	,
he	he	he
said	said	said
.	.	.

To	to	To
me	me	me
,	,	,
that	that	that
is	is	is
so	so	so
wrong	wrong	wrong
in	in	in
light	light	light
of	of	of
the	the	the
situation	situat	situation
in	in	in
our	our	our
country	countri	country
and	and	and
the	the	the
divisiveness	divis	divisiveness
and	and	and
all	all	all
.	.	.

He	he	He
told	told	told
the	the	the
news	news	news
site	site	site
the	the	the
incident	incid	incident
is	is	is
one	one	one
of	of	of
other	other	other
examples	exampl	example
of	of	of
liberal	liber	liberal
bias	bias	bias
in	in	in
other	other	other
classes	class	class
at	at	at
the	the	the
school	school	school
that	that	that
make	make	make
conservative	conserv	conservative
students	student	student
like	like	like
son	son	son
out	out	out
to	to	to
be	be	be
the	the	the
outcast	outcast	outcast
.	.	.

He	he	He
told	told	told
me	me	me
,	,	,
Dad	dad	Dad
,	,	,
they	they	they
crapped	crap	crapped
on	on	on
everything	everyth	everything
I	i	I
believe	believ	believe
in	in	in
,	,	,
McCollum	mccollum	McCollum
said	said	said
of	of	of
his	his	his
son	son	son
.	.	.

Rylee	ryle	Rylee
is	is	is
very	veri	very
patriotic	patriot	patriotic
,	,	,
very	veri	very
supportive	support	supportive
of	of	of
our	our	our
military	militari	military
and	and	and
of	of	of
our	our	our
country	countri	country
and	and	and
is	is	is
considering	consid	considering
enlisting	enlist	enlisting
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Marines	marin	Marines
.	.	.
School	school	School
officials	offici	official
eventually	eventu	eventually
issued	issu	issued
a	a	a
statement	statement	statement
about	about	about
the	the	the
quiz	quiz	quiz
on	on	on
Monday	monday	Monday
.	.	.

District	district	District
administration	administr	administration
learned	learn	learned
late	late	late
yesterday	yesterday	yesterday
that	that	that
a	a	a
quiz	quiz	quiz
was	was	wa
administered	administ	administered
to	to	to
a	a	a
class	class	class
of	of	of
high	high	high
school	school	school
students	student	student
that	that	that
contained	contain	contained
an	an	an
inappropriate	inappropri	inappropriate
answer	answer	answer
to	to	to
a	a	a
multiple	multipl	multiple
choice	choic	choice
question	question	question
.	.	.

Administration	administr	Administration
is	is	is
investigating	investig	investigating
this	this	this
incident	incid	incident
and	and	and
verifying	verifi	verifying
the	the	the
information	inform	information
we	we	we
have	have	have
received	receiv	received
,	,	,
the	the	the
statement	statement	statement
read	read	read
.	.	.

The	the	The
District	district	District
takes	take	take
seriously	serious	seriously
threats	threat	threat
of	of	of
any	ani	any
kind	kind	kind
,	,	,
regardless	regardless	regardless
of	of	of
the	the	the
intent	intent	intent
.	.	.

We	we	We
apologize	apolog	apologize
to	to	to
the	the	the
students	student	student
,	,	,
families	famili	family
,	,	,
and	and	and
community	communiti	community
for	for	for
this	this	this
incident	incid	incident
and	and	and
will	will	will
be	be	be
addressing	address	addressing
the	the	the
issue	issu	issue
with	with	with
personnel	personnel	personnel
.	.	.

It	it	It
s	s	s
unclear	unclear	unclear
what	what	what
,	,	,
if	if	if
any	ani	any
,	,	,
discipline	disciplin	discipline
the	the	the
teacher	teacher	teacher
may	may	may
face	face	face
.	.	.
The	the	The
incident	incid	incident
occurred	occur	occurred
in	in	in
the	the	the
Teton	teton	Teton
County	counti	County
School	school	School
