According	accord	According
to	to	to
a	a	a
new	new	new
report	report	report
Saturday	saturday	Saturday
from	from	from
Axios	axio	Axios
,	,	,
a	a	a
source	sourc	source
very	veri	very
close	close	close
to	to	to
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
indicated	indic	indicated
that	that	that
Trump	trump	Trump
believes	believ	belief
his	his	his
chief	chief	chief
strategist	strategist	strategist
Steve	steve	Steve
Bannon	bannon	Bannon
is	is	is
to	to	to
blame	blame	blame
for	for	for
leaks	leak	leak
coming	come	coming
out	out	out
of	of	of
the	the	the
White	white	White
House	hous	House
regarding	regard	regarding
other	other	other
members	member	member
of	of	of
Trump	trump	Trump
s	s	s
staff	staff	staff
.	.	.
It	it	It
would	would	would
be	be	be
easy	easi	easy
to	to	to
say	say	say
at	at	at
this	this	this
point	point	point
that	that	that
Bannon	bannon	Bannon
s	s	s
position	posit	position
at	at	at
Trump	trump	Trump
s	s	s
right	right	right
hand	hand	hand
is	is	is
in	in	in
jeopardy	jeopardi	jeopardy
,	,	,
but	but	but
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
is	is	is
simply	simpli	simply
talking	talk	talking
about	about	about
it	it	it
instead	instead	instead
of	of	of
firing	fire	firing
him	him	him
already	alreadi	already
may	may	may
indicate	indic	indicate
otherwise	otherwis	otherwise
.	.	.
This	this	This
could	could	could
be	be	be
an	an	an
elaborate	elabor	elaborate
test	test	test
to	to	to
see	see	see
if	if	if
the	the	the
news	news	news
that	that	that
Trump	trump	Trump
suspects	suspect	suspect
Bannon	bannon	Bannon
makes	make	make
it	it	it
out	out	out
of	of	of
the	the	the
White	white	White
House	hous	House
,	,	,
which	which	which
of	of	of
course	cours	course
it	it	it
has	has	ha
meaning	mean	meaning
whoever	whoever	whoever
the	the	the
president	presid	president
told	told	told
about	about	about
his	his	his
suspicions	suspicion	suspicion
is	is	is
,	,	,
if	if	if
not	not	not
the	the	the
leaker	leaker	leaker
,	,	,
at	at	at
least	least	least
also	also	also
a	a	a
leaker	leaker	leaker
.	.	.
Or	or	Or
it	it	it
could	could	could
be	be	be
that	that	that
Bannon	bannon	Bannon
is	is	is
innocent	innoc	innocent
,	,	,
and	and	and
the	the	the
Axios	axio	Axios
source	sourc	source
is	is	is
the	the	the
leaker	leaker	leaker
,	,	,
trying	tri	trying
to	to	to
throw	throw	throw
everyone	everyon	everyone
off	off	off
the	the	the
trail	trail	trail
.	.	.
Most	most	Most
likely	like	likely
,	,	,
however	howev	however
,	,	,
is	is	is
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
a	a	a
loose	loos	loose
-lipped	-lip	-lipped
dipshit	dipshit	dipshit
who	who	who
doesn	doesn	doesn
t	t	t
care	care	care
who	who	who
his	his	his
audience	audienc	audience
is	is	is
,	,	,
he	he	he
just	just	just
wants	want	want
to	to	to
look	look	look
like	like	like
he	he	he
knows	know	know
what	what	what
he	he	he
s	s	s
doing	do	doing
.	.	.
Even	even	Even
having	have	having
a	a	a
suspicion	suspicion	suspicion
means	mean	mean
he	he	he
s	s	s
thinking	think	thinking
about	about	about
it	it	it
,	,	,
right	right	right
?	?	?
Bannon	bannon	Bannon
has	has	ha
not	not	not
commented	comment	commented
on	on	on
the	the	the
news	news	news
,	,	,
nor	nor	nor
is	is	is
he	he	he
likely	like	likely
to	to	to
.	.	.
The	the	The
notorious	notori	notorious
white	white	white
supremacist	supremacist	supremacist
has	has	ha
more	more	more
to	to	to
worry	worri	worry
about	about	about
right	right	right
now	now	now
with	with	with
his	his	his
movement	movement	movement
than	than	than
whether	whether	whether
or	or	or
not	not	not
he	he	he
keeps	keep	keep
his	his	his
job	job	job
at	at	at
the	the	the
White	white	White
House	hous	House
.	.	.
After	after	After
Saturday	saturday	Saturday
s	s	s
vehicular	vehicular	vehicular
murder	murder	murder
of	of	of
one	one	one
protester	protest	protester
and	and	and
grievous	grievous	grievous
injury	injuri	injury
to	to	to
3	3	3
dozen	dozen	dozen
others	other	others
following	follow	following
Friday	friday	Friday
s	s	s
torchlight	torchlight	torchlight
rally	ralli	rally
of	of	of
the	the	the
alt	alt	alt
-Right	-right	-Right
and	and	and
KKK	kkk	KKK
,	,	,
more	more	more
attention	attent	attention
will	will	will
surely	sure	surely
be	be	be
paid	paid	paid
to	to	to
nationalist	nationalist	nationalist
hate	hate	hate
groups	group	group
across	across	across
the	the	the
country	countri	country
,	,	,
regardless	regardless	regardless
of	of	of
what	what	what
Trump	trump	Trump
or	or	or
Bannon	bannon	Bannon
wants	want	want
.	.	.
The	the	The
odds	odd	odds
of	of	of
Trump	trump	Trump
finally	final	finally
getting	get	getting
rid	rid	rid
of	of	of
the	the	the
Breitbart	breitbart	Breitbart
impresario	impresario	impresario
of	of	of
intolerance	intoler	intolerance
are	are	are
much	much	much
higher	higher	higher
now	now	now
that	that	that
his	his	his
new	new	new
Chief	chief	Chief
of	of	of
Staff	staff	Staff
,	,	,
General	general	General
John	john	John
Kelly	kelli	Kelly
,	,	,
has	has	ha
already	alreadi	already
set	set	set
a	a	a
precedent	preced	precedent
with	with	with
the	the	the
firing	fire	firing
of	of	of
Anthony	anthoni	Anthony
Scaramucci	scaramucci	Scaramucci
.	.	.
Then	then	Then
again	again	again
,	,	,
it	it	it
could	could	could
be	be	be
that	that	that
Bannon	bannon	Bannon
knows	know	know
where	where	where
all	all	all
the	the	the
bodies	bodi	body
are	are	are
buried	buri	buried
,	,	,
so	so	so
to	to	to
speak	speak	speak
,	,	,
and	and	and
Trump	trump	Trump
can	can	can
t	t	t
risk	risk	risk
getting	get	getting
rid	rid	rid
of	of	of
him	him	him
whether	whether	whether
he	he	he
trusts	trust	trust
him	him	him
or	or	or
not	not	not
.	.	.
All	all	All
I	i	I
know	know	know
is	is	is
,	,	,
both	both	both
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Steve	steve	Steve
Bannon	bannon	Bannon
are	are	are
unhappy	unhappi	unhappy
,	,	,
and	and	and
that	that	that
makes	make	make
me	me	me
smile	smile	smile
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
