With	with	With
only	onli	only
three	three	three
clowns	clown	clown
left	left	left
in	in	in
GOP	gop	GOP
clown	clown	clown
car	car	car
,	,	,
Republicans	republican	Republicans
are	are	are
doing	do	doing
everything	everyth	everything
they	they	they
can	can	can
to	to	to
prevent	prevent	prevent
Donald	donald	Donald
Trump	trump	Trump
from	from	from
winning	win	winning
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
nomination	nomin	nomination
.	.	.
During	dure	During
a	a	a
segment	segment	segment
on	on	on
The	the	The
Late	late	Late
Show	show	Show
,	,	,
Stephen	stephen	Stephen
Colbert	colbert	Colbert
hilariously	hilari	hilariously
mocks	mock	mock
Trump	trump	Trump
s	s	s
victory	victori	victory
tantrum	tantrum	tantrum
and	and	and
explains	explain	explains
the	the	the
only	onli	only
two	two	two
ways	way	way
to	to	to
stop	stop	stop
Trump	trump	Trump
from	from	from
securing	secur	securing
the	the	the
nomination	nomin	nomination
.	.	.
Since	sinc	Since
the	the	the
Republican	republican	Republican
primary	primari	primary
race	race	race
is	is	is
being	be	being
dominated	domin	dominated
by	by	by
a	a	a
has	has	ha
been	been	been
reality	realiti	reality
TV	tv	TV
star	star	star
,	,	,
Colbert	colbert	Colbert
appropriately	appropri	appropriately
likens	liken	likens
the	the	the
race	race	race
to	to	to
The	the	The
Bachelor	bachelor	Bachelor
.	.	.
Colbert	colbert	Colbert
lampoons	lampoon	lampoon
Ohio	ohio	Ohio
governor	governor	governor
John	john	John
Kasich	kasich	Kasich
s	s	s
claim	claim	claim
that	that	that
he	he	he
can	can	can
still	still	still
win	win	win
the	the	the
nomination	nomin	nomination
after	after	after
his	his	his
only	onli	only
win	win	win
in	in	in
Ohio	ohio	Ohio
.	.	.
Colbert	colbert	Colbert
quips	quip	quip
that	that	that
Kasich	kasich	Kasich
would	would	would
have	have	have
to	to	to
be	be	be
made	made	made
the	the	the
governor	governor	governor
of	of	of
every	everi	every
remaining	remain	remaining
state	state	state
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
in	in	in
order	order	order
for	for	for
the	the	the
candidate	candid	candidate
to	to	to
have	have	have
any	ani	any
real	real	real
chance	chanc	chance
of	of	of
winning	win	winning
the	the	the
nomination	nomin	nomination
.	.	.
So	so	So
,	,	,
even	even	even
though	though	though
Kasich	kasich	Kasich
has	has	ha
not	not	not
dropped	drop	dropped
out	out	out
of	of	of
the	the	the
race	race	race
,	,	,
the	the	the
only	onli	only
possible	possibl	possible
person	person	person
left	left	left
in	in	in
the	the	the
race	race	race
who	who	who
could	could	could
defeat	defeat	defeat
Trump	trump	Trump
is	is	is
The	the	The
Zodiac	zodiac	Zodiac
Killer	killer	Killer
Ted	ted	Ted
Cruz	cruz	Cruz
.	.	.
That	that	That
isn	isn	isn
t	t	t
good	good	good
news	news	news
for	for	for
the	the	the
GOP	gop	GOP
or	or	or
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Cruz	cruz	Cruz
,	,	,
while	while	while
he	he	he
has	has	ha
yet	yet	yet
to	to	to
start	start	start
a	a	a
race	race	race
riot	riot	riot
at	at	at
a	a	a
campaign	campaign	campaign
event	event	event
,	,	,
is	is	is
actually	actual	actually
far	far	far
worse	wors	worse
than	than	than
Trump	trump	Trump
in	in	in
terms	term	term
of	of	of
policy	polici	policy
.	.	.
Cruz	cruz	Cruz
is	is	is
also	also	also
incredibly	incred	incredibly
creepy	creepi	creepy
.	.	.
Colbert	colbert	Colbert
jokes	joke	joke
at	at	at
the	the	the
idea	idea	idea
of	of	of
Cruz	cruz	Cruz
winning	win	winning
the	the	the
Republican	republican	Republican
nomination	nomin	nomination
,	,	,
saying	say	saying
If	if	If
every	everi	every
single	singl	single
Trump	trump	Trump
voter	voter	voter
unites	unit	unites
behind	behind	behind
him	him	him
,	,	,
he	he	he
could	could	could
get	get	get
enough	enough	enough
delegates	deleg	delegate
to	to	to
be	be	be
the	the	the
nominee	nomine	nominee
.	.	.
Then	then	Then
the	the	the
GOP	gop	GOP
establishment	establish	establishment
can	can	can
say	say	say
,	,	,
Goodbye	goodby	Goodbye
,	,	,
candidate	candid	candidate
we	we	we
don	don	don
t	t	t
like	like	like
!	!	!
Hello	hello	Hello
,	,	,
candidate	candid	candidate
,	,	,
we	we	we
can	can	can
t	t	t
stand	stand	stand
!	!	!
If	if	If
Cruz	cruz	Cruz
cannot	cannot	cannot
secure	secur	secure
enough	enough	enough
votes	vote	vote
to	to	to
secure	secur	secure
the	the	the
nomination	nomin	nomination
,	,	,
Republicans	republican	Republicans
will	will	will
have	have	have
one	one	one
final	final	final
shot	shot	shot
at	at	at
defeating	defeat	defeating
Trump	trump	Trump
a	a	a
brokered	broker	brokered
convention	convent	convention
.	.	.
So	so	So
if	if	if
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
get	get	get
to	to	to
1	1	1
,	,	,
237	237	237
delegates	deleg	delegate
in	in	in
the	the	the
first	first	first
round	round	round
of	of	of
voting	vote	voting
,	,	,
they	they	they
re	re	re
all	all	all
free	free	free
to	to	to
vote	vote	vote
for	for	for
whoever	whoever	whoever
.	.	.
Which	which	Which
is	is	is
great	great	great
news	news	news
.	.	.
The	the	The
Republican	republican	Republican
campaign	campaign	campaign
can	can	can
start	start	start
all	all	all
over	over	over
again	again	again
,	,	,
only	onli	only
this	this	this
time	time	time
it	it	it
s	s	s
all	all	all
crammed	cram	crammed
into	into	into
one	one	one
week	week	week
.	.	.
You	you	You
can	can	can
binge	bing	binge
watch	watch	watch
the	the	the
death	death	death
of	of	of
the	the	the
GOP	gop	GOP
!	!	!
You	you	You
can	can	can
watch	watch	watch
the	the	the
segment	segment	segment
,	,	,
in	in	in
full	full	full
,	,	,
below	below	below
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
video	video	video
screenshot	screenshot	screenshot
