CNN	cnn	CNN
reporter	report	reporter
Jeff	jeff	Jeff
Zeleny	zeleni	Zeleny
said	said	said
on	on	on
Monday	monday	Monday
that	that	that
country	countri	country
music	music	music
fans	fan	fan
who	who	who
attended	attend	attended
the	the	the
Las	las	Las
Vegas	vega	Vegas
concert	concert	concert
Sunday	sunday	Sunday
night	night	night
were	were	were
likely	like	likely
Trump	trump	Trump
supporters	support	supporter
.	.	.

Zeleny	zeleni	Zeleny
does	doe	doe
what	what	what
the	the	the
left	left	left
has	has	ha
been	been	been
saying	say	saying
not	not	not
to	to	to
do	do	do
he	he	he
politicizes	politic	politicizes
this	this	this
horrific	horrif	horrific
massacre	massacr	massacre
by	by	by
using	use	using
identity	ident	identity
politics	polit	politics
.	.	.

What	what	What
would	would	would
the	the	the
left	left	left
do	do	do
without	without	without
identity	ident	identity
politics	polit	politics
?	?	?

It	it	It
s	s	s
their	their	their
go	go	go
-to	-to	-to
strategy	strategi	strategy
in	in	in
all	all	all
situations	situat	situation
but	but	but
is	is	is
particularly	particular	particularly
sickening	sicken	sickening
in	in	in
this	this	this
tragic	tragic	tragic
one	one	one
.	.	.
NOTE	note	NOTE
THERE	there	THERE
IS	is	IS
SOME	some	SOME
MIC	mic	MIC
TROUBLE	troubl	TROUBLE
DURING	dure	DURING
THE	the	THE
VIDEO	video	VIDEO
At	at	At
least	least	least
50	50	50
people	peopl	people
were	were	were
killed	kill	killed
and	and	and
more	more	more
than	than	than
500	500	500
were	were	were
injured	injur	injured
when	when	when
gunman	gunman	gunman
Stephen	stephen	Stephen
Paddock	paddock	Paddock
opened	open	opened
fire	fire	fire
on	on	on
country	countri	country
music	music	music
festival	festiv	festival
attendees	attende	attendee
Sunday	sunday	Sunday
night	night	night
from	from	from
his	his	his
32nd	32nd	32nd
floor	floor	floor
room	room	room
at	at	at
Mandalay	mandalay	Mandalay
Bay	bay	Bay
Hotel	hotel	Hotel
,	,	,
according	accord	according
to	to	to
local	local	local
authorities	author	authority
.	.	.
Zeleny	zeleni	Zeleny
said	said	said
Trump	trump	Trump
,	,	,
in	in	in
his	his	his
remarks	remark	remark
about	about	about
the	the	the
shooting	shoot	shooting
,	,	,
took	took	took
on	on	on
the	the	the
role	role	role
of	of	of
being	be	being
a	a	a
unifier	unifi	unifier
for	for	for
the	the	the
country	countri	country
.	.	.

The	the	The
president	presid	president
,	,	,
he	he	he
left	left	left
it	it	it
to	to	to
his	his	his
role	role	role
of	of	of
being	be	being
a	a	a
unifier	unifi	unifier
.	.	.

He	he	He
did	did	did
not	not	not
talk	talk	talk
about	about	about
the	the	the
investigation	investig	investigation
,	,	,
he	he	he
did	did	did
not	not	not
talk	talk	talk
about	about	about
the	the	the
suspect	suspect	suspect
,	,	,
Zeleny	zeleni	Zeleny
said	said	said
.	.	.
Trump	trump	Trump
called	call	called
on	on	on
the	the	the
bonds	bond	bond
that	that	that
unite	unit	unite
us	us	u
during	dure	during
remarks	remark	remark
Monday	monday	Monday
morning	morn	morning
.	.	.

In	in	In
moments	moment	moment
of	of	of
tragedy	tragedi	tragedy
and	and	and
horror	horror	horror
,	,	,
America	america	America
comes	come	come
together	togeth	together
as	as	a
one	one	one
,	,	,
and	and	and
it	it	it
always	alway	always
has	has	ha
,	,	,
he	he	he
said	said	said
.	.	.

We	we	We
call	call	call
upon	upon	upon
the	the	the
bonds	bond	bond
that	that	that
unite	unit	unite
us	us	u
,	,	,
our	our	our
faith	faith	faith
,	,	,
our	our	our
family	famili	family
,	,	,
and	and	and
our	our	our
shared	share	shared
values	valu	value
.	.	.

We	we	We
call	call	call
upon	upon	upon
the	the	the
bonds	bond	bond
of	of	of
citizenship	citizenship	citizenship
,	,	,
the	the	the
ties	tie	tie
of	of	of
community	communiti	community
,	,	,
and	and	and
the	the	the
comfort	comfort	comfort
of	of	of
our	our	our
common	common	common
humanity	human	humanity
.	.	.

Zeleny	zeleni	Zeleny
further	further	further
commented	comment	commented
on	on	on
the	the	the
personal	person	personal
connections	connect	connection
that	that	that
Trump	trump	Trump
has	has	ha
to	to	to
the	the	the
city	citi	city
of	of	of
Las	las	Las
Vegas	vega	Vegas
.	.	.

By	by	By
saying	say	saying
that	that	that
he	he	he
will	will	will
go	go	go
to	to	to
Las	las	Las
Vegas	vega	Vegas
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
by	by	by
visiting	visit	visiting
this	this	this
,	,	,
it	it	it
is	is	is
something	someth	something
that	that	that
puts	put	put
him	him	him
in	in	in
line	line	line
with	with	with
what	what	what
so	so	so
many	mani	many
presidents	presid	president
before	befor	before
him	him	him
have	have	have
done	done	done
and	and	and
paid	paid	paid
their	their	their
respects	respect	respect
.	.	.

Of	of	Of
course	cours	course
Las	las	Las
Vegas	vega	Vegas
is	is	is
a	a	a
town	town	town
that	that	that
he	he	he
is	is	is
connected	connect	connected
to	to	to
,	,	,
and	and	and
knows	know	know
well	well	well
,	,	,
Zeleny	zeleni	Zeleny
said	said	said
.	.	.

His	his	His
name	name	name
is	is	is
emblazoned	emblazon	emblazoned
on	on	on
the	the	the
top	top	top
of	of	of
a	a	a
hotel	hotel	hotel
there	there	there
as	as	a
well	well	well
.	.	.

He	he	He
campaigned	campaign	campaigned
there	there	there
a	a	a
lot	lot	lot
.	.	.

Zeleny	zeleni	Zeleny
said	said	said
,	,	,
however	howev	however
,	,	,
that	that	that
the	the	the
conversation	convers	conversation
after	after	after
the	the	the
tragedy	tragedi	tragedy
will	will	will
soon	soon	soon
be	be	be
focused	focus	focused
on	on	on
politics	polit	politics
.	.	.

The	the	The
moment	moment	moment
here	here	here
,	,	,
is	is	is
what	what	what
comes	come	come
after	after	after
this	this	this
.	.	.

This	this	This
invariably	invari	invariably
,	,	,
after	after	after
today	today	today
and	and	and
tomorrow	tomorrow	tomorrow
,	,	,
will	will	will
become	becom	become
a	a	a
discussion	discuss	discussion
of	of	of
politics	polit	politics
,	,	,
of	of	of
guns	gun	gun
.	.	.

It	it	It
s	s	s
not	not	not
appropriate	appropri	appropriate
for	for	for
that	that	that
moment	moment	moment
today	today	today
,	,	,
he	he	he
said	said	said
.	.	.
In	in	In
the	the	the
video	video	video
,	,	,
it	it	it
appears	appear	appears
CNN	cnn	CNN
had	had	had
audio	audio	audio
problems	problem	problem
,	,	,
which	which	which
caused	caus	caused
the	the	the
host	host	host
to	to	to
interrupt	interrupt	interrupt
Zeleny	zeleni	Zeleny
several	sever	several
times	time	time
.	.	.

