There	there	There
needs	need	need
to	to	to
be	be	be
an	an	an
independent	independ	independent
commission	commiss	commission
and	and	and
special	special	special
prosecutor	prosecutor	prosecutor
put	put	put
on	on	on
this	this	this
case	case	case
now	now	now
.	.	.
Earlier	earlier	Earlier
this	this	this
month	month	month
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
reported	report	reported
that	that	that
Trump	trump	Trump
campaign	campaign	campaign
officials	offici	official
were	were	were
in	in	in
contact	contact	contact
with	with	with
Russian	russian	Russian
intelligence	intellig	intelligence
during	dure	during
the	the	the
election	elect	election
.	.	.
Intelligence	intellig	Intelligence
officials	offici	official
intercepted	intercept	intercepted
several	sever	several
communications	communic	communication
between	between	between
Trump	trump	Trump
s	s	s
associates	associ	associate
and	and	and
Russian	russian	Russian
intelligence	intellig	intelligence
even	even	even
as	as	a
Trump	trump	Trump
was	was	wa
busy	busi	busy
publicly	public	publicly
urging	urg	urging
Russian	russian	Russian
hackers	hacker	hacker
to	to	to
find	find	find
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
emails	email	email
.	.	.
Infuriated	infuri	Infuriated
by	by	by
the	the	the
report	report	report
,	,	,
Trump	trump	Trump
s	s	s
chief	chief	chief
-of-staff	-of-staff	-of-staff
Reince	reinc	Reince
Priebus	priebus	Priebus
got	got	got
caught	caught	caught
trying	tri	trying
to	to	to
get	get	get
the	the	the
FBI	fbi	FBI
to	to	to
shut	shut	shut
it	it	it
down	down	down
.	.	.
Now	now	Now
White	white	White
House	hous	House
mouthpiece	mouthpiec	mouthpiece
Sean	sean	Sean
Spicer	spicer	Spicer
just	just	just
got	got	got
caught	caught	caught
enlisting	enlist	enlisting
the	the	the
CIA	cia	CIA
Director	director	Director
and	and	and
top	top	top
Republicans	republican	Republicans
on	on	on
the	the	the
House	hous	House
and	and	and
Senate	senat	Senate
Intelligence	intellig	Intelligence
Committees	committe	Committees
to	to	to
bury	buri	bury
the	the	the
reports	report	report
.	.	.
According	accord	According
to	to	to
Axios	axio	Axios
,	,	,
Spicer	spicer	Spicer
personally	person	personally
picked	pick	picked
up	up	up
the	the	the
phone	phone	phone
and	and	and
connected	connect	connected
outside	outsid	outside
officials	offici	official
with	with	with
reporters	report	reporter
to	to	to
try	tri	try
to	to	to
discredit	discredit	discredit
a	a	a
New	new	New
York	york	York
Times	time	Times
article	articl	article
about	about	about
Trump	trump	Trump
campaign	campaign	campaign
aides	aid	aide
contact	contact	contact
with	with	with
Russia	russia	Russia
,	,	,
then	then	then
remained	remain	remained
on	on	on
the	the	the
line	line	line
for	for	for
the	the	the
brief	brief	brief
conversations	convers	conversation
.	.	.
The	the	The
officials	offici	official
reached	reach	reached
by	by	by
Spicer	spicer	Spicer
were	were	were
CIA	cia	CIA
Director	director	Director
Mike	mike	Mike
Pompeo	pompeo	Pompeo
and	and	and
Senate	senat	Senate
Select	select	Select
Intelligence	intellig	Intelligence
Committee	committe	Committee
Chair	chair	Chair
Richard	richard	Richard
Burr	burr	Burr
R	r	R
-N	-n	-N
.	.	.
C	c	C
,	,	,
according	accord	according
to	to	to
a	a	a
senior	senior	senior
administration	administr	administration
official	offici	official
.	.	.
The	the	The
reporters	report	reporter
were	were	were
from	from	from
The	the	The
Washington	washington	Washington
Post	post	Post
and	and	and
The	the	The
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
,	,	,
the	the	the
official	offici	official
said	said	said
.	.	.
Spicer	spicer	Spicer
provided	provid	provided
reporters	report	reporter
phone	phone	phone
numbers	number	number
to	to	to
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
Chair	chair	Chair
Devin	devin	Devin
Nunes	nune	Nunes
R	r	R
-Calif	-calif	-Calif
.	.	.
,	,	,
who	who	who
offered	offer	offered
to	to	to
make	make	make
the	the	the
calls	call	call
himself	himself	himself
,	,	,
according	accord	according
to	to	to
the	the	the
official	offici	official
He	he	He
was	was	wa
in	in	in
and	and	and
out	out	out
of	of	of
an	an	an
event	event	event
.	.	.
Pompeo	pompeo	Pompeo
and	and	and
Burr	burr	Burr
told	told	told
the	the	the
journalists	journalist	journalist
that	that	that
the	the	the
Times	time	Times
story	stori	story
wasn	wasn	wasn
t	t	t
true	true	true
but	but	but
provided	provid	provided
no	no	no
details	detail	detail
,	,	,
frustrating	frustrat	frustrating
the	the	the
competing	compet	competing
reporters	report	reporter
,	,	,
according	accord	according
to	to	to
the	the	the
official	offici	official
Both	both	Both
of	of	of
them	them	them
said	said	said
All	all	All
I	i	I
can	can	can
tell	tell	tell
you	you	you
is	is	is
the	the	the
story	stori	story
is	is	is
not	not	not
accurate	accur	accurate
.	.	.
This	this	This
looks	look	look
like	like	like
a	a	a
direct	direct	direct
effort	effort	effort
by	by	by
Trump	trump	Trump
s	s	s
White	white	White
House	hous	House
to	to	to
kill	kill	kill
a	a	a
report	report	report
he	he	he
doesn	doesn	doesn
t	t	t
like	like	like
,	,	,
which	which	which
begs	beg	begs
the	the	the
question	question	question
Why	whi	Why
is	is	is
Trump	trump	Trump
so	so	so
desperate	desper	desperate
to	to	to
kill	kill	kill
the	the	the
reports	report	report
about	about	about
his	his	his
ties	tie	tie
to	to	to
Russia	russia	Russia
?	?	?
Trump	trump	Trump
s	s	s
repeated	repeat	repeated
attempts	attempt	attempt
to	to	to
do	do	do
so	so	so
smacks	smack	smack
of	of	of
a	a	a
cover	cover	cover
-up	-up	-up
and	and	and
he	he	he
is	is	is
using	use	using
his	his	his
partisan	partisan	partisan
CIA	cia	CIA
Director	director	Director
and	and	and
top	top	top
Republicans	republican	Republicans
to	to	to
do	do	do
it	it	it
,	,	,
the	the	the
very	veri	very
Republicans	republican	Republicans
who	who	who
lead	lead	lead
the	the	the
committees	committe	committee
that	that	that
would	would	would
be	be	be
responsible	respons	responsible
for	for	for
investigating	investig	investigating
Trump	trump	Trump
and	and	and
his	his	his
Russia	russia	Russia
ties	tie	tie
.	.	.
Now	now	Now
it	it	it
s	s	s
clear	clear	clear
that	that	that
Republicans	republican	Republicans
in	in	in
Congress	congress	Congress
can	can	can
t	t	t
be	be	be
trusted	trust	trusted
to	to	to
run	run	run
such	such	such
an	an	an
investigation	investig	investigation
,	,	,
and	and	and
former	former	former
CIA	cia	CIA
and	and	and
Pentagon	pentagon	Pentagon
official	offici	official
George	georg	George
Little	littl	Little
agrees	agre	agrees
.	.	.
It	it	It
s	s	s
doubtful	doubt	doubtful
that	that	that
Congress	congress	Congress
can	can	can
conduct	conduct	conduct
an	an	an
objective	object	objective
and	and	and
independent	independ	independent
investigation	investig	investigation
into	into	into
ties	tie	tie
between	between	between
this	this	this
White	white	White
House	hous	House
and	and	and
the	the	the
Russian	russian	Russian
government	govern	government
if	if	if
it	it	it
is	is	is
collaborating	collabor	collaborating
so	so	so
closely	close	closely
on	on	on
