Dirty	dirti	Dirty
Harry	harri	Harry
must	must	must
ve	ve	ve
jarred	jar	jarred
something	someth	something
in	in	in
his	his	his
head	head	head
that	that	that
makes	make	make
him	him	him
unaware	unawar	unaware
that	that	that
he	he	he
s	s	s
lying	lie	lying
in	in	in
public	public	public
.	.	.

He	he	He
used	use	used
to	to	to
be	be	be
pretty	pretti	pretty
good	good	good
at	at	at
hiding	hide	hiding
it	it	it
Senate	senat	Senate
Minority	minor	Minority
Leader	leader	Leader
Harry	harri	Harry
Reid	reid	Reid
D	d	D
-NV	-nv	-NV
is	is	is
changing	chang	changing
the	the	the
story	stori	story
about	about	about
how	how	how
he	he	he
sustained	sustain	sustained
those	those	those
gruesome	gruesom	gruesome
New	new	New
Year	year	Year
s	s	s
Day	day	Day
injuries	injuri	injury
that	that	that
have	have	have
left	left	left
him	him	him
blind	blind	blind
in	in	in
one	one	one
eye	eye	eye
.	.	.
Previously	previous	Previously
,	,	,
Reid	reid	Reid
claimed	claim	claimed
that	that	that
an	an	an
exercise	exercis	exercise
band	band	band
he	he	he
was	was	wa
using	use	using
broke	broke	broke
.	.	.

I	i	I
was	was	wa
doing	do	doing
exercises	exercis	exercise
that	that	that
I	i	I
ve	ve	ve
been	been	been
doing	do	doing
for	for	for
many	mani	many
years	year	year
with	with	with
those	those	those
large	larg	large
rubber	rubber	rubber
bands	band	band
and	and	and
one	one	one
of	of	of
them	them	them
broke	broke	broke
and	and	and
spun	spun	spun
me	me	me
around	around	around
and	and	and
I	i	I
crashed	crash	crashed
into	into	into
these	these	these
cabinets	cabinet	cabinet
and	and	and
injured	injur	injured
my	my	my
eye	eye	eye
,	,	,
emphasis	emphasi	emphasis
added	ad	added
Reid	reid	Reid
said	said	said
at	at	at
a	a	a
press	press	press
conference	confer	conference
on	on	on
January	januari	January
22	22	22
.	.	.
You	you	You
can	can	can
see	see	see
the	the	the
video	video	video
of	of	of
that	that	that
press	press	press
conference	confer	conference
here	here	here
.	.	.
But	but	But
now	now	now
,	,	,
in	in	in
an	an	an
interview	interview	interview
conducted	conduct	conducted
by	by	by
Fusion	fusion	Fusion
a	a	a
joint	joint	joint
venture	ventur	venture
between	between	between
ABC	abc	ABC
and	and	and
Univision	univis	Univision
,	,	,
excerpts	excerpt	excerpt
of	of	of
which	which	which
have	have	have
been	been	been
released	releas	released
today	today	today
,	,	,
Reid	reid	Reid
tells	tell	tell
Univision	univis	Univision
anchor	anchor	anchor
Jorge	jorg	Jorge
Ramos	ramo	Ramos
that	that	that
the	the	the
exercise	exercis	exercise
band	band	band
slipped	slip	slipped
,	,	,
rather	rather	rather
than	than	than
broke	broke	broke
.	.	.

T	t	T
he	he	he
elastic	elast	elastic
band	band	band
strap	strap	strap
had	had	had
no	no	no
handle	handl	handle
on	on	on
it	it	it
,	,	,
slipped	slip	slipped
,	,	,
spun	spun	spun
me	me	me
around	around	around
,	,	,
uh	uh	uh
,	,	,
about	about	about
,	,	,
oh	oh	oh
I	i	I
guess	guess	guess
four	four	four
feet	feet	foot
Reid	reid	Reid
points	point	point
with	with	with
his	his	his
right	right	right
hand	hand	hand
to	to	to
the	the	the
wall	wall	wall
of	of	of
the	the	the
interview	interview	interview
room	room	room
and	and	and
so	so	so
I	i	I
smashed	smash	smashed
my	my	my
face	face	face
into	into	into
a	a	a
cabinet	cabinet	cabinet
,	,	,
Reid	reid	Reid
tells	tell	tell
Ramos	ramo	Ramos
.	.	.
Reid	reid	Reid
s	s	s
latest	latest	latest
version	version	version
of	of	of
the	the	the
incident	incid	incident
,	,	,
as	as	a
told	told	told
to	to	to
Ramos	ramo	Ramos
,	,	,
differs	differ	differs
from	from	from
previous	previous	previous
versions	version	version
advanced	advanc	advanced
by	by	by
his	his	his
team	team	team
in	in	in
another	anoth	another
very	veri	very
significant	signific	significant
way	way	way
.	.	.

Sources	sourc	Sources
familiar	familiar	familiar
with	with	with
the	the	the
incident	incid	incident
said	said	said
Reid	reid	Reid
was	was	wa
exercising	exercis	exercising
in	in	in
his	his	his
bathroom	bathroom	bathroom
,	,	,
with	with	with
the	the	the
exercise	exercis	exercise
band	band	band
attached	attach	attached
to	to	to
the	the	the
shower	shower	shower
door	door	door
,	,	,
Politico	politico	Politico
reported	report	reported
on	on	on
January	januari	January
22	22	22
.	.	.

emphasis	emphasi	emphasis
added	ad	added
As	as	As
Breitbart	breitbart	Breitbart
News	news	News
reported	report	reported
previously	previous	previously
,	,	,
