Sarah	sarah	Sarah
Sanders	sander	Sanders
announced	announc	announced
during	dure	during
the	the	the
White	white	White
House	hous	House
press	press	press
briefing	brief	briefing
Tuesday	tuesday	Tuesday
that	that	that
President	presid	President
Trump	trump	Trump
would	would	would
visit	visit	visit
Mississippi	mississippi	Mississippi
this	this	this
weekend	weekend	weekend
.	.	.
On	on	On
his	his	his
trip	trip	trip
,	,	,
Trump	trump	Trump
will	will	will
participate	particip	participate
in	in	in
the	the	the
grand	grand	grand
opening	open	opening
of	of	of
the	the	the
Mississippi	mississippi	Mississippi
Civil	civil	Civil
Rights	right	Rights
Museum	museum	Museum
.	.	.
Sanders	sander	Sanders
was	was	wa
asked	ask	asked
later	later	later
in	in	in
the	the	the
briefing	brief	briefing
if	if	if
Trump	trump	Trump
s	s	s
visit	visit	visit
to	to	to
the	the	the
civil	civil	civil
rights	right	right
museum	museum	museum
was	was	wa
a	a	a
good	good	good
idea	idea	idea
.	.	.
American	american	American
Urban	urban	Urban
Radio	radio	Radio
reporter	report	reporter
April	april	April
Ryan	ryan	Ryan
asked	ask	asked
about	about	about
various	various	various
members	member	member
of	of	of
the	the	the
NAACP	naacp	NAACP
and	and	and
black	black	black
ministers	minist	minister
who	who	who
are	are	are
protesting	protest	protesting
the	the	the
visit	visit	visit
.	.	.
.	.	.
@PressSec	@presssec	@PressSec
on	on	on
@POTUS	@potus	@POTUS
's	's	's
statement	statement	statement
regarding	regard	regarding
Charlottesville	charlottesvill	Charlottesville
violence	violenc	violence
in	in	in
August	august	August
I	i	I
think	think	think
@POTUS	@potus	@POTUS
got	got	got
his	his	his
statement	statement	statement
very	veri	very
clear	clear	clear
when	when	when
he	he	he
condemned	condemn	condemned
all	all	all
forms	form	form
of	of	of
racism	racism	racism
,	,	,
bigotry	bigotri	bigotry
,	,	,
and	and	and
violence	violenc	violence
.	.	.
There's	there	There's
no	no	no
gray	gray	gray
area	area	area
there	there	there
