Shame	shame	Shame
on	on	on
Teen	teen	Teen
Vogue	vogu	Vogue
!	!	!
Maxine	maxin	Maxine
Waters	water	Waters
was	was	wa
a	a	a
guest	guest	guest
of	of	of
Teen	teen	Teen
Vogue	vogu	Vogue
and	and	and
was	was	wa
interviewed	interview	interviewed
about	about	about
why	whi	why
she	she	she
s	s	s
calling	call	calling
on	on	on
young	young	young
teens	teen	teen
to	to	to
resist	resist	resist
our	our	our
president	presid	president
.	.	.
This	this	This
sick	sick	sick
behavior	behavior	behavior
by	by	by
a	a	a
grown	grown	grown
woman	woman	woman
smells	smell	smell
like	like	like
sedition	sedit	sedition
.	.	.
Just	just	Just
read	read	read
the	the	the
answer	answer	answer
to	to	to
the	the	the
question	question	question
below	below	below
Teen	teen	Teen
Vote	vote	Vote
asked	ask	asked
What	what	What
advice	advic	advice
would	would	would
you	you	you
give	give	give
to	to	to
burgeoning	burgeon	burgeoning
young	young	young
activists	activist	activist
who	who	who
want	want	want
to	to	to
help	help	help
the	the	the
#resist	#resist	#resist
movement	movement	movement
and	and	and
create	creat	create
effective	effect	effective
political	polit	political
change	chang	change
?	?	?
What	what	What
can	can	can
citizens	citizen	citizen
do	do	do
you	you	you
help	help	help
you	you	you
as	as	a
a	a	a
congresswoman	congresswoman	congresswoman
achieve	achiev	achieve
change	chang	change
?	?	?
MW	mw	MW
There	there	There
are	are	are
several	sever	several
things	thing	thing
that	that	that
can	can	can
be	be	be
done	done	done
.	.	.
I	i	I
love	love	love
that	that	that
they	they	they
dominate	domin	dominate
social	social	social
media	media	medium
,	,	,
and	and	and
the	the	the
way	way	way
that	that	that
they	they	they
can	can	can
communicate	communic	communicate
with	with	with
people	peopl	people
by	by	by
sharing	share	sharing
what	what	what
I	i	I
m	m	m
doing	do	doing
and	and	and
retweet	retweet	retweet
what	what	what
I	i	I
m	m	m
doing	do	doing
.	.	.
Every	everi	Every
time	time	time
they	they	they
bring	bring	bring
another	anoth	another
person	person	person
in	in	in
to	to	to
listen	listen	listen
and	and	and
to	to	to
read	read	read
about	about	about
what	what	what
is	is	is
going	go	going
on	on	on
,	,	,
we	we	we
gain	gain	gain
another	anoth	another
supporter	support	supporter
,	,	,
who	who	who
not	not	not
only	onli	only
can	can	can
continue	continu	continue
to	to	to
speak	speak	speak
up	up	up
and	and	and
convince	convinc	convince
other	other	other
people	peopl	people
that	that	that
we	we	we
have	have	have
to	to	to
bring	bring	bring
down	down	down
this	this	this
president	presid	president
,	,	,
but	but	but
now	now	now
I	i	I
know	know	know
they	they	they
will	will	will
become	becom	become
voters	voter	voter
and	and	and
that	that	that
they	they	they
re	re	re
going	go	going
to	to	to
vote	vote	vote
because	becaus	because
they	they	they
have	have	have
investments	invest	investment
in	in	in
this	this	this
political	polit	political
process	process	process
.	.	.
WE	we	WE
HAVE	have	HAVE
TO	to	TO
BRING	bring	BRING
DOWN	down	DOWN
THIS	this	THIS
PRESIDENT	presid	PRESIDENT
Congresswoman	congresswoman	Congresswoman
Maxine	maxin	Maxine
Waters	water	Waters
is	is	is
desperate	desper	desperate
to	to	to
Impeach	impeach	Impeach
45	45	45
,	,	,
and	and	and
she	she	she
s	s	s
pleading	plead	pleading
with	with	with
teenagers	teenag	teenager
to	to	to
follow	follow	follow
her	her	her
example	exampl	example
and	and	and
push	push	push
her	her	her
political	polit	political
agenda	agenda	agenda
in	in	in
church	church	church
,	,	,
and	and	and
everywhere	everywher	everywhere
else	els	else
.	.	.
Waters	water	Waters
led	led	led
a	a	a
chant	chant	chant
of	of	of
Impeach	impeach	Impeach
45	45	45
her	her	her
rally	ralli	rally
cry	cri	cry
to	to	to
unseat	unseat	unseat
President	presid	President
Trump	trump	Trump
at	at	at
The	the	The
Teen	teen	Teen
Vogue	vogu	Vogue
Summit	summit	Summit
in	in	in
Los	los	Los
Angeles	angel	Angeles
last	last	last
weekend	weekend	weekend
,	,	,
before	befor	before
urging	urg	urging
the	the	the
mostly	most	mostly
teenage	teenag	teenage
female	femal	female
crowd	crowd	crowd
to	to	to
take	take	take
on	on	on
her	her	her
cause	caus	cause
and	and	and
repeat	repeat	repeat
her	her	her
mantra	mantra	mantra
everywhere	everywher	everywhere
they	they	they
go	go	go
.	.	.
Impeach	impeach	Impeach
45	45	45
!	!	!
That	that	That
s	s	s
right	right	right
,	,	,
Waters	water	Waters
said	said	said
.	.	.
Let	let	Let
s	s	s
sing	sing	sing
that	that	that
song	song	song
all	all	all
over	over	over
this	this	this
country	countri	country
wherever	wherev	wherever
we	we	we
are	are	are
.	.	.
Let	let	Let
s	s	s
talk	talk	talk
about	about	about
it	it	it
in	in	in
the	the	the
workplace	workplac	workplace
,	,	,
let	let	let
s	s	s
talk	talk	talk
about	about	about
it	it	it
in	in	in
our	our	our
churches	church	church
,	,	,
let	let	let
s	s	s
talk	talk	talk
about	about	about
it	it	it
with	with	with
organized	organ	organized
labor	labor	labor
,	,	,
let	let	let
s	s	s
get	get	get
people	peopl	people
coming	come	coming
to	to	to
the	the	the
forefront	forefront	forefront
.	.	.
Waters	water	Waters
,	,	,
79	79	79
,	,	,
apparently	appar	apparently
believes	believ	belief
that	that	that
a	a	a
mob	mob	mob
of	of	of
young	young	young
girls	girl	girl
,	,	,
many	mani	many
not	not	not
old	old	old
enough	enough	enough
to	to	to
vote	vote	vote
,	,	,
chanting	chant	chanting
Impeach	impeach	Impeach
45	45	45
!	!	!
will	will	will
convince	convinc	convince
Republican	republican	Republican
lawmakers	lawmak	lawmaker
to	to	to
reverse	revers	reverse
course	cours	course
on	on	on
a	a	a
plan	plan	plan
to	to	to
lower	lower	lower
taxes	tax	tax
for	for	for
Americans	american	Americans
,	,	,
and	and	and
to	to	to
remove	remov	remove
a	a	a
president	presid	president
from	from	from
their	their	their
own	own	own
party	parti	party
.	.	.
So	so	So
far	far	far
,	,	,
Waters	water	Waters
calls	call	call
for	for	for
her	her	her
colleagues	colleagu	colleague
in	in	in
Congress	congress	Congress
to	to	to
impeach	impeach	impeach
Trump	trump	Trump
have	have	have
fallen	fallen	fallen
on	on	on
deaf	deaf	deaf
ears	ear	ear
.	.	.
Lawmakers	lawmak	Lawmakers
voted	vote	voted
364	364	364
-58	-58	-58
against	against	against
a	a	a
resolution	resolut	resolution
to	to	to
consider	consid	consider
the	the	the
move	move	move
this	this	this
week	week	week
,	,	,
Fox	fox	Fox
News	news	News
reports	report	report
.	.	.
Read	read	Read
more	more	more
American	american	American
Mirror	mirror	Mirror
