NBC	nbc	NBC
News	news	News
handpicked	handpick	handpicked
anti	anti	anti
-Trump	-trump	-Trump
tykes	tyke	tyke
for	for	for
two	two	two
propaganda	propaganda	propaganda
videos	video	video
to	to	to
make	make	make
it	it	it
appear	appear	appear
that	that	that
every	everi	every
child	child	child
in	in	in
American	american	American
thinks	think	think
Pres	pres	Pres
.	.	.
Trump	trump	Trump
is	is	is
an	an	an
ignorant	ignor	ignorant
racist	racist	racist
and	and	and
threat	threat	threat
to	to	to
the	the	the
country	countri	country
.	.	.
The	the	The
video	video	video
starts	start	start
out	out	out
with	with	with
a	a	a
blurry	blurri	blurry
picture	pictur	picture
of	of	of
President	presid	President
Trump	trump	Trump
the	the	the
kind	kind	kind
of	of	of
picture	pictur	picture
used	use	used
in	in	in
political	polit	political
ads	ad	ad
by	by	by
the	the	the
opponent	oppon	opponent
to	to	to
make	make	make
the	the	the
candidate	candid	candidate
look	look	look
bad	bad	bad
and	and	and
goes	goe	go
downhill	downhil	downhill
from	from	from
there	there	there
Not	not	Not
one	one	one
child	child	child
in	in	in
either	either	either
Dear	dear	Dear
Mr	mr	Mr
.	.	.
President	presid	President
kids	kid	kid
Talk	talk	Talk
Trump	trump	Trump
or	or	or
Dear	dear	Dear
Mr	mr	Mr
.	.	.
President	presid	President
Letters	letter	Letters
from	from	from
the	the	the
American	american	American
Children	children	Children
says	say	say
he	he	he
actually	actual	actually
supports	support	support
Trump	trump	Trump
s	s	s
efforts	effort	effort
to	to	to
keep	keep	keep
America	america	America
safe	safe	safe
from	from	from
terrorism	terror	terrorism
or	or	or
stop	stop	stop
the	the	the
influx	influx	influx
of	of	of
illegal	illeg	illegal
aliens	alien	alien
.	.	.
Both	both	Both
videos	video	video
open	open	open
with	with	with
smarmy	smarmi	smarmy
,	,	,
false	fals	false
compliments	compliment	compliment
to	to	to
give	give	give
the	the	the
illusion	illus	illusion
that	that	that
these	these	these
kids	kid	kid
haven	haven	haven
t	t	t
been	been	been
indoctrinated	indoctrin	indoctrinated
by	by	by
leftist	leftist	leftist
teachers	teacher	teacher
and	and	and
liberal	liber	liberal
media	media	medium
but	but	but
,	,	,
then	then	then
,	,	,
both	both	both
launch	launch	launch
into	into	into
unrelenting	unrel	unrelenting
snide	snide	snide
rebukes	rebuk	rebuke
couched	couch	couched
in	in	in
innocent	innoc	innocent
-kid-speak	-kid-speak	-kid-speak
.	.	.
The	the	The
kids	kid	kid
accuse	accus	accuse
Trump	trump	Trump
of	of	of
racism	racism	racism
and	and	and
violence	violenc	violence
against	against	against
blacks	black	black
Most	most	Most
of	of	of
my	my	my
family	famili	family
is	is	is
black	black	black
.	.	.
I	i	I
m	m	m
afraid	afraid	afraid
that	that	that
you	you	you
re	re	re
gonna	gonna	gonna
hurt	hurt	hurt
some	some	some
of	of	of
us	us	u
blacks	black	black
.	.	.
You	you	You
are	are	are
here	here	here
