CHARLESTON	charleston	CHARLESTON
,	,	,
S	s	S
.	.	.
C	c	C
.	.	.
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Republican	republican	Republican
candidate	candid	candidate
Jeb	jeb	Jeb
Bush	bush	Bush
was	was	wa
endorsed	endors	endorsed
by	by	by
former	former	former
rival	rival	rival
Senator	senat	Senator
Lindsey	lindsey	Lindsey
Graham	graham	Graham
of	of	of
South	south	South
Carolina	carolina	Carolina
on	on	on
Friday	friday	Friday
,	,	,
winning	win	winning
an	an	an
important	import	important
ally	alli	ally
in	in	in
a	a	a
state	state	state
where	where	where
a	a	a
Feb	feb	Feb
.	.	.
20	20	20
vote	vote	vote
could	could	could
prove	prove	prove
critical	critic	critical
in	in	in
the	the	the
2016	2016	2016
race	race	race
for	for	for
a	a	a
presidential	presidenti	presidential
nominee	nomine	nominee
.	.	.
The	the	The
move	move	move
by	by	by
the	the	the
hawkish	hawkish	hawkish
Graham	graham	Graham
,	,	,
who	who	who
ended	end	ended
his	his	his
own	own	own
presidential	presidenti	presidential
campaign	campaign	campaign
on	on	on
Dec	dec	Dec
.	.	.
21	21	21
,	,	,
reflected	reflect	reflected
his	his	his
view	view	view
that	that	that
Bush	bush	Bush
offered	offer	offered
the	the	the
best	best	best
plan	plan	plan
to	to	to
defeat	defeat	defeat
Islamic	islam	Islamic
State	state	State
militants	milit	militant
and	and	and
to	to	to
do	do	do
so	so	so
by	by	by
forming	form	forming
alliances	allianc	alliance
with	with	with
Muslim	muslim	Muslim
nations	nation	nation
in	in	in
the	the	the
region	region	region
.	.	.
Graham	graham	Graham
s	s	s
decision	decis	decision
could	could	could
be	be	be
significant	signific	significant
in	in	in
swaying	sway	swaying
not	not	not
only	onli	only
South	south	South
Carolina	carolina	Carolina
Republican	republican	Republican
voters	voter	voter
but	but	but
also	also	also
his	his	his
good	good	good
friend	friend	friend
Senator	senat	Senator
John	john	John
McCain	mccain	McCain
,	,	,
the	the	the
2008	2008	2008
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
who	who	who
remains	remain	remains
an	an	an
influential	influenti	influential
figure	figur	figure
in	in	in
the	the	the
party	parti	party
and	and	and
who	who	who
has	has	ha
spoken	spoken	spoken
warmly	warm	warmly
about	about	about
Bush	bush	Bush
in	in	in
recent	recent	recent
months	month	month
.	.	.
Graham	graham	Graham
said	said	said
the	the	the
vote	vote	vote
in	in	in
South	south	South
Carolina	carolina	Carolina
,	,	,
which	which	which
will	will	will
follow	follow	follow
Iowa	iowa	Iowa
s	s	s
caucuses	caucus	caucus
on	on	on
Feb	feb	Feb
.	.	.
1	1	1
and	and	and
New	new	New
Hampshire	hampshir	Hampshire
s	s	s
primary	primari	primary
on	on	on
Feb	feb	Feb
.	.	.
9	9	9
,	,	,
will	will	will
reset	reset	reset
the	the	the
race	race	race
.	.	.
Jeb	jeb	Jeb
Bush	bush	Bush
is	is	is
going	go	going
to	to	to
be	be	be
a	a	a
nominee	nomine	nominee
that	that	that
can	can	can
win	win	win
an	an	an
election	elect	election
that	that	that
as	as	a
a	a	a
party	parti	party
we	we	we
can	can	can
t	t	t
afford	afford	afford
to	to	to
lose	lose	lose
.	.	.
He	he	He
will	will	will
be	be	be
the	the	the
president	presid	president
that	that	that
can	can	can
reset	reset	reset
the	the	the
world	world	world
,	,	,
bring	bring	bring
us	us	u
together	togeth	together
and	and	and
solve	solv	solve
hard	hard	hard
problems	problem	problem
,	,	,
Graham	graham	Graham
said	said	said
.	.	.
In	in	In
making	make	making
his	his	his
announcement	announc	announcement
,	,	,
Graham	graham	Graham
also	also	also
said	said	said
that	that	that
a	a	a
Bush	bush	Bush
rival	rival	rival
,	,	,
Florida	florida	Florida
Senator	senat	Senator
Marco	marco	Marco
Rubio	rubio	Rubio
,	,	,
was	was	wa
,	,	,
at	at	at
44	44	44
,	,	,
too	too	too
young	young	young
to	to	to
be	be	be
president	presid	president
.	.	.
Rubio	rubio	Rubio
delivered	deliv	delivered
a	a	a
strong	strong	strong
performance	perform	performance
Thursday	thursday	Thursday
night	night	night
at	at	at
a	a	a
debate	debat	debate
of	of	of
the	the	the
top	top	top
seven	seven	seven
Republican	republican	Republican
candidates	candid	candidate
,	,	,
an	an	an
event	event	event
that	that	that
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
seen	seen	seen
as	as	a
winning	win	winning
.	.	.
Graham	graham	Graham
,	,	,
60	60	60
,	,	,
said	said	said
he	he	he
believed	believ	believed
Rubio	rubio	Rubio
would	would	would
be	be	be
president	presid	president
some	some	some
day	day	day
,	,	,
but	but	but
not	not	not
following	follow	following
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
election	elect	election
.	.	.
Pointing	point	Pointing
to	to	to
his	his	his
own	own	own
experience	experi	experience
,	,	,
he	he	he
said	said	said
at	at	at
age	age	age
44	44	44
I	i	I
was	was	wa
not	not	not
ready	readi	ready
to	to	to
be	be	be
president	presid	president
.	.	.
Stung	stung	Stung
by	by	by
a	a	a
series	seri	series
of	of	of
ads	ad	ad
against	against	against
him	him	him
from	from	from
the	the	the
Bush	bush	Bush
campaign	campaign	campaign
and	and	and
the	the	the
SuperPAC	superpac	SuperPAC
that	that	that
supports	support	support
Bush	bush	Bush
,	,	,
Rubio	rubio	Rubio
released	releas	released
a	a	a
TV	tv	TV
ad	ad	ad
on	on	on
Friday	friday	Friday
,	,	,
calling	call	calling
Bush	bush	Bush
desperate	desper	desperate
.	.	.
Bush	bush	Bush
waved	wave	waved
off	off	off
the	the	the
attacks	attack	attack
,	,	,
suggesting	suggest	suggesting
Rubio	rubio	Rubio
has	has	ha
been	been	been
too	too	too
sensitive	sensit	sensitive
in	in	in
the	the	the
hypercompetitive	hypercompetit	hypercompetitive
political	polit	political
world	world	world
.	.	.
If	if	If
you	you	you
re	re	re
a	a	a
candidate	candid	candidate
,	,	,
you	you	you
can	can	can
t	t	t
play	play	play
the	the	the
role	role	role
of	of	of
victim	victim	victim
,	,	,
and	and	and
he	he	he
shouldn	shouldn	shouldn
t	t	t
either	either	either
,	,	,
Bush	bush	Bush
said	said	said
.	.	.
Graham	graham	Graham
said	said	said
Trump	trump	Trump
s	s	s
proposed	propos	proposed
ban	ban	ban
on	on	on
Muslims	muslim	Muslims
entering	enter	entering
the	the	the
United	unit	United
States	state	States
would	would	would
complicate	complic	complicate
efforts	effort	effort
to	to	to
gain	gain	gain
support	support	support
from	from	from
governments	govern	government
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.
At	at	At
the	the	the
debate	debat	debate
,	,	,
Bush	bush	Bush
had	had	had
said	said	said
Trump	trump	Trump
s	s	s
idea	idea	idea
was	was	wa
flawed	flaw	flawed
and	and	and
that	that	that
a	a	a
