One	one	One
of	of	of
the	the	the
many	mani	many
targets	target	target
of	of	of
the	the	the
opposition	opposit	opposition
research	research	research
firm	firm	firm
Fusion	fusion	Fusion
GPS	gps	GPS
is	is	is
accusing	accus	accusing
them	them	them
of	of	of
assisting	assist	assisting
the	the	the
Kremlin	kremlin	Kremlin
in	in	in
its	it	it
effort	effort	effort
to	to	to
have	have	have
him	him	him
imprisoned	imprison	imprisoned
and	and	and
killed	kill	killed
.	.	.
The	the	The
strong	strong	strong
allegation	alleg	allegation
comes	come	come
from	from	from
Bill	bill	Bill
Browder	browder	Browder
,	,	,
a	a	a
London	london	London
-based	-base	-based
banker	banker	banker
who	who	who
spearheaded	spearhead	spearheaded
the	the	the
Magnitsky	magnitski	Magnitsky
Act	act	Act
,	,	,
a	a	a
sanctions	sanction	sanction
law	law	law
vehemently	vehement	vehemently
opposed	oppos	opposed
by	by	by
the	the	the
Russian	russian	Russian
government	govern	government
.	.	.
Browder	browder	Browder
made	made	made
the	the	the
allegation	alleg	allegation
in	in	in
response	respons	response
to	to	to
the	the	the
recent	recent	recent
revelation	revel	revelation
that	that	that
Fusion	fusion	Fusion
GPS	gps	GPS
and	and	and
its	it	it
founder	founder	founder
Glenn	glenn	Glenn
Simpson	simpson	Simpson
compiled	compil	compiled
what	what	what
he	he	he
says	say	say
is	is	is
false	fals	false
information	inform	information
about	about	about
him	him	him
that	that	that
was	was	wa
given	given	given
to	to	to
Yuri	yuri	Yuri
Chaika	chaika	Chaika
,	,	,
Russia	russia	Russia
s	s	s
prosecutor	prosecutor	prosecutor
general	general	general
,	,	,
and	and	and
to	to	to
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
during	dure	during
the	the	the
infamous	infam	infamous
June	june	June
2016	2016	2016
Trump	trump	Trump
Tower	tower	Tower
meeting	meet	meeting
.	.	.
If	if	If
it	it	it
is	is	is
true	true	true
that	that	that
Glenn	glenn	Glenn
Simpson	simpson	Simpson
was	was	wa
supplying	suppli	supplying
information	inform	information
about	about	about
me	me	me
to	to	to
the	the	the
Russian	russian	Russian
government	govern	government
,	,	,
it	it	it
s	s	s
far	far	far
more	more	more
serious	serious	serious
than	than	than
smear	smear	smear
campaigning	campaign	campaigning
or	or	or
Foreign	foreign	Foreign
Agents	agent	Agents
Registration	registr	Registration
Act	act	Act
violations	violat	violation
,	,	,
said	said	said
Browder	browder	Browder
,	,	,
the	the	the
head	head	head
of	of	of
Hermitage	hermitag	Hermitage
Capital	capit	Capital
.	.	.
It	it	It
would	would	would
mean	mean	mean
that	that	that
Simpson	simpson	Simpson
was	was	wa
assisting	assist	assisting
the	the	the
Putin	putin	Putin
regime	regim	regime
in	in	in
their	their	their
plot	plot	plot
to	to	to
get	get	get
me	me	me
back	back	back
to	to	to
Russia	russia	Russia
to	to	to
have	have	have
me	me	me
imprisoned	imprison	imprisoned
and	and	and
killed	kill	killed
.	.	.
It	it	It
was	was	wa
previously	previous	previously
known	known	known
that	that	that
the	the	the
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
-based	-base	-based
Fusion	fusion	Fusion
GPS	gps	GPS
s	s	s
investigation	investig	investigation
of	of	of
Browder	browder	Browder
was	was	wa
beneficial	benefici	beneficial
to	to	to
the	the	the
Russian	russian	Russian
government	govern	government
and	and	and
its	it	it
effort	effort	effort
to	to	to
reverse	revers	reverse
the	the	the
Magnitsky	magnitski	Magnitsky
Act	act	Act
.	.	.
But	but	But
it	it	it
