Democrats	democrat	Democrats
are	are	are
more	more	more
pissed	piss	pissed
off	off	off
with	with	with
Trump	trump	Trump
s	s	s
behavior	behavior	behavior
than	than	than
Republicans	republican	Republicans
,	,	,
because	becaus	because
Republicans	republican	Republicans
apparently	appar	apparently
feel	feel	feel
they	they	they
need	need	need
to	to	to
march	march	march
in	in	in
lockstep	lockstep	lockstep
with	with	with
the	the	the
president	presid	president
when	when	when
the	the	the
president	presid	president
is	is	is
a	a	a
Republican	republican	Republican
.	.	.

Trump	trump	Trump
s	s	s
behavior	behavior	behavior
on	on	on
Twitter	twitter	Twitter
,	,	,
even	even	even
though	though	though
he	he	he
s	s	s
taken	taken	taken
office	offic	office
and	and	and
is	is	is
supposed	suppos	supposed
to	to	to
be	be	be
acting	act	acting
presidential	presidenti	presidential
,	,	,
is	is	is
abominable	abomin	abominable
,	,	,
and	and	and
some	some	some
members	member	member
of	of	of
Congress	congress	Congress
are	are	are
sick	sick	sick
of	of	of
sugarcoating	sugarco	sugarcoating
it	it	it
.	.	.
Rep	rep	Rep
.	.	.

Kathleen	kathleen	Kathleen
Rice	rice	Rice
spoke	spoke	spoke
to	to	to
Wolf	wolf	Wolf
Blitzer	blitzer	Blitzer
on	on	on
CNN	cnn	CNN
,	,	,
where	where	where
she	she	she
blasted	blast	blasted
Trump	trump	Trump
and	and	and
his	his	his
immaturity	immatur	immaturity
,	,	,
and	and	and
his	his	his
inability	inabl	inability
to	to	to
let	let	let
personal	person	personal
slights	slight	slight
go	go	go
.	.	.

She	she	She
actually	actual	actually
told	told	told
Blitzer	blitzer	Blitzer
that	that	that
his	his	his
behavior	behavior	behavior
was	was	wa
worse	wors	worse
than	than	than
juvenile	juvenil	juvenile
It	it	It
s	s	s
juvenile	juvenil	juvenile
.	.	.

It	it	It
s	s	s
actually	actual	actually
an	an	an
insult	insult	insult
to	to	to
actual	actual	actual
juveniles	juvenil	juvenile
to	to	to
say	say	say
that	that	that
it	it	it
s	s	s
juvenile	juvenil	juvenile
I	i	I
don	don	don
t	t	t
even	even	even
know	know	know
what	what	what
category	categori	category
to	to	to
put	put	put
this	this	this
in	in	in
.	.	.

Yep	yep	Yep
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
Representative	repres	Representative
went	went	went
on	on	on
national	nation	national
cable	cabl	cable
news	news	news
to	to	to
say	say	say
that	that	that
Trump	trump	Trump
is	is	is
so	so	so
immature	immatur	immature
it	it	it
s	s	s
insulting	insult	insulting
to	to	to
kids	kid	kid
to	to	to
say	say	say
so	so	so
.	.	.

And	and	And
she	she	she
s	s	s
right	right	right
he	he	he
went	went	went
on	on	on
a	a	a
tear	tear	tear
against	against	against
Judge	judg	Judge
James	jame	James
Robart	robart	Robart
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
district	district	district
judge	judg	judge
who	who	who
blocked	block	blocked
Trump	trump	Trump
s	s	s
Muslim	muslim	Muslim
ban	ban	ban
,	,	,
and	and	and
even	even	even
told	told	told
his	his	his
followers	follow	follower
to	to	to
blame	blame	blame
Robart	robart	Robart
if	if	if
something	someth	something
happens	happen	happens
,	,	,
because	becaus	because
the	the	the
decision	decis	decision
means	mean	mean
that	that	that
anyone	anyon	anyone
and	and	and
everyone	everyon	everyone
can	can	can
just	just	just
enter	enter	enter
the	the	the
country	countri	country
on	on	on
a	a	a
whim	whim	whim
.	.	.
He	he	He
s	s	s
repeatedly	repeat	repeatedly
blasted	blast	blasted
The	the	The
New	new	New
York	york	York
Times	time	Times
as	as	a
being	be	being
fake	fake	fake
news	news	news
same	same	same
with	with	with
CNN	cnn	CNN
.	.	.

He	he	He
blasts	blast	blast
Saturday	saturday	Saturday
Night	night	Night
Live	live	Live
because	becaus	because
they	they	they
make	make	make
fun	fun	fun
of	of	of
him	him	him
who	who	who
don	don	don
t	t	t
they	they	they
make	make	make
fun	fun	fun
of	of	of
?	?	?
.	.	.

He	he	He
couldn	couldn	couldn
t	t	t
let	let	let
reports	report	report
that	that	that
his	his	his
inauguration	inaugur	inauguration
numbers	number	number
were	were	were
less	less	le
-than	-than	-than
stellar	stellar	stellar
go	go	go
for	for	for
nearly	near	nearly
two	two	two
weeks	week	week
.	.	.

And	and	And
the	the	the
list	list	list
goes	goe	go
on	on	on
,	,	,
and	and	and
on	on	on
,	,	,
and	and	and
on	on	on
,	,	,
ad	ad	ad
infinitum	infinitum	infinitum
and	and	and
ad	ad	ad
nauseam	nauseam	nauseam
.	.	.

He	he	He
can	can	can
t	t	t
let	let	let
anything	anyth	anything
go	go	go
,	,	,
and	and	and
Rice	rice	Rice
touched	touch	touched
on	on	on
that	that	that
,	,	,
too	too	too
,	,	,
when	when	when
she	she	she
said	said	said
And	and	And
I	i	I
m	m	m
hoping	hope	hoping
that	that	that
he	he	he
stops	stop	stop
with	with	with
the	the	the
name	name	name
-calling	-call	-calling
and	and	and
the	the	the
attacking	attack	attacking
every	everi	every
time	time	time
someone	someon	someone
says	say	say
if	if	if
it	it	it
s	s	s
a	a	a
poll	poll	poll
he	he	he
