If	if	If
Jeb	jeb	Jeb
Bush	bush	Bush
watched	watch	watched
The	the	The
Daily	daili	Daily
Show	show	Show
last	last	last
night	night	night
,	,	,
he	he	he
should	should	should
finally	final	finally
throw	throw	throw
in	in	in
the	the	the
towel	towel	towel
before	befor	before
he	he	he
embarrasses	embarrass	embarrasses
himself	himself	himself
and	and	and
his	his	his
family	famili	family
even	even	even
more	more	more
than	than	than
he	he	he
has	has	ha
already	alreadi	already
.	.	.
On	on	On
Monday	monday	Monday
night	night	night
,	,	,
Trevor	trevor	Trevor
Noah	noah	Noah
torched	torch	torched
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
s	s	s
brother	brother	brother
in	in	in
a	a	a
hilarious	hilari	hilarious
segment	segment	segment
that	that	that
began	began	began
with	with	with
Noah	noah	Noah
referring	refer	referring
to	to	to
Jeb	jeb	Jeb
as	as	a
the	the	the
most	most	most
desperate	desper	desperate
candidate	candid	candidate
in	in	in
the	the	the
presidential	presidenti	presidential
field	field	field
.	.	.
He	he	He
s	s	s
so	so	so
desperate	desper	desperate
,	,	,
he	he	he
s	s	s
even	even	even
released	releas	released
his	his	his
own	own	own
fragrance	fragranc	fragrance
for	for	for
men	men	men
,	,	,
Noah	noah	Noah
quipped	quip	quipped
.	.	.
Dubbed	dub	Dubbed
Desperation	desper	Desperation
by	by	by
Jeb	jeb	Jeb
!	!	!
,	,	,
Noah	noah	Noah
promoted	promot	promoted
the	the	the
scent	scent	scent
as	as	a
being	be	being
for	for	for
when	when	when
being	be	being
yourself	yourself	yourself
just	just	just
isn	isn	isn
t	t	t
enough	enough	enough
.	.	.
He	he	He
then	then	then
took	took	took
a	a	a
whiff	whiff	whiff
and	and	and
laughingly	laugh	laughingly
remarked	remark	remarked
,	,	,
Smells	smell	Smells
like	like	like
George	georg	George
Bush	bush	Bush
.	.	.
But	but	But
it	it	it
got	got	got
even	even	even
worse	wors	worse
for	for	for
Jeb	jeb	Jeb
from	from	from
there	there	there
.	.	.
Noah	noah	Noah
reported	report	reported
that	that	that
Bush	bush	Bush
and	and	and
his	his	his
supporters	support	supporter
have	have	have
spent	spent	spent
more	more	more
money	money	money
on	on	on
ads	ad	ad
than	than	than
anyone	anyon	anyone
else	els	else
,	,	,
but	but	but
that	that	that
for	for	for
all	all	all
of	of	of
the	the	the
40	40	40
million	million	million
spent	spent	spent
on	on	on
positive	posit	positive
ads	ad	ad
telling	tell	telling
voters	voter	voter
about	about	about
Bush	bush	Bush
,	,	,
it	it	it
has	has	ha
resulted	result	resulted
in	in	in
zero	zero	zero
returns	return	return
.	.	.
This	this	This
is	is	is
a	a	a
private	privat	private
admission	admiss	admission
from	from	from
advisers	advis	adviser
to	to	to
Jeb	jeb	Jeb
s	s	s
own	own	own
SuperPAC	superpac	SuperPAC
,	,	,
Right	right	Right
To	to	To
Rise	rise	Rise
.	.	.
Even	even	Even
a	a	a
Bush	bush	Bush
supporter	support	supporter
was	was	wa
embarrassed	embarrass	embarrassed
by	by	by
the	the	the
results	result	result
,	,	,
exclaiming	exclaim	exclaiming
that	that	that
,	,	,
You	you	You
might	might	might
as	as	a
well	well	well
light	light	light
all	all	all
of	of	of
this	this	this
money	money	money
on	on	on
fire	fire	fire
.	.	.
An	an	An
amused	amus	amused
Noah	noah	Noah
pointed	point	pointed
out	out	out
that	that	that
it	it	it
s	s	s
pretty	pretti	pretty
messed	mess	messed
up	up	up
when	when	when
your	your	your
campaign	campaign	campaign
spending	spend	spending
is	is	is
failing	fail	failing
so	so	so
bad	bad	bad
that	that	that
burning	burn	burning
the	the	the
money	money	money
would	would	would
have	have	have
been	been	been
just	just	just
as	as	a
useful	use	useful
.	.	.
That	that	That
would	would	would
have	have	have
been	been	been
more	more	more
effective	effect	effective
for	for	for
Jeb	jeb	Jeb
Bush	bush	Bush
because	becaus	because
at	at	at
least	least	least
people	peopl	people
would	would	would
have	have	have
gathered	gather	gathered
around	around	around
him	him	him
