Riots	riot	Riots
erupted	erupt	erupted
in	in	in
Charlotte	charlott	Charlotte
after	after	after
police	polic	police
officers	offic	officer
shot	shot	shot
and	and	and
killed	kill	killed
Keith	keith	Keith
Lamont	lamont	Lamont
Scott	scott	Scott
.	.	.
Rioters	rioter	Rioters
didn	didn	didn
t	t	t
care	care	care
that	that	that
Scott	scott	Scott
had	had	had
a	a	a
history	histori	history
of	of	of
shooting	shoot	shooting
at	at	at
cops	cop	cop
,	,	,
they	they	they
didn	didn	didn
t	t	t
care	care	care
that	that	that
he	he	he
was	was	wa
abusive	abus	abusive
to	to	to
his	his	his
wife	wife	wife
and	and	and
small	small	small
child	child	child
.	.	.
Keith	keith	Keith
s	s	s
mom	mom	mom
said	said	said
he	he	he
was	was	wa
a	a	a
devout	devout	devout
Muslim	muslim	Muslim
.	.	.
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
had	had	had
an	an	an
agenda	agenda	agenda
and	and	and
to	to	to
hell	hell	hell
with	with	with
facts	fact	fact
.	.	.
Several	sever	Several
months	month	month
later	later	later
,	,	,
the	the	the
real	real	real
story	stori	story
comes	come	come
out	out	out
and	and	and
it	it	it
turns	turn	turn
out	out	out
the	the	the
police	polic	police
officers	offic	officer
were	were	were
only	onli	only
acting	act	acting
in	in	in
self	self	self
-defense	-defens	-defense
when	when	when
they	they	they
shot	shot	shot
and	and	and
killed	kill	killed
the	the	the
belligerent	belliger	belligerent
,	,	,
armed	arm	armed
with	with	with
a	a	a
stolen	stolen	stolen
gun	gun	gun
,	,	,
fired	fire	fired
at	at	at
police	polic	police
#KeithLamontScott.	#keithlamontscott.	#KeithLamontScott.
Just	just	Just
announced	announc	announced
No	no	No
charges	charg	charge
will	will	will
be	be	be
brought	brought	brought
against	against	against
Charlotte	charlott	Charlotte
-Mecklenburg	-mecklenburg	-Mecklenburg
Police	polic	Police
officer	offic	officer
Brentley	brentley	Brentley
Vinson	vinson	Vinson
in	in	in
the	the	the
September	septemb	September
shooting	shoot	shooting
death	death	death
of	of	of
a	a	a
man	man	man
in	in	in
University	univers	University
City	citi	City
,	,	,
District	district	District
Attorney	attorney	Attorney
Andrew	andrew	Andrew
Murray	murray	Murray
announced	announc	announced
Wednesday	wednesday	Wednesday
.	.	.
Keith	keith	Keith
Lamont	lamont	Lamont
Scott	scott	Scott
,	,	,
43	43	43
,	,	,
was	was	wa
shot	shot	shot
Sept	sept	Sept
.	.	.
20	20	20
in	in	in
a	a	a
confrontation	confront	confrontation
with	with	with
officers	offic	officer
outside	outsid	outside
his	his	his
apartment	apart	apartment
.	.	.
Murray	murray	Murray
said	said	said
that	that	that
evidence	evid	evidence
in	in	in
the	the	the
case	case	case
shows	show	show
that	that	that
Scott	scott	Scott
stepped	step	stepped
out	out	out
of	of	of
his	his	his
SUV	suv	SUV
with	with	with
a	a	a
gun	gun	gun
in	in	in
his	his	his
hand	hand	hand
and	and	and
ignored	ignor	ignored
at	at	at
least	least	least
10	10	10
commands	command	command
from	from	from
the	the	the
five	five	five
officers	offic	officer
on	on	on
the	the	the
scene	scene	scene
to	to	to
drop	drop	drop
it	it	it
.	.	.
Murray	murray	Murray
Ofcr	ofcr	Ofcr
Vinson	vinson	Vinson
acted	act	acted
lawfully	law	lawfully
when	when	when
he	he	he
shot	shot	shot
Scott	scott	Scott
.	.	.
No	no	No
charges	charg	charge
will	will	will
be	be	be
filed	file	filed
.	.	.
pic.twitter.com/HXq7Ldn5vL	pic.twitter.com/hxq7ldn5vl	pic.twitter.com/HXq7Ldn5vL
Mark	mark	Mark
Becker	becker	Becker
@MarkBeckerWSOC9	@markbeckerwsoc9	@MarkBeckerWSOC9
November	novemb	November
30	30	30
,	,	,
2016Murray	2016murray	2016Murray
I	i	I
know	know	know
that	that	that
some	some	some
in	in	in
the	the	the
community	communiti	community
will	will	will
be	be	be
frustrated	frustrat	frustrated
but	but	but
I'm	i'm	I'm
asking	ask	asking
we	we	we
should	should	should
not	not	not
jump	jump	jump
to	to	to
conclusions	conclus	conclusion
pic.twitter.com/dN5hW6Q1Q0	pic.twitter.com/dn5hw6q1q0	pic.twitter.com/dN5hW6Q1Q0
Mark	mark	Mark
Becker	becker	Becker
@MarkBeckerWSOC9	@markbeckerwsoc9	@MarkBeckerWSOC9
November	novemb	November
30	30	30
,	,	,
2016Murray	2016murray	2016Murray
said	said	said
that	that	that
Scott	scott	Scott
obtained	obtain	obtained
the	the	the
gun	gun	gun
which	which	which
had	had	had
been	been	been
stolen	stolen	stolen
in	in	in
Gaston	gaston	Gaston
County	counti	County
18	18	18
days	day	day
before	befor	before
the	the	the
confrontation	confront	confrontation
.	.	.
One	one	One
bullet	bullet	bullet
was	was	wa
found	found	found
in	in	in
the	the	the
chamber	chamber	chamber
of	of	of
the	the	the
gun	gun	gun
,	,	,
the	the	the
safety	safeti	safety
was	was	wa
off	off	off
and	and	and
Murray	murray	Murray
said	said	said
Scott	scott	Scott
s	s	s
DNA	dna	DNA
was	was	wa
found	found	found
on	on	on
the	the	the
grip	grip	grip
and	and	and
ammunition	ammunit	ammunition
slide	slide	slide
.	.	.
Murray	murray	Murray
said	said	said
that	that	that
speculation	specul	speculation
in	in	in
the	the	the
community	communiti	community
that	that	that
Scott	scott	Scott
was	was	wa
unarmed	unarm	unarmed
initial	initi	initial
reports	report	report
from	from	from
a	a	a
family	famili	family
member	member	member
on	on	on
Facebook	facebook	Facebook
said	said	said
he	he	he
was	was	wa
holding	hold	holding
a	a	a
book	book	book
were	were	were
untrue	untru	untrue
.	.	.
A	a	A
reading	read	reading
book	book	book
was	was	wa
not	not	not
found	found	found
in	in	in
the	the	the
front	front	front
or	or	or
back	back	back
seats	seat	seat
of	of	of
Mr	mr	Mr
.	.	.
Scott	scott	Scott
s	s	s
SUV	suv	SUV
,	,	,
Murray	murray	Murray
said	said	said
.	.	.
Officer	offic	Officer
Vinson	vinson	Vinson
s	s	s
gun	gun	gun
was	was	wa
examined	examin	examined
after	after	after
the	the	the
shooting	shoot	shooting
and	and	and
four	four	four
bullets	bullet	bullet
were	were	were
missing	miss	missing
,	,	,
Murray	murray	Murray
said	said	said
.	.	.
Guns	gun	Guns
taken	taken	taken
from	from	from
the	the	the
other	other	other
officers	offic	officer
at	at	at
the	the	the
scene	scene	scene
had	had	had
not	not	not
been	been	been
fired	fire	fired
,	,	,
he	he	he
said	said	said
.	.	.
People	peopl	People
who	who	who
claimed	claim	claimed
on	on	on
social	social	social
media	media	medium
that	that	that
they	they	they
had	had	had
seen	seen	seen
the	the	the
shooting	shoot	shooting
and	and	and
Scott	scott	Scott
was	was	wa
unarmed	unarm	unarmed
were	were	were
later	later	later
found	found	found
to	to	to
be	be	be
in	in	in
error	error	error
three	three	three
people	peopl	people
who	who	who
d	d	d
made	made	made
the	the	the
claim	claim	claim
told	told	told
State	state	State
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
agents	agent	agent
in	in	in
interviews	interview	interview
that	that	that
they	they	they
hadn	hadn	hadn
t	t	t
actually	actual	actually
seen	seen	seen
the	the	the
shooting	shoot	shooting
.	.	.
WARNING	warn	WARNING
GRAPHIC	graphic	GRAPHIC
CONTENT	content	CONTENT
The	the	The
Charlotte	charlott	Charlotte
-Mecklenburg	-mecklenburg	-Mecklenburg
Police	polic	Police
Department	depart	Department
released	releas	released
the	the	the
full	full	full
-length	-length	-length
dash	dash	dash
camera	camera	camera
video	video	video
of	of	of
the	the	the
fatal	fatal	fatal
police	polic	police
shooting	shoot	shooting
of	of	of
Keith	keith	Keith
Lamont	lamont	Lamont
Scott	scott	Scott
.	.	.
Scott	scott	Scott
s	s	s
family	famili	family
asked	ask	asked
the	the	the
police	polic	police
to	to	to
release	releas	release
the	the	the
video	video	video
to	to	to
the	the	the
public	public	public
.	.	.
CMPDMurray	cmpdmurray	CMPDMurray
said	said	said
he	he	he
ran	ran	ran
the	the	the
evidence	evid	evidence
in	in	in
the	the	the
case	case	case
past	past	past
15	15	15
veteran	veteran	veteran
prosecutors	prosecutor	prosecutor
in	in	in
his	his	his
officer	offic	officer
and	and	and
they	they	they
were	were	were
unanimous	unanim	unanimous
in	in	in
their	their	their
