When	when	When
someone	someon	someone
else	els	else
is	is	is
trying	tri	trying
to	to	to
tell	tell	tell
you	you	you
that	that	that
everyone	everyon	everyone
else	els	else
is	is	is
lying	lie	lying
in	in	in
order	order	order
for	for	for
you	you	you
to	to	to
believe	believ	believe
only	onli	only
them	them	them
,	,	,
they	they	they
re	re	re
probably	probabl	probably
lying	lie	lying
to	to	to
you	you	you
.	.	.
That	that	That
s	s	s
pretty	pretti	pretty
much	much	much
what	what	what
Fox	fox	Fox
News	news	News
does	doe	doe
on	on	on
a	a	a
daily	daili	daily
basis	basi	basis
,	,	,
and	and	and
that	that	that
s	s	s
definitely	definit	definitely
what	what	what
Donald	donald	Donald
Trump	trump	Trump
does	doe	doe
regularly	regular	regularly
.	.	.
In	in	In
fact	fact	fact
,	,	,
Trump	trump	Trump
has	has	ha
just	just	just
been	been	been
called	call	called
out	out	out
on	on	on
a	a	a
pretty	pretti	pretty
big	big	big
lie	lie	lie
that	that	that
he	he	he
really	realli	really
can	can	can
t	t	t
walk	walk	walk
back	back	back
from	from	from
by	by	by
any	ani	any
means	mean	mean
.	.	.
During	dure	During
a	a	a
recent	recent	recent
GOP	gop	GOP
debate	debat	debate
on	on	on
Fox	fox	Fox
News	news	News
,	,	,
Megyn	megyn	Megyn
Kelly	kelli	Kelly
asked	ask	asked
Trump	trump	Trump
about	about	about
the	the	the
Better	better	Better
Business	busi	Business
Bureau	bureau	Bureau
s	s	s
rating	rate	rating
of	of	of
his	his	his
Trump	trump	Trump
University	univers	University
.	.	.
Kelly	kelli	Kelly
alleged	alleg	alleged
that	that	that
the	the	the
university	univers	university
had	had	had
an	an	an
D	d	D
-minus	-minus	-minus
rating	rate	rating
,	,	,
while	while	while
Trump	trump	Trump
boasted	boast	boasted
right	right	right
now	now	now
it	it	it
is	is	is
at	at	at
an	an	an
A	a	A
.	.	.
Here	here	Here
s	s	s
the	the	the
thing	thing	thing
neither	neither	neither
of	of	of
those	those	those
ratings	rate	rating
are	are	are
true	true	true
.	.	.
While	while	While
Trump	trump	Trump
tried	tri	tried
to	to	to
claim	claim	claim
that	that	that
this	this	this
is	is	is
the	the	the
current	current	current
rating	rate	rating
of	of	of
his	his	his
venture	ventur	venture
into	into	into
swindling	swindl	swindling
people	peopl	people
via	via	via
higher	higher	higher
learning	learn	learning
,	,	,
even	even	even
faxing	fax	faxing
an	an	an
alleged	alleg	alleged
copy	copi	copy
of	of	of
the	the	the
report	report	report
to	to	to
the	the	the
Fox	fox	Fox
moderators	moder	moderator
during	dure	during
the	the	the
debate	debat	debate
The	the	The
Better	better	Better
Business	busi	Business
Bureau	bureau	Bureau
report	report	report
,	,	,
with	with	with
an	an	an
A	a	A
rating	rate	rating
for	for	for
Trump	trump	Trump
University	univers	University
.	.	.
#GOPDebate	#gopdeb	#GOPDebate
https://t.co/ldJ5EFp3HM	https://t.co/ldj5efp3hm	https://t.co/ldJ5EFp3HM
pic.twitter.com/1K9u09CFQQ	pic.twitter.com/1k9u09cfqq	pic.twitter.com/1K9u09CFQQ
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
4	4	4
,	,	,
2016	2016	2016
that	that	that
report	report	report
is	is	is
actually	actual	actually
from	from	from
several	sever	several
years	year	year
ago	ago	ago
.	.	.
And	and	And
according	accord	according
to	to	to
the	the	the
