The	the	The
mother	mother	mother
at	at	at
the	the	the
center	center	center
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
attack	attack	attack
on	on	on
the	the	the
family	famili	family
of	of	of
a	a	a
slain	slain	slain
purple	purpl	purple
heart	heart	heart
recipient	recipi	recipient
responded	respond	responded
to	to	to
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
ABC	abc	ABC
News	news	News
,	,	,
Trump	trump	Trump
claimed	claim	claimed
that	that	that
Ghazala	ghazala	Ghazala
Khan	khan	Khan
did	did	did
not	not	not
speak	speak	speak
as	as	a
her	her	her
husband	husband	husband
Khizr	khizr	Khizr
Khan	khan	Khan
spoke	spoke	spoke
at	at	at
the	the	the
2016	2016	2016
Democratic	democrat	Democratic
Convention	convent	Convention
because	becaus	because
of	of	of
their	their	their
Islamic	islam	Islamic
faith	faith	faith
.	.	.
Trump	trump	Trump
said	said	said
,	,	,
If	if	If
you	you	you
look	look	look
at	at	at
his	his	his
wife	wife	wife
,	,	,
she	she	she
was	was	wa
standing	stand	standing
there	there	there
.	.	.
She	she	She
had	had	had
nothing	noth	nothing
to	to	to
say	say	say
.	.	.
She	she	She
probably	probabl	probably
,	,	,
maybe	mayb	maybe
she	she	she
wasn	wasn	wasn
t	t	t
allowed	allow	allowed
to	to	to
have	have	have
anything	anyth	anything
to	to	to
say	say	say
.	.	.
You	you	You
tell	tell	tell
me	me	me
.	.	.
In	in	In
his	his	his
appearance	appear	appearance
,	,	,
Mr	mr	Mr
.	.	.
Khan	khan	Khan
discussed	discuss	discussed
that	that	that
his	his	his
family	famili	family
emigrated	emigr	emigrated
to	to	to
the	the	the
United	unit	United
States	state	States
and	and	and
spoke	spoke	spoke
about	about	about
how	how	how
his	his	his
son	son	son
served	serv	served
with	with	with
distinction	distinct	distinction
in	in	in
the	the	the
military	militari	military
,	,	,
losing	lose	losing
his	his	his
life	life	life
in	in	in
Iraq	iraq	Iraq
.	.	.
Khan	khan	Khan
pointed	point	pointed
out	out	out
that	that	that
if	if	if
Trump	trump	Trump
s	s	s
proposed	propos	proposed
ban	ban	ban
on	on	on
Muslims	muslim	Muslims
were	were	were
in	in	in
place	place	place
,	,	,
his	his	his
son	son	son
would	would	would
have	have	have
not	not	not
been	been	been
able	abl	able
to	to	to
serve	serv	serve
.	.	.
ABC	abc	ABC
reporter	report	reporter
Mary	mari	Mary
Bruce	bruce	Bruce
spoke	spoke	spoke
to	to	to
Ghazala	ghazala	Ghazala
Khan	khan	Khan
,	,	,
and	and	and
she	she	she
responded	respond	responded
to	to	to
Trump	trump	Trump
s	s	s
smear	smear	smear
.	.	.
She	she	She
said	said	said
,	,	,
Running	run	Running
for	for	for
President	presid	President
is	is	is
not	not	not
an	an	an
entitlement	entitl	entitlement
to	to	to
disrespect	disrespect	disrespect
Gold	gold	Gold
Star	star	Star
families	famili	family
and	and	and
a	a	a
Gold	gold	Gold
Star	star	Star
mother	mother	mother
.	.	.
Khan	khan	Khan
also	also	also
explained	explain	explained
that	that	that
she	she	she
did	did	did
not	not	not
speak	speak	speak
at	at	at
the	the	the
convention	convent	convention
because	becaus	because
I	i	I
was	was	wa
in	in	in
pain	pain	pain
.	.	.
Khan	khan	Khan
responds	respond	responds
to	to	to
Trump	trump	Trump
,	,	,
telling	tell	telling
ABC	abc	ABC
running	run	running
for	for	for
President	presid	President
is	is	is
not	not	not
an	an	an
entitlement	entitl	entitlement
to	to	to
