Token	Stem	Lemma
It	it	It
s	s	s
tough	tough	tough
sometimes	sometim	sometimes
to	to	to
imagine	imagin	imagine
that	that	that
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
five	five	five
children	children	child
since	sinc	since
it	it	it
s	s	s
clear	clear	clear
from	from	from
Monday	monday	Monday
s	s	s
speech	speech	speech
in	in	in
front	front	front
of	of	of
40	40	40
000	000	000
Boy	boy	Boy
Scouts	scout	Scouts
and	and	and
other	other	other
attendees	attende	attendee
at	at	at
the	the	the
Boy	boy	Boy
Scouts	scout	Scouts
Jamboree	jambore	Jamboree
in	in	in
West	west	West
Virginia	virginia	Virginia
that	that	that
he	he	he
has	has	ha
absolutely	absolut	absolutely
no	no	no
idea	idea	idea
what	what	what
kind	kind	kind
of	of	of
talk	talk	talk
is	is	is
appropriate	appropri	appropriate
for	for	for
children	children	child
While	while	While
most	most	most
adults	adult	adult
would	would	would
take	take	take
this	this	this
opportunity	opportun	opportunity
to	to	to
offer	offer	offer
some	some	some
pearls	pearl	pearl
of	of	of
adult	adult	adult
wisdom	wisdom	wisdom
or	or	or
cheerlead	cheerlead	cheerlead
the	the	the
Boy	boy	Boy
Scouts	scout	Scouts
toward	toward	toward
their	their	their
futures	futur	future
Trump	trump	Trump
chose	chose	chose
to	to	to
deliver	deliv	deliver
a	a	a
tirade	tirad	tirade
of	of	of
Trumpisms	trumpism	Trumpisms
Like	like	Like
almost	almost	almost
any	ani	any
time	time	time
Trump	trump	Trump
has	has	ha
tried	tri	tried
to	to	to
string	string	string
together	togeth	together
more	more	more
than	than	than
a	a	a
couple	coupl	couple
of	of	of
words	word	word
at	at	at
a	a	a
time	time	time
most	most	most
of	of	of
his	his	his
speech	speech	speech
was	was	wa
an	an	an
inarticulate	inarticul	inarticulate
mess	mess	mess
which	which	which
consisted	consist	consisted
of	of	of
his	his	his
trademark	trademark	trademark
whining	whine	whining
a	a	a
wee	wee	wee
bit	bit	bit
of	of	of
swearing	swear	swearing
and	and	and
a	a	a
pointless	pointless	pointless
anecdote	anecdot	anecdote
about	about	about
a	a	a
burned	burn	burned
out	out	out
rich	rich	rich
guy	guy	guy
at	at	at
a	a	a
cocktail	cocktail	cocktail
party	parti	party
In	in	In
a	a	a
string	string	string
of	of	of
what	what	what
we	we	we
might	might	might
want	want	want
to	to	to
call	call	call
Trump	trump	Trump
s	s	s
greatest	greatest	greatest
hits	hit	hit
toward	toward	toward
the	the	the
very	veri	very
beginning	begin	beginning
of	of	of
his	his	his
speech	speech	speech
he	he	he
insulted	insult	insulted
President	presid	President
Obama	obama	Obama
and	and	and
said	said	said
he	he	he
didn	didn	didn
t	t	t
want	want	want
to	to	to
talk	talk	talk
about	about	about
politics	polit	politics
Who	who	Who
the	the	the
hell	hell	hell
wants	want	want
to	to	to
talk	talk	talk
about	about	about
politics	polit	politics
when	when	when
I	i	I
m	m	m
in	in	in
front	front	front
of	of	of
the	the	the
Boy	boy	Boy
Scouts	scout	Scouts
Trump	trump	Trump
asked	ask	asked
but	but	but
the	the	the
answer	answer	answer
apparently	appar	apparently
was	was	wa
Donald	donald	Donald
Trump	trump	Trump
He	he	He
talked	talk	talked
about	about	about
a	a	a
lot	lot	lot
of	of	of
politics	polit	politics
Trump	trump	Trump
to	to	to
kids	kid	kid
at	at	at
Scout	scout	Scout
jamboree	jambore	jamboree
Who	who	Who
the	the	the
hell	hell	hell
wants	want	want
to	to	to
speak	speak	speak
about	about	about
politics	polit	politics
when	when	when
I	i	I
m	m	m
in	in	in
front	front	front
of	of	of
the	the	the
Boy	boy	Boy
Scouts	scout	Scouts
https://t.co/Rz5Tko7WW8	https://t.co/rz5tko7ww8	https://t.co/Rz5Tko7WW8
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
July	juli	July
24	24	24
2017	2017	2017
By	by	By
the	the	the
way	way	way
just	just	just
a	a	a
question	question	question
Did	did	Did
President	presid	President
Obama	obama	Obama
ever	ever	ever
come	come	come
to	to	to
a	a	a
jamboree	jambore	jamboree
he	he	he
asked	ask	asked
as	as	a
the	the	the
crowd	crowd	crowd
of	of	of
scouts	scout	scout
scoutmasters	scoutmast	scoutmaster
and	and	and
various	various	various
other	other	other
adults	adult	adult
gathered	gather	gathered
in	in	in
West	west	West
Virginia	virginia	Virginia
yelled	yell	yelled
the	the	the
word	word	word
no	no	no
The	the	The
answer	answer	answer
is	is	is
no	no	no
Trump	trump	Trump
continued	continu	continued
But	but	But
we	we	we
ll	ll	ll
be	be	be
back	back	back
Obama	obama	Obama
did	did	did
address	address	address
a	a	a
100th	100th	100th
anniversary	anniversari	anniversary
scouting	scout	scouting
event	event	event
in	in	in
2010	2010	2010
by	by	by
video	video	video
Source	sourc	Source
USA	usa	USA
TodayPresident	todaypresid	TodayPresident
Obama	obama	Obama
did	did	did
not	not	not
attend	attend	attend
in	in	in
person	person	person
out	out	out
of	of	of
protest	protest	protest
for	for	for
the	the	the
Boy	boy	Boy
Scouts	scout	Scouts
policy	polici	policy
of	of	of
not	not	not
admitting	admit	admitting
gay	gay	gay
scouts	scout	scout
That	that	That
policy	polici	policy
has	has	ha
since	sinc	since
changed	chang	changed
Trump	trump	Trump
talked	talk	talked
about	about	about
killing	kill	killing
Obamacare	obamacar	Obamacare
and	and	and
said	said	said
he	he	he
was	was	wa
going	go	going
to	to	to
fire	fire	fire
Secretary	secretari	Secretary
of	of	of
Health	health	Health
and	and	and
Human	human	Human
Services	servic	Services
Tom	tom	Tom
Price	price	Price
if	if	if
that	that	that
didn	didn	didn
t	t	t
happen	happen	happen
At	at	At
Boy	boy	Boy
Scouts	scout	Scouts
Jamboree	jambore	Jamboree
Trump	trump	Trump
jokes	joke	joke
about	about	about
firing	fire	firing
his	his	his
HHS	hhs	HHS
secretary	secretari	secretary
if	if	if
he	he	he
doesn	doesn	doesn
t	t	t
get	get	get
the	the	the
votes	vote	vote
for	for	for
health	health	health
care	care	care
bill	bill	bill
https://t.co/QUhf3TAZji	https://t.co/quhf3tazji	https://t.co/QUhf3TAZji
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
July	juli	July
24	24	24
2017He	2017he	2017He
also	also	also
regaled	regal	regaled
the	the	the
audience	audienc	audience
of	of	of
people	peopl	people
who	who	who
are	are	are
mostly	most	mostly
too	too	too
young	young	young
to	to	to
drink	drink	drink
with	with	with
a	a	a
story	stori	story
of	of	of
a	a	a
friend	friend	friend
of	of	of
his	his	his
at	at	at
a	a	a
cocktail	cocktail	cocktail
party	parti	party
Trump	trump	Trump
tells	tell	tell
kids	kid	kid
at	at	at
Boy	boy	Boy
Scout	scout	Scout
Jamboree	jambore	Jamboree
about	about	about
his	his	his
friend	friend	friend
who	who	who
got	got	got
tired	tire	tired
of	of	of
yachting	yacht	yachting
lost	lost	lost
his	his	his
a	a	a
NY	ny	NY
cocktail	cocktail	cocktail
party	parti	party
https://t.co/VbNRcRVpgB	https://t.co/vbnrcrvpgb	https://t.co/VbNRcRVpgB
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
July	juli	July
24	24	24
2017He	2017he	2017He
also	also	also
whined	whine	whined
about	about	about
loyalty	loyalti	loyalty
or	or	or
his	his	his
perceived	perceiv	perceived
lack	lack	lack
of	of	of
it	it	it
Naturally	natur	Naturally
Trump	trump	Trump
complained	complain	complained
about	about	about
the	the	the
fake	fake	fake
media	media	medium
He	he	He
said	said	said
me	me	me
might	might	might
re	re	re
-name	-name	-name
Washington	washington	Washington
D	d	D
C	c	C
a	a	a
cesspool	cesspool	cesspool
instead	instead	instead
of	of	of
a	a	a
swamp	swamp	swamp
After	after	After
hearing	hear	hearing
that	that	that
speech	speech	speech
or	or	or
the	the	the
snippets	snippet	snippet
it	it	it
was	was	wa
obvious	obvious	obvious
that	that	that
Trump	trump	Trump
had	had	had
no	no	no
idea	idea	idea
he	he	he
wasn	wasn	wasn
t	t	t
at	at	at
one	one	one
of	of	of
his	his	his
campaign	campaign	campaign
rallies	ralli	rally
If	if	If
this	this	this
is	is	is
an	an	an
example	exampl	example
of	of	of
how	how	how
he	he	he
speaks	speak	speaks
to	to	to
children	children	child
it	it	it
explains	explain	explains
a	a	a
lot	lot	lot
about	about	about
his	his	his
children	children	child
Featured	featur	Featured
image	imag	image
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
