TAMPA	tampa	TAMPA
,	,	,
Fla	fla	Fla
.	.	.
Reuters	reuter	Reuters
-	-	-
Florida	florida	Florida
s	s	s
Supreme	suprem	Supreme
Court	court	Court
overturned	overturn	overturned
a	a	a
new	new	new
state	state	state
death	death	death
penalty	penalti	penalty
law	law	law
on	on	on
Friday	friday	Friday
because	becaus	because
it	it	it
does	doe	doe
not	not	not
require	requir	require
juries	juri	jury
to	to	to
unanimously	unanim	unanimously
recommend	recommend	recommend
capital	capit	capital
punishment	punish	punishment
,	,	,
a	a	a
ruling	rule	ruling
with	with	with
potential	potenti	potential
implications	implic	implication
for	for	for
ongoing	ongo	ongoing
prosecutions	prosecut	prosecution
and	and	and
385	385	385
death	death	death
row	row	row
inmates	inmat	inmate
.	.	.
Executions	execut	Executions
in	in	in
Florida	florida	Florida
,	,	,
home	home	home
to	to	to
the	the	the
nation	nation	nation
s	s	s
second	second	second
-largest	-largest	-largest
death	death	death
row	row	row
,	,	,
have	have	have
been	been	been
on	on	on
hold	hold	hold
since	sinc	since
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
in	in	in
January	januari	January
struck	struck	struck
down	down	down
the	the	the
state	state	state
s	s	s
death	death	death
penalty	penalti	penalty
sentencing	sentenc	sentencing
laws	law	law
.	.	.
Friday	friday	Friday
s	s	s
ruling	rule	ruling
by	by	by
Florida	florida	Florida
s	s	s
high	high	high
court	court	court
marked	mark	marked
another	anoth	another
step	step	step
towards	toward	towards
death	death	death
sentence	sentenc	sentence
recommendations	recommend	recommendation
becoming	becom	becoming
unanimous	unanim	unanimous
jury	juri	jury
decisions	decis	decision
in	in	in
all	all	all
U	u	U
.	.	.
S	s	S
.	.	.
states	state	state
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
s	s	s
8	8	8
-1	-1	-1
ruling	rule	ruling
invalidated	invalid	invalidated
how	how	how
a	a	a
judge	judg	judge
sentenced	sentenc	sentenced
Timothy	timothi	Timothy
Hurst	hurst	Hurst
to	to	to
death	death	death
for	for	for
the	the	the
1998	1998	1998
