RICHMOND	richmond	RICHMOND
,	,	,
Va	va	Va
.	.	.
Reuters	reuter	Reuters
-	-	-
Virginia	virginia	Virginia
s	s	s
lieutenant	lieuten	lieutenant
governor	governor	governor
will	will	will
face	face	face
a	a	a
former	former	former
Republican	republican	Republican
national	nation	national
committee	committe	committee
chairman	chairman	chairman
in	in	in
a	a	a
November	novemb	November
general	general	general
election	elect	election
to	to	to
become	becom	become
the	the	the
state	state	state
s	s	s
next	next	next
governor	governor	governor
in	in	in
a	a	a
race	race	race
seen	seen	seen
as	as	a
a	a	a
bellwether	bellweth	bellwether
for	for	for
next	next	next
year	year	year
s	s	s
mid	mid	mid
-term	-term	-term
congressional	congression	congressional
races	race	race
.	.	.
Lieutenant	lieuten	Lieutenant
Governor	governor	Governor
Ralph	ralph	Ralph
Northam	northam	Northam
bested	best	bested
former	former	former
congressman	congressman	congressman
Tom	tom	Tom
Perriello	perriello	Perriello
in	in	in
the	the	the
Democratic	democrat	Democratic
primary	primari	primary
,	,	,
while	while	while
former	former	former
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
Chairman	chairman	Chairman
Ed	ed	Ed
Gillespie	gillespi	Gillespie
topped	top	topped
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
former	former	former
Virginia	virginia	Virginia
campaign	campaign	campaign
co	co	co
-chairman	-chairman	-chairman
Corey	corey	Corey
Stewart	stewart	Stewart
,	,	,
according	accord	according
to	to	to
unofficial	unoffici	unofficial
returns	return	return
posted	post	posted
online	onlin	online
by	by	by
the	the	the
Virginia	virginia	Virginia
Department	depart	Department
of	of	of
Elections	elect	Elections
.	.	.
The	the	The
gubernatorial	gubernatori	gubernatorial
race	race	race
in	in	in
Virginia	virginia	Virginia
,	,	,
the	the	the
only	onli	only
state	state	state
other	other	other
than	than	than
New	new	New
Jersey	jersey	Jersey
electing	elect	electing
a	a	a
new	new	new
governor	governor	governor
this	this	this
year	year	year
,	,	,
is	is	is
seen	seen	seen
as	as	a
a	a	a
key	key	key
test	test	test
of	of	of
Trump	trump	Trump
s	s	s
popularity	popular	popularity
ahead	ahead	ahead
of	of	of
the	the	the
2018	2018	2018
mid	mid	mid
-term	-term	-term
elections	elect	election
for	for	for
the	the	the
Republican	republican	Republican
-controlled	-control	-controlled
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
and	and	and
House	hous	House
of	of	of
Representatives	repres	Representatives
.	.	.
The	the	The
winner	winner	winner
in	in	in
November	novemb	November
will	will	will
succeed	succeed	succeed
incumbent	incumb	incumbent
Democratic	democrat	Democratic
Governor	governor	Governor
Terry	terri	Terry
McAuliffe	mcauliff	McAuliffe
,	,	,
who	who	who
is	is	is
barred	bar	barred
by	by	by
term	term	term
limits	limit	limit
from	from	from
running	run	running
again	again	again
.	.	.
Northam	northam	Northam
sought	sought	sought
to	to	to
stoke	stoke	stoke
Democrats	democrat	Democrats
anger	anger	anger
toward	toward	toward
Trump	trump	Trump
,	,	,
calling	call	calling
the	the	the
president	presid	president
a	a	a
narcissistic	narcissist	narcissistic
maniac	maniac	maniac
in	in	in
statewide	statewid	statewide
ads	ad	ad
.	.	.
Tonight	tonight	Tonight
,	,	,
we	we	we
re	re	re
one	one	one
step	step	step
closer	closer	closer
to	to	to
building	build	building
a	a	a
Virginia	virginia	Virginia
that	that	that
works	work	work
for	for	for
everyone	everyon	everyone
-	-	-
no	no	no
matter	matter	matter
who	who	who
you	you	you
are	are	are
,	,	,
no	no	no
matter	matter	matter
where	where	where
you	you	you
re	re	re
from	from	from
,	,	,
Northam	northam	Northam
said	said	said
in	in	in
a	a	a
Twitter	twitter	Twitter
post	post	post
declaring	declar	declaring
victory	victori	victory
.	.	.
In	in	In
the	the	the
Republican	republican	Republican
primary	primari	primary
,	,	,
Gillespie	gillespi	Gillespie
beat	beat	beat
Stewart	stewart	Stewart
44	44	44
percent	percent	percent
to	to	to
42	42	42
percent	percent	percent
with	with	with
Frank	frank	Frank
Wagner	wagner	Wagner
earning	earn	earning
14	14	14
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
.	.	.
On	on	On
the	the	the
Democrat	democrat	Democrat
side	side	side
,	,	,
56	56	56
percent	percent	percent
vote	vote	vote
went	went	went
to	to	to
Northam	northam	Northam
and	and	and
44	44	44
percent	percent	percent
went	went	went
to	to	to
Perriello	perriello	Perriello
,	,	,
unofficial	unoffici	unofficial
returns	return	return
showed	show	showed
.	.	.
The	the	The
governor	governor	governor
s	s	s
race	race	race
in	in	in
Virginia	virginia	Virginia
,	,	,
a	a	a
swing	swing	swing
state	state	state
where	where	where
a	a	a
recent	recent	recent
Washington	washington	Washington
Post	post	Post
and	and	and
George	georg	George
Mason	mason	Mason
University	univers	University
poll	poll	poll
showed	show	showed
59	59	59
percent	percent	percent
of	of	of
voters	voter	voter
disapprove	disapprov	disapprove
of	of	of
Trump	trump	Trump
s	s	s
performance	perform	performance
,	,	,
is	is	is
shaping	shape	shaping
up	up	up
as	as	a
a	a	a
pivotal	pivot	pivotal
battleground	battleground	battleground
with	with	with
national	nation	national
implications	implic	implication
.	.	.
Virginia	virginia	Virginia
will	will	will
be	be	be
more	more	more
hotly	hot	hotly
contested	contest	contested
than	than	than
ever	ever	ever
,	,	,
said	said	said
Stephen	stephen	Stephen
Farnsworth	farnsworth	Farnsworth
,	,	,
a	a	a
University	univers	University
of	of	of
Mary	mari	Mary
Washington	washington	Washington
political	polit	political
analyst	analyst	analyst
.	.	.
All	all	All
the	the	the
national	nation	national
money	money	money
and	and	and
national	nation	national
attention	attent	attention
will	will	will
be	be	be
coming	come	coming
this	this	this
way	way	way
.	.	.
.	.	.
.	.	.
.	.	.
Republicans	republican	Republicans
want	want	want
to	to	to
claim	claim	claim
that	that	that
the	the	the
Trump	trump	Trump
movement	movement	movement
is	is	is
doing	do	doing
well	well	well
and	and	and
the	the	the
Democrats	democrat	Democrats
want	want	want
to	to	to
claim	claim	claim
it	it	it
is	is	is
not	not	not
.	.	.
Northam	northam	Northam
was	was	wa
backed	back	backed
by	by	by
every	everi	every
statewide	statewid	statewide
Democratic	democrat	Democratic
officeholder	officehold	officeholder
,	,	,
while	while	while
Perriello	perriello	Perriello
drew	drew	drew
support	support	support
of	of	of
Democratic	democrat	Democratic
progressives	progress	progressive
,	,	,
including	includ	including
U	u	U
.	.	.
S	s	S
.	.	.
Senators	senat	Senators
Bernie	berni	Bernie
Sanders	sander	Sanders
and	and	and
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
.	.	.
Gillespie	gillespi	Gillespie
was	was	wa
endorsed	endors	endorsed
by	by	by
a	a	a
raft	raft	raft
of	of	of
state	state	state
and	and	and
national	nation	national
Republican	republican	Republican
leaders	leader	leader
.	.	.
On	on	On
the	the	the
campaign	campaign	campaign
trail	trail	trail
,	,	,
he	he	he
largely	larg	largely
avoided	avoid	avoided
talking	talk	talking
about	about	about
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
not	not	not
weighed	weigh	weighed
in	in	in
on	on	on
the	the	the
race	race	race
.	.	.
