Court	court	Court
documents	document	document
related	relat	related
to	to	to
Tina	tina	Tina
Johnson	johnson	Johnson
,	,	,
an	an	an
Alabama	alabama	Alabama
woman	woman	woman
who	who	who
claims	claim	claim
that	that	that
Republican	republican	Republican
senatorial	senatori	senatorial
candidate	candid	candidate
Roy	roy	Roy
Moore	moor	Moore
groped	grope	groped
her	her	her
in	in	in
his	his	his
office	offic	office
decades	decad	decade
ago	ago	ago
,	,	,
may	may	may
raise	rais	raise
questions	question	question
about	about	about
Johnson	johnson	Johnson
s	s	s
motives	motiv	motif
in	in	in
making	make	making
the	the	the
accusation	accus	accusation
.	.	.
The	the	The
documents	document	document
,	,	,
reviewed	review	reviewed
by	by	by
Breitbart	breitbart	Breitbart
News	news	News
,	,	,
show	show	show
that	that	that
Moore	moor	Moore
represented	repres	represented
Johnson	johnson	Johnson
s	s	s
mother	mother	mother
in	in	in
a	a	a
nasty	nasti	nasty
custody	custodi	custody
case	case	case
for	for	for
Johnson	johnson	Johnson
s	s	s
then	then	then
12	12	12
-year-old	-year-old	-year-old
son	son	son
,	,	,
Daniel	daniel	Daniel
Sitz	sitz	Sitz
.	.	.

In	in	In
the	the	the
case	case	case
,	,	,
Johnson	johnson	Johnson
was	was	wa
repeatedly	repeat	repeatedly
painted	paint	painted
by	by	by
Moore	moor	Moore
s	s	s
client	client	client
as	as	a
an	an	an
unfit	unfit	unfit
,	,	,
absent	absent	absent
,	,	,
and	and	and
unstable	unstabl	unstable
mother	mother	mother
and	and	and
was	was	wa
accused	accus	accused
of	of	of
taking	take	taking
her	her	her
son	son	son
from	from	from
his	his	his
elementary	elementari	elementary
school	school	school
against	against	against
his	his	his
will	will	will
.	.	.

Johnson	johnson	Johnson
s	s	s
mother	mother	mother
was	was	wa
ultimately	ultim	ultimately
awarded	award	awarded
custody	custodi	custody
in	in	in
the	the	the
case	case	case
.	.	.
One	one	One
affidavit	affidavit	affidavit
signed	sign	signed
by	by	by
Johnson	johnson	Johnson
s	s	s
mother	mother	mother
while	while	while
she	she	she
was	was	wa
represented	repres	represented
by	by	by
Moore	moor	Moore
accused	accus	accused
Johnson	johnson	Johnson
of	of	of
having	have	having
a	a	a
violent	violent	violent
nature	natur	nature
and	and	and
noted	note	noted
that	that	that
she	she	she
has	has	ha
been	been	been
treated	treat	treated
by	by	by
a	a	a
psychiatrist	psychiatrist	psychiatrist
when	when	when
she	she	she
was	was	wa
approximately	approxim	approximately
15	15	15
years	year	year
of	of	of
age	age	age
.	.	.

Johnson	johnson	Johnson
was	was	wa
a	a	a
teenage	teenag	teenage
mother	mother	mother
.	.	.
Separate	separ	Separate
criminal	crimin	criminal
documents	document	document
show	show	show
that	that	that
,	,	,
as	as	a
late	late	late
as	as	a
2010	2010	2010
,	,	,
Johnson	johnson	Johnson
was	was	wa
arrested	arrest	arrested
and	and	and
pled	pled	pled
guilty	guilti	guilty
to	to	to
felony	feloni	felony
fraud	fraud	fraud
charges	charg	charge
related	relat	related
to	to	to
checks	check	check
belonging	belong	belonging
to	to	to
a	a	a
family	famili	family
member	member	member
.	.	.

She	she	She
also	also	also
entered	enter	entered
a	a	a
court	court	court
drug	drug	drug
program	program	program
.	.	.
Speaking	speak	Speaking
to	to	to
AL	al	AL
.	.	.
com	com	com
,	,	,
Johnson	johnson	Johnson
first	first	first
went	went	went
public	public	public
with	with	with
the	the	the
claim	claim	claim
that	that	that
Moore	moor	Moore
groped	grope	groped
her	her	her
when	when	when
she	she	she
was	was	wa
on	on	on
legal	legal	legal
business	busi	business
with	with	with
her	her	her
mother	mother	mother
in	in	in
1991	1991	1991
.	.	.

The	the	The
website	websit	website
noted	note	noted
that	that	that
Johnson	johnson	Johnson
reached	reach	reached
out	out	out
to	to	to
AL	al	AL
.	.	.
com	com	com
to	to	to
discuss	discuss	discus
her	her	her
alleged	alleg	alleged
experience	experi	experience
with	with	with
Moore	moor	Moore
.	.	.
The	the	The
website	websit	website
related	relat	related
that	that	that
Johnson	johnson	Johnson
was	was	wa
at	at	at
the	the	the
office	offic	office
to	to	to
sign	sign	sign
over	over	over
custody	custodi	custody
of	of	of
her	her	her
12	12	12
-year-old	-year-old	-year-old
son	son	son
to	to	to
her	her	her
mother	mother	mother
,	,	,
with	with	with
whom	whom	whom
he	he	he
d	d	d
been	been	been
living	live	living
.	.	.

Johnson	johnson	Johnson
claimed	claim	claimed
that	that	that
,	,	,
after	after	after
the	the	the
two	two	two
met	met	met
with	with	with
Moore	moor	Moore
,	,	,
her	her	her
mother	mother	mother
walked	walk	walked
out	out	out
of	of	of
the	the	the
office	offic	office
door	door	door
first	first	first
and	and	and
that	that	that
,	,	,
as	as	a
Johnson	johnson	Johnson
was	was	wa
walking	walk	walking
out	out	out
,	,	,
Moore	moor	Moore
grabbed	grab	grabbed
her	her	her
buttocks	buttock	buttock
from	from	from
behind	behind	behind
.	.	.

He	he	He
didn	didn	didn
t	t	t
pinch	pinch	pinch
it	it	it
;	;	;
he	he	he
grabbed	grab	grabbed
it	it	it
,	,	,
she	she	she
claims	claim	claim
.	.	.
Watch	watch	Watch
,	,	,
as	as	a
Tina	tina	Tina
Johnson	johnson	Johnson
tells	tell	tell
CNN	cnn	CNN
s	s	s
Erin	erin	Erin
Burnett	burnett	Burnett
the	the	the
details	detail	detail
of	of	of
her	her	her
alleged	alleg	alleged
sexual	sexual	sexual
assault	assault	assault
by	by	by
Judge	judg	Judge
Roy	roy	Roy
Moore	moor	Moore
.	.	.

It	it	It
s	s	s
curious	curious	curious
that	that	that
a	a	a
woman	woman	woman
with	with	with
Johnson	johnson	Johnson
s	s	s
background	background	background
vs	vs	v
.	.	.

the	the	the
squeaky	squeaki	squeaky
clean	clean	clean
background	background	background
of	of	of
Judge	judg	Judge
Roy	roy	Roy
Moore	moor	Moore
would	would	would
attempt	attempt	attempt
to	to	to
prove	prove	prove
that	that	that
her	her	her
faith	faith	faith
was	was	wa
stronger	stronger	stronger
,	,	,
or	or	or
more	more	more
somehow	somehow	somehow
more	more	more
relevant	relev	relevant
than	than	than
Roy	roy	Roy
Moore	moor	Moore
s	s	s
faith	faith	faith
.	.	.

A	a	A
document	document	document
,	,	,
signed	sign	signed
by	by	by
Moore	moor	Moore
,	,	,
stated	state	stated
that	that	that
Cofield	cofield	Cofield
and	and	and
not	not	not
Johnson	johnson	Johnson
was	was	wa
the	the	the
most	most	most
fit	fit	fit
and	and	and
proper	proper	proper
person	person	person
to	to	to
have	have	have
custody	custodi	custody
of	of	of
Daniel	daniel	Daniel
Sitz	sitz	Sitz
.	.	.
Johnson	johnson	Johnson
s	s	s
son	son	son
had	had	had
resided	resid	resided
with	with	with
his	his	his
grandmother	grandmoth	grandmother
,	,	,
Cofield	cofield	Cofield
,	,	,
since	sinc	since
he	he	he
was	was	wa
nine	nine	nine
months	month	month
old	old	old
.	.	.

Cofield	cofield	Cofield
says	say	say
that	that	that
,	,	,
during	dure	during
those	those	those
years	year	year
,	,	,
she	she	she
provided	provid	provided
Daniel	daniel	Daniel
with	with	with
food	food	food
,	,	,
clothing	cloth	clothing
,	,	,
and	and	and
shelter	shelter	shelter
without	without	without
any	ani	any
assistance	assist	assistance
from	from	from
Johnson	johnson	Johnson
.	.	.

A	a	A
judge	judg	judge
officially	offici	officially
granted	grant	granted
Cofield	cofield	Cofield
full	full	full
custody	custodi	custody
on	on	on
September	septemb	September
23	23	23
,	,	,
1991	1991	1991
.	.	.
Last	last	Last
week	week	week
,	,	,
Breitbart	breitbart	Breitbart
News	news	News
interviewed	interview	interviewed
Delbra	delbra	Delbra
Adams	adam	Adams
,	,	,
Moore	moor	Moore
s	s	s
former	former	former
longtime	longtim	longtime
secretary	secretari	secretary
and	and	and
judicial	judici	judicial
assistant	assist	assistant
.	.	.

Adams	adam	Adams
said	said	said
that	that	that
,	,	,
in	in	in
her	her	her
13	13	13
years	year	year
of	of	of
working	work	working
for	for	for
Moore	moor	Moore
,	,	,
she	she	she
never	never	never
saw	saw	saw
or	or	or
experienced	experienc	experienced
any	ani	any
inappropriate	inappropri	inappropriate
conduct	conduct	conduct
toward	toward	toward
women	women	woman
.	.	.
Adams	adam	Adams
worked	work	worked
for	for	for
Moore	moor	Moore
in	in	in
1991	1991	1991
at	at	at
the	the	the
time	time	time
of	of	of
Johnson	johnson	Johnson
s	s	s
accusations	accus	accusation
.	.	.

Adams	adam	Adams
s	s	s
desk	desk	desk
was	was	wa
right	right	right
outside	outsid	outside
his	his	his
office	offic	office
door	door	door
at	at	at
the	the	the
time	time	time
.	.	.

Adams	adam	Adams
name	name	name
was	was	wa
signed	sign	signed
as	as	a
a	a	a
notary	notari	notary
on	on	on
one	one	one
of	of	of
the	the	the
custody	custodi	custody
documents	document	document
filed	file	filed
in	in	in
Johnson	johnson	Johnson
s	s	s
case	case	case
on	on	on
behalf	behalf	behalf
of	of	of
Johnson	johnson	Johnson
s	s	s
mother	mother	mother
,	,	,
Cofield	cofield	Cofield
.	.	.

Breitbart	breitbart	Breitbart
News	news	News

