LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
has	has	ha
reaffirmed	reaffirm	reaffirmed
Britain	britain	Britain
s	s	s
commitment	commit	commitment
to	to	to
a	a	a
2015	2015	2015
Iran	iran	Iran
nuclear	nuclear	nuclear
deal	deal	deal
in	in	in
a	a	a
telephone	telephon	telephone
conversation	convers	conversation
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
ahead	ahead	ahead
of	of	of
a	a	a
key	key	key
U	u	U
.	.	.
S	s	S
.	.	.
decision	decis	decision
on	on	on
whether	whether	whether
Tehran	tehran	Tehran
has	has	ha
stuck	stuck	stuck
to	to	to
the	the	the
terms	term	term
of	of	of
the	the	the
pact	pact	pact
.	.	.
Trump	trump	Trump
has	has	ha
cast	cast	cast
doubt	doubt	doubt
on	on	on
the	the	the
future	futur	future
of	of	of
the	the	the
Joint	joint	Joint
Comprehensive	comprehens	Comprehensive
Plan	plan	Plan
of	of	of
Action	action	Action
JCPOA	jcpoa	JCPOA
,	,	,
which	which	which
sought	sought	sought
to	to	to
curb	curb	curb
Iran	iran	Iran
s	s	s
nuclear	nuclear	nuclear
program	program	program
in	in	in
return	return	return
for	for	for
lifting	lift	lifting
most	most	most
Western	western	Western
economic	econom	economic
sanctions	sanction	sanction
.	.	.
A	a	A
senior	senior	senior
U	u	U
.	.	.
S	s	S
.	.	.
administration	administr	administration
official	offici	official
said	said	said
last	last	last
week	week	week
that	that	that
Trump	trump	Trump
-	-	-
who	who	who
has	has	ha
criticized	critic	criticized
the	the	the
pact	pact	pact
as	as	a
an	an	an
embarrassment	embarrass	embarrassment
and	and	and
the	the	the
worst	worst	worst
deal	deal	deal
ever	ever	ever
negotiated	negoti	negotiated
,	,	,
-	-	-
was	was	wa
expected	expect	expected
to	to	to
decertify	decertifi	decertify
Iran	iran	Iran
s	s	s
compliance	complianc	compliance
ahead	ahead	ahead
of	of	of
an	an	an
Oct	oct	Oct
.	.	.
15	15	15
deadline	deadlin	deadline
.	.	.
The	the	The
prime	prime	prime
minister	minist	minister
reaffirmed	reaffirm	reaffirmed
the	the	the
UK	uk	UK
s	s	s
strong	strong	strong
commitment	commit	commitment
to	to	to
the	the	the
deal	deal	deal
alongside	alongsid	alongside
our	our	our
European	european	European
partners	partner	partner
,	,	,
saying	say	saying
it	it	it
was	was	wa
vitally	vital	vitally
important	import	important
for	for	for
regional	region	regional
security	secur	security
,	,	,
said	said	said
a	a	a
statement	statement	statement
from	from	from
May	may	May
s	s	s
office	offic	office
following	follow	following
the	the	the
call	call	call
on	on	on
Tuesday	tuesday	Tuesday
evening	even	evening
.	.	.
The	the	The
prime	prime	prime
minister	minist	minister
stressed	stress	stressed
that	that	that
it	it	it
was	was	wa
important	import	important
that	that	that
the	the	the
deal	deal	deal
was	was	wa
carefully	care	carefully
monitored	monitor	monitored
and	and	and
properly	proper	properly
enforced	enforc	enforced
.	.	.
In	in	In
contrast	contrast	contrast
,	,	,
a	a	a
White	white	White
House	hous	House
statement	statement	statement
on	on	on
the	the	the
phone	phone	phone
call	call	call
said	said	said
Trump	trump	Trump
underscored	underscor	underscored
the	the	the
need	need	need
to	to	to
work	work	work
together	togeth	together
to	to	to
hold	hold	hold
the	the	the
Iranian	iranian	Iranian
regime	regim	regime
accountable	account	accountable
for	for	for
its	it	it
malign	malign	malign
and	and	and
destabilizing	destabil	destabilizing
activities	activ	activity
,	,	,
especially	especi	especially
its	it	it
sponsorship	sponsorship	sponsorship
of	of	of
terrorism	terror	terrorism
and	and	and
its	it	it
development	develop	development
of	of	of
threatening	threaten	threatening
missiles	missil	missile
.	.	.
In	in	In
a	a	a
separate	separ	separate
statement	statement	statement
,	,	,
Britain	britain	Britain
s	s	s
Foreign	foreign	Foreign
Office	offic	Office
said	said	said
Iran	iran	Iran
had	had	had
upheld	upheld	upheld
its	it	it
nuclear	nuclear	nuclear
commitments	commit	commitment
,	,	,
adding	ad	adding
to	to	to
international	intern	international
pressure	pressur	pressure
on	on	on
Trump	trump	Trump
not	not	not
to	to	to
jeopardize	jeopard	jeopardize
security	secur	security
in	in	in
the	the	the
region	region	region
.	.	.
The	the	The
nuclear	nuclear	nuclear
deal	deal	deal
was	was	wa
a	a	a
crucial	crucial	crucial
agreement	agreement	agreement
that	that	that
neutralized	neutral	neutralized
Iran	iran	Iran
s	s	s
nuclear	nuclear	nuclear
threat	threat	threat
,	,	,
foreign	foreign	foreign
minister	minist	minister
Boris	bori	Boris
Johnson	johnson	Johnson
said	said	said
.	.	.
It	it	It
was	was	wa
the	the	the
culmination	culmin	culmination
of	of	of
13	13	13
years	year	year
of	of	of
painstaking	painstak	painstaking
diplomacy	diplomaci	diplomacy
and	and	and
has	has	ha
increased	increas	increased
security	secur	security
,	,	,
both	both	both
in	in	in
the	the	the
region	region	region
and	and	and
in	in	in
the	the	the
UK	uk	UK
.	.	.
It	it	It
is	is	is
these	these	these
security	secur	security
implications	implic	implication
that	that	that
we	we	we
continue	continu	continue
to	to	to
encourage	encourag	encourage
the	the	the
US	us	US
to	to	to
consider	consid	consider
.	.	.
Johnson	johnson	Johnson
spoke	spoke	spoke
by	by	by
telephone	telephon	telephone
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
and	and	and
Iranian	iranian	Iranian
Foreign	foreign	Foreign
Minister	minist	Minister
Javad	javad	Javad
Zarif	zarif	Zarif
on	on	on
Tuesday	tuesday	Tuesday
and	and	and
will	will	will
on	on	on
Wednesday	wednesday	Wednesday
meet	meet	meet
the	the	the
head	head	head
of	of	of
Iran	iran	Iran
s	s	s
nuclear	nuclear	nuclear
agency	agenc	agency
in	in	in
London	london	London
to	to	to
press	press	press
for	for	for
continued	continu	continued
compliance	complianc	compliance
with	with	with
the	the	the
deal	deal	deal
.	.	.
May	may	May
and	and	and
Trump	trump	Trump
also	also	also
discussed	discuss	discussed
the	the	the
need	need	need
for	for	for
Britain	britain	Britain
,	,	,
the	the	the
United	unit	United
States	state	States
and	and	and
others	other	others
to	to	to
work	work	work
together	togeth	together
to	to	to
counter	counter	counter
destabilizing	destabil	destabilizing
Iranian	iranian	Iranian
activity	activ	activity
in	in	in
the	the	the
region	region	region
,	,	,
May	may	May
s	s	s
office	offic	office
said	said	said
.	.	.
Britain	britain	Britain
and	and	and
the	the	the
United	unit	United
States	state	States
are	are	are
two	two	two
of	of	of
eight	eight	eight
signatories	signatori	signatory
to	to	to
the	the	the
deal	deal	deal
,	,	,
along	along	along
with	with	with
Iran	iran	Iran
,	,	,
China	china	China
,	,	,
France	franc	France
,	,	,
Russia	russia	Russia
,	,	,
Germany	germani	Germany
and	and	and
the	the	the
European	european	European
Union	union	Union
.	.	.
China	china	China
,	,	,
Russia	russia	Russia
and	and	and
the	the	the
European	european	European
states	state	state
have	have	have
already	alreadi	already
expressed	express	expressed
their	their	their
continued	continu	continued
support	support	support
for	for	for
the	the	the
deal	deal	deal
,	,	,
while	while	while
Iran	iran	Iran
has	has	ha
said	said	said
Trump	trump	Trump
would	would	would
not	not	not
be	be	be
able	abl	able
to	to	to
undermine	undermin	undermine
the	the	the
pact	pact	pact
.	.	.
If	if	If
Trump	trump	Trump
declines	declin	decline
to	to	to
certify	certifi	certify
Iran	iran	Iran
s	s	s
compliance	complianc	compliance
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
congressional	congression	congressional
leaders	leader	leader
would	would	would
have	have	have
60	60	60
days	day	day
to	to	to
decide	decid	decide
whether	whether	whether
to	to	to
reimpose	reimpos	reimpose
sanctions	sanction	sanction
on	on	on
Tehran	tehran	Tehran
suspended	suspend	suspended
under	under	under
the	the	the
agreement	agreement	agreement
.	.	.
Earlier	earlier	Earlier
,	,	,
the	the	the
White	white	White
House	hous	House
said	said	said
Trump	trump	Trump
would	would	would
make	make	make
an	an	an
announcement	announc	announcement
later	later	later
this	this	this
week	week	week
on	on	on
an	an	an
overall	overal	overall
Iran	iran	Iran
strategy	strategi	strategy
,	,	,
including	includ	including
whether	whether	whether
to	to	to
decertify	decertifi	decertify
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
.	.	.
May	may	May
s	s	s
office	offic	office
said	said	said
she	she	she
agreed	agre	agreed
with	with	with
Trump	trump	Trump
that	that	that
their	their	their
teams	team	team
should	should	should
remain	remain	remain
in	in	in
contact	contact	contact
ahead	ahead	ahead
of	of	of
the	the	the
decision	decis	decision
on	on	on
recertification	recertif	recertification
.	.	.
