Update	updat	Update
Slate	slate	Slate
has	has	ha
pointed	point	pointed
out	out	out
that	that	that
the	the	the
Pentagon	pentagon	Pentagon
has	has	ha
budgeted	budget	budgeted
4	4	4
billion	billion	billion
in	in	in
total	total	total
spending	spend	spending
through	through	through
2021	2021	2021
for	for	for
two	two	two
new	new	new
Air	air	Air
Force	forc	Force
ones	one	one
from	from	from
the	the	the
company	compani	company
.	.	.
If	if	If
one	one	one
plane	plane	plane
is	is	is
four	four	four
and	and	and
earmarked	earmark	earmarked
R	r	R
D	d	D
is	is	is
the	the	the
black	black	black
-and-white	-and-whit	-and-white
cost	cost	cost
of	of	of
the	the	the
project	project	project
,	,	,
he	he	he
s	s	s
right	right	right
.	.	.
It	it	It
isn	isn	isn
t	t	t
,	,	,
and	and	and
he	he	he
isn	isn	isn
t	t	t
.	.	.
The	the	The
Pentagon	pentagon	Pentagon
s	s	s
earmarked	earmark	earmarked
funds	fund	fund
are	are	are
not	not	not
the	the	the
projected	project	projected
budget	budget	budget
by	by	by
Boeing	boe	Boeing
.	.	.
Donald	donald	Donald
Trump	trump	Trump
made	made	made
news	news	news
this	this	this
morning	morn	morning
for	for	for
a	a	a
Tweet	tweet	Tweet
stating	state	stating
Boeing	boe	Boeing
is	is	is
building	build	building
a	a	a
brand	brand	brand
new	new	new
747	747	747
Air	air	Air
Force	forc	Force
One	one	One
for	for	for
future	futur	future
presidents	presid	president
,	,	,
but	but	but
costs	cost	cost
are	are	are
out	out	out
of	of	of
control	control	control
,	,	,
more	more	more
than	than	than
4	4	4
billion	billion	billion
.	.	.
Cancel	cancel	Cancel
order	order	order
!	!	!
Boeing	boe	Boeing
is	is	is
building	build	building
a	a	a
brand	brand	brand
new	new	new
747	747	747
Air	air	Air
Force	forc	Force
One	one	One
for	for	for
future	futur	future
presidents	presid	president
,	,	,
but	but	but
costs	cost	cost
are	are	are
out	out	out
of	of	of
control	control	control
,	,	,
more	more	more
than	than	than
4	4	4
billion	billion	billion
.	.	.
Cancel	cancel	Cancel
order	order	order
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
December	decemb	December
6	6	6
,	,	,
2016I	2016i	2016I
don	don	don
t	t	t
know	know	know
where	where	where
he	he	he
got	got	got
that	that	that
idea	idea	idea
.	.	.
Like	like	Like
many	mani	many
of	of	of
Trump	trump	Trump
s	s	s
ideas	idea	idea
,	,	,
it	it	it
was	was	wa
likely	like	likely
pulled	pull	pulled
from	from	from
the	the	the
ether	ether	ether
,	,	,
or	or	or
maybe	mayb	maybe
from	from	from
the	the	the
ass	ass	as
of	of	of
a	a	a
white	white	white
nationalist	nationalist	nationalist
on	on	on
Twitter	twitter	Twitter
.	.	.
Boeing	boe	Boeing
was	was	wa
quick	quick	quick
to	to	to
set	set	set
him	him	him
straight	straight	straight
,	,	,
however	howev	however
considering	consid	considering
the	the	the
project	project	project
is	is	is
more	more	more
than	than	than
an	an	an
order	order	order
of	of	of
magnitude	magnitud	magnitude
less	less	le
than	than	than
Trump	trump	Trump
thinks	think	think
it	it	it
is	is	is
.	.	.
Here	here	Here
s	s	s
Boeing	boe	Boeing
s	s	s
statement	statement	statement
on	on	on
the	the	the
matter	matter	matter
We	we	We
are	are	are
currently	current	currently
under	under	under
contract	contract	contract
for	for	for
170	170	170
million	million	million
to	to	to
help	help	help
determine	determin	determine
the	the	the
capabilities	capabl	capability
of	of	of
these	these	these
complex	complex	complex
military	militari	military
aircraft	aircraft	aircraft
that	that	that
serve	serv	serve
the	the	the
unique	uniqu	unique
requirements	requir	requirement
of	of	of
the	the	the
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
We	we	We
look	look	look
forward	forward	forward
to	to	to
working	work	working
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Air	air	Air
Force	forc	Force
on	on	on
subsequent	subsequ	subsequent
phases	phase	phase
of	of	of
the	the	the
program	program	program
allowing	allow	allowing
us	us	u
to	to	to
deliver	deliv	deliver
the	the	the
best	best	best
planes	plane	plane
for	for	for
the	the	the
President	presid	President
at	at	at
the	the	the
best	best	best
value	valu	value
for	for	for
the	the	the
American	american	American
taxpayer	taxpay	taxpayer
.	.	.
According	accord	According
to	to	to
Rueters	rueter	Rueters
,	,	,
in	in	in
January	januari	January
,	,	,
when	when	when
the	the	the
contract	contract	contract
was	was	wa
awarded	award	awarded
,	,	,
Details	detail	Details
about	about	about
the	the	the
total	total	total
value	valu	value
of	of	of
the	the	the
new	new	new
contract	contract	contract
have	have	have
not	not	not
been	been	been
released	releas	released
,	,	,
but	but	but
the	the	the
Air	air	Air
Force	forc	Force
has	has	ha
previously	previous	previously
said	said	said
that	that	that
it	it	it
had	had	had
earmarked	earmark	earmarked
1	1	1
.	.	.
65	65	65
billion	billion	billion
for	for	for
two	two	two
replacement	replac	replacement
jets	jet	jet
.	.	.
Costs	cost	Costs
and	and	and
the	the	the
number	number	number
of	of	of
jets	jet	jet
can	can	can
change	chang	change
,	,	,
but	but	but
it	it	it
s	s	s
still	still	still
not	not	not
clear	clear	clear
at	at	at
all	all	all
what	what	what
Trump	trump	Trump
is	is	is
talking	talk	talking
about	about	about
.	.	.
Even	even	Even
various	various	various
right	right	right
wing	wing	wing
publications	public	publication
which	which	which
have	have	have
blown	blown	blown
up	up	up
the	the	the
cost	cost	cost
over	over	over
the	the	the
last	last	last
year	year	year
have	have	have
not	not	not
reported	report	reported
a	a	a
figure	figur	figure
over	over	over
three	three	three
billion	billion	billion
,	,	,
and	and	and
even	even	even
that	that	that
was	was	wa
not	not	not
sourced	sourc	sourced
to	to	to
any	ani	any
budget	budget	budget
sheet	sheet	sheet
.	.	.
And	and	And
,	,	,
no	no	no
matter	matter	matter
the	the	the
cost	cost	cost
,	,	,
it	it	it
s	s	s
very	veri	very
clear	clear	clear
that	that	that
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
no	no	no
idea	idea	idea
what	what	what
is	is	is
being	be	being
paid	paid	paid
for	for	for
.	.	.
There	there	There
will	will	will
be	be	be
