Sen	sen	Sen
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
is	is	is
on	on	on
a	a	a
roll	roll	roll
with	with	with
her	her	her
brutal	brutal	brutal
eviscerations	eviscer	evisceration
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Following	follow	Following
her	her	her
epic	epic	epic
Twitter	twitter	Twitter
takedown	takedown	takedown
of	of	of
the	the	the
racist	racist	racist
billionaire	billionair	billionaire
earlier	earlier	earlier
this	this	this
week	week	week
,	,	,
Warren	warren	Warren
spoke	spoke	spoke
to	to	to
the	the	the
Associated	associ	Associated
Press	press	Press
.	.	.
It	it	It
was	was	wa
during	dure	during
this	this	this
interview	interview	interview
that	that	that
Warren	warren	Warren
once	onc	once
again	again	again
took	took	took
the	the	the
opportunity	opportun	opportunity
to	to	to
give	give	give
the	the	the
GOP	gop	GOP
presidential	presidenti	presidential
front	front	front
-runner	-runner	-runner
another	anoth	another
tongue	tongu	tongue
lashing	lash	lashing
.	.	.
Warren	warren	Warren
also	also	also
took	took	took
a	a	a
break	break	break
from	from	from
her	her	her
avowed	avow	avowed
silence	silenc	silence
on	on	on
the	the	the
Democratic	democrat	Democratic
primary	primari	primary
race	race	race
to	to	to
praise	prais	praise
Bernie	berni	Bernie
Sanders	sander	Sanders
.	.	.
Warren	warren	Warren
says	say	say
that	that	that
Trump	trump	Trump
s	s	s
claims	claim	claim
about	about	about
his	his	his
business	busi	business
successes	success	success
are	are	are
major	major	major
exaggerations	exagger	exaggeration
.	.	.
In	in	In
reality	realiti	reality
,	,	,
Trump	trump	Trump
s	s	s
wealth	wealth	wealth
comes	come	come
from	from	from
his	his	his
father	father	father
.	.	.
Warren	warren	Warren
says	say	say
that	that	that
the	the	the
only	onli	only
way	way	way
that	that	that
Trump	trump	Trump
has	has	ha
been	been	been
able	abl	able
to	to	to
retain	retain	retain
his	his	his
inheritance	inherit	inheritance
is	is	is
by	by	by
cheating	cheat	cheating
people	peopl	people
and	and	and
defrauding	defraud	defrauding
people	peopl	people
.	.	.
Warren	warren	Warren
goes	goe	go
on	on	on
to	to	to
say	say	say
Donald	donald	Donald
Trump	trump	Trump
claims	claim	claim
that	that	that
the	the	the
reason	reason	reason
he	he	he
