MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
A	a	A
Russian	russian	Russian
court	court	court
ordered	order	ordered
the	the	the
detention	detent	detention
of	of	of
a	a	a
man	man	man
on	on	on
Saturday	saturday	Saturday
on	on	on
suspicion	suspicion	suspicion
of	of	of
trying	tri	trying
to	to	to
intimidate	intimid	intimidate
cinemas	cinema	cinema
into	into	into
not	not	not
showing	show	showing
a	a	a
new	new	new
film	film	film
about	about	about
the	the	the
country	countri	country
s	s	s
last	last	last
tsar	tsar	tsar
,	,	,
Russia	russia	Russia
s	s	s
news	news	news
agencies	agenc	agency
said	said	said
.	.	.
Police	polic	Police
said	said	said
earlier	earlier	earlier
they	they	they
had	had	had
opened	open	opened
a	a	a
criminal	crimin	criminal
case	case	case
following	follow	following
a	a	a
series	seri	series
of	of	of
arson	arson	arson
attacks	attack	attack
in	in	in
protest	protest	protest
over	over	over
the	the	the
film	film	film
Matilda	matilda	Matilda
by	by	by
award	award	award
-winning	-win	-winning
director	director	director
Alexei	alexei	Alexei
Uchitel	uchitel	Uchitel
.	.	.
The	the	The
film	film	film
tells	tell	tell
the	the	the
story	stori	story
of	of	of
a	a	a
love	love	love
affair	affair	affair
between	between	between
the	the	the
tsar	tsar	tsar
,	,	,
Nicholas	nichola	Nicholas
II	ii	II
,	,	,
and	and	and
half	half	half
-Polish	-polish	-Polish
ballerina	ballerina	ballerina
Matilda	matilda	Matilda
Kshesinskaya	kshesinskaya	Kshesinskaya
,	,	,
who	who	who
described	describ	described
the	the	the
relationship	relationship	relationship
in	in	in
her	her	her
memoirs	memoir	memoir
.	.	.
Interfax	interfax	Interfax
cited	cite	cited
the	the	the
court	court	court
s	s	s
spokeswoman	spokeswoman	spokeswoman
as	as	a
saying	say	saying
the	the	the
man	man	man
detained	detain	detained
was	was	wa
Alexander	alexand	Alexander
Kalinin	kalinin	Kalinin
,	,	,
leader	leader	leader
of	of	of
a	a	a
radical	radic	radical
religious	religi	religious
group	group	group
called	call	called
Christian	christian	Christian
State	state	State
-	-	-
Holy	holi	Holy
Rus	rus	Rus
,	,	,
on	on	on
suspicion	suspicion	suspicion
of	of	of
pressuring	pressur	pressuring
the	the	the
cinemas	cinema	cinema
not	not	not
to	to	to
screen	screen	screen
the	the	the
movie	movi	movie
.	.	.
The	the	The
court	court	court
ordered	order	ordered
that	that	that
he	he	he
be	be	be
held	held	held
in	in	in
custody	custodi	custody
until	until	until
Nov	nov	Nov
.	.	.
22	22	22
,	,	,
without	without	without
charge	charg	charge
.	.	.
Christian	christian	Christian
State	state	State
vowed	vow	vowed
to	to	to
set	set	set
cinemas	cinema	cinema
on	on	on
fire	fire	fire
if	if	if
they	they	they
screened	screen	screened
Matilda	matilda	Matilda
and	and	and
a	a	a
series	seri	series
of	of	of
arson	arson	arson
attacks	attack	attack
connected	connect	connected
with	with	with
the	the	the
film	film	film
have	have	have
been	been	been
reported	report	reported
across	across	across
the	the	the
country	countri	country
.	.	.
Matilda	matilda	Matilda
is	is	is
to	to	to
be	be	be
released	releas	released
internationally	intern	internationally
in	in	in
late	late	late
October	octob	October
despite	despit	despite
protests	protest	protest
from	from	from
religious	religi	religious
conservatives	conserv	conservative
who	who	who
are	are	are
offended	offend	offended
by	by	by
what	what	what
they	they	they
regard	regard	regard
as	as	a
a	a	a
disrespectful	disrespect	disrespectful
depiction	depict	depiction
of	of	of
a	a	a
man	man	man
the	the	the
Russian	russian	Russian
Orthodox	orthodox	Orthodox
Church	church	Church
regards	regard	regard
as	as	a
a	a	a
martyr	martyr	martyr
.	.	.
Some	some	Some
cinemas	cinema	cinema
have	have	have
said	said	said
they	they	they
will	will	will
not	not	not
be	be	be
showing	show	showing
the	the	the
film	film	film
because	becaus	because
of	of	of
threats	threat	threat
that	that	that
they	they	they
had	had	had
received	receiv	received
.	.	.
A	a	A
criminal	crimin	criminal
case	case	case
has	has	ha
been	been	been
opened	open	opened
in	in	in
connection	connect	connection
with	with	with
the	the	the
fact	fact	fact
the	the	the
cinemas	cinema	cinema
were	were	were
forced	forc	forced
not	not	not
to	to	to
show	show	show
the	the	the
film	film	film
under	under	under
the	the	the
threat	threat	threat
of	of	of
violence	violenc	violence
against	against	against
the	the	the
spectators	spectat	spectator
and	and	and
causing	caus	causing
harm	harm	harm
and	and	and
damage	damag	damage
to	to	to
the	the	the
cinemas	cinema	cinema
owners	owner	owner
,	,	,
the	the	the
police	polic	police
said	said	said
in	in	in
statement	statement	statement
,	,	,
not	not	not
naming	name	naming
the	the	the
film	film	film
or	or	or
those	those	those
detained	detain	detained
or	or	or
charged	charg	charged
.	.	.
The	the	The
police	polic	police
opened	open	opened
the	the	the
case	case	case
in	in	in
connection	connect	connection
with	with	with
the	the	the
arson	arson	arson
attacks	attack	attack
related	relat	related
to	to	to
Matilda	matilda	Matilda
,	,	,
TASS	tass	TASS
news	news	news
agency	agenc	agency
reported	report	reported
,	,	,
citing	cite	citing
a	a	a
police	polic	police
source	sourc	source
.	.	.
On	on	On
Thursday	thursday	Thursday
police	polic	police
said	said	said
they	they	they
had	had	had
detained	detain	detained
four	four	four
men	men	men
,	,	,
including	includ	including
Kalinin	kalinin	Kalinin
,	,	,
in	in	in
connection	connect	connection
with	with	with
an	an	an
arson	arson	arson
attack	attack	attack
related	relat	related
to	to	to
the	the	the
film	film	film
.	.	.
Three	three	Three
of	of	of
the	the	the
men	men	men
had	had	had
been	been	been
charged	charg	charged
with	with	with
arson	arson	arson
,	,	,
including	includ	including
their	their	their
alleged	alleg	alleged
role	role	role
in	in	in
setting	set	setting
fire	fire	fire
to	to	to
two	two	two
cars	car	car
parked	park	parked
outside	outsid	outside
the	the	the
office	offic	office
of	of	of
Uchitel	uchitel	Uchitel
s	s	s
lawyer	lawyer	lawyer
.	.	.
Other	other	Other
violent	violent	violent
acts	act	act
of	of	of
protest	protest	protest
against	against	against
the	the	the
film	film	film
have	have	have
included	includ	included
an	an	an
arson	arson	arson
attack	attack	attack
on	on	on
Uchitel	uchitel	Uchitel
s	s	s
studio	studio	studio
and	and	and
a	a	a
man	man	man
driving	drive	driving
a	a	a
car	car	car
into	into	into
the	the	the
facade	facad	facade
of	of	of
a	a	a
cinema	cinema	cinema
.	.	.
