America	america	America
s	s	s
so	so	so
-called	-call	-called
president	presid	president
held	held	held
a	a	a
rally	ralli	rally
in	in	in
Melbourne	melbourn	Melbourne
,	,	,
Florida	florida	Florida
,	,	,
after	after	after
just	just	just
a	a	a
few	few	few
weeks	week	week
into	into	into
the	the	the
job	job	job
.	.	.
Donald	donald	Donald
Trump	trump	Trump
spoke	spoke	spoke
of	of	of
the	the	the
mess	mess	mess
he	he	he
has	has	ha
inherited	inherit	inherited
LOL	lol	LOL
and	and	and
of	of	of
course	cours	course
,	,	,
he	he	he
lashed	lash	lashed
out	out	out
at	at	at
the	the	the
media	media	medium
.	.	.
This	this	This
was	was	wa
Donald	donald	Donald
s	s	s
campaign	campaign	campaign
rally	ralli	rally
for	for	for
2020	2020	2020
and	and	and
he	he	he
s	s	s
already	alreadi	already
been	been	been
on	on	on
vacation	vacat	vacation
three	three	three
times	time	time
since	sinc	since
taking	take	taking
the	the	the
oath	oath	oath
of	of	of
office	offic	office
.	.	.
His	his	His
guest	guest	guest
speakers	speaker	speaker
were	were	were
laughable	laughabl	laughable
,	,	,
with	with	with
one	one	one
saying	say	saying
he	he	he
s	s	s
kept	kept	kept
all	all	all
of	of	of
his	his	his
campaign	campaign	campaign
promises	promis	promise
,	,	,
including	includ	including
draining	drain	draining
the	the	the
swamp	swamp	swamp
.	.	.
Trump	trump	Trump
promised	promis	promised
to	to	to
achieve	achiev	achieve
his	his	his
agenda	agenda	agenda
despite	despit	despite
the	the	the
lies	lie	lie
,	,	,
misrepresentations	misrepresent	misrepresentation
and	and	and
false	fals	false
stories	stori	story
thrown	thrown	thrown
at	at	at
him	him	him
by	by	by
the	the	the
media	media	medium
.	.	.
He	he	He
said	said	said
that	that	that
without	without	without
offering	offer	offering
proof	proof	proof
and	and	and
the	the	the
crowd	crowd	crowd
ate	ate	ate
it	it	it
up	up	up
.	.	.
I	i	I
want	want	want
to	to	to
speak	speak	speak
to	to	to
you	you	you
without	without	without
the	the	the
filter	filter	filter
of	of	of
the	the	the
fake	fake	fake
news	news	news
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
The	the	The
crowd	crowd	crowd
,	,	,
of	of	of
course	cours	course
,	,	,
erupted	erupt	erupted
in	in	in
cheers	cheer	cheer
.	.	.
The	the	The
dishonest	dishonest	dishonest
media	media	medium
,	,	,
which	which	which
has	has	ha
published	publish	published
one	one	one
false	fals	false
story	stori	story
after	after	after
another	anoth	another
with	with	with
no	no	no
sources	sourc	source
,	,	,
even	even	even
though	though	though
they	they	they
pretend	pretend	pretend
they	they	they
have	have	have
them	them	them
they	they	they
make	make	make
them	them	them
up	up	up
in	in	in
many	mani	many
cases	case	case
,	,	,
the	the	the
scandal	scandal	scandal
-plagued	-plagu	-plagued
amateur	amateur	amateur
president	presid	president
said	said	said
.	.	.
They	they	They
just	just	just
don	don	don
t	t	t
want	want	want
to	to	to
report	report	report
the	the	the
truth	truth	truth
.	.	.
Many	mani	Many
of	of	of
our	our	our
greatest	greatest	greatest
presidents	presid	president
fought	fought	fought
with	with	with
the	the	the
media	media	medium
and	and	and
called	call	called
them	them	them
out	out	out
,	,	,
Trump	trump	Trump
said	said	said
while	while	while
mentioning	mention	mentioning
Thomas	thoma	Thomas
Jefferson	jefferson	Jefferson
,	,	,
Andrew	andrew	Andrew
Jackson	jackson	Jackson
and	and	and
Abraham	abraham	Abraham
Lincoln	lincoln	Lincoln
,	,	,
according	accord	according
to	to	to
The	the	The
Hill	hill	Hill
.	.	.
When	when	When
the	the	the
media	media	medium
lies	lie	lie
to	to	to
people	peopl	people
,	,	,
I	i	I
will	will	will
never	never	never
,	,	,
ever	ever	ever
,	,	,
let	let	let
them	them	them
get	get	get
away	away	away
with	with	with
it	it	it
.	.	.
I	i	I
will	will	will
do	do	do
whatever	whatev	whatever
I	i	I
can	can	can
that	that	that
they	they	they
don	don	don
t	t	t
get	get	get
away	away	away
with	with	with
it	it	it
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
They	they	They
have	have	have
their	their	their
own	own	own
agenda	agenda	agenda
and	and	and
their	their	their
agenda	agenda	agenda
is	is	is
not	not	not
your	your	your
agenda	agenda	agenda
.	.	.
But	but	But
despite	despit	despite
all	all	all
their	their	their
lies	lie	lie
,	,	,
misrepresentations	misrepresent	misrepresentation
and	and	and
false	fals	false
stories	stori	story
they	they	they
could	could	could
not	not	not
defeat	defeat	defeat
us	us	u
in	in	in
the	the	the
primaries	primari	primary
or	or	or
general	general	general
election	elect	election
and	and	and
we	we	we
ll	ll	ll
continue	continu	continue
to	to	to
expose	expos	expose
them	them	them
as	as	a
what	what	what
they	they	they
are	are	are
and	and	and
most	most	most
importantly	import	importantly
we	we	we
ll	ll	ll
continue	continu	continue
to	to	to
win	win	win
,	,	,
win	win	win
,	,	,
win	win	win
,	,	,
Trump	trump	Trump
continued	continu	continued
.	.	.
Do	do	Do
you	you	you
think	think	think
that	that	that
one	one	one
media	media	medium
group	group	group
back	back	back
there	there	there
,	,	,
that	that	that
one	one	one
network	network	network
,	,	,
will	will	will
show	show	show
this	this	this
crowd	crowd	crowd
?	?	?
Not	not	Not
one	one	one
,	,	,
not	not	not
one	one	one
,	,	,
Trump	trump	Trump
declared	declar	declared
.	.	.
Meanwhile	meanwhil	Meanwhile
,	,	,
at	at	at
that	that	that
very	veri	very
moment	moment	moment
,	,	,
CNN	cnn	CNN
was	was	wa
panning	pan	panning
the	the	the
crowd	crowd	crowd
.	.	.
I	i	I
ve	ve	ve
ordered	order	ordered
the	the	the
construction	construct	construction
of	of	of
a	a	a
Great	great	Great
Border	border	Border
Wall	wall	Wall
that	that	that
will	will	will
start	start	start
very	veri	very
shortly	short	shortly
,	,	,
Trump	trump	Trump
said	said	said
at	at	at
the	the	the
adulation	adul	adulation
rally	ralli	rally
.	.	.
The	the	The
problem	problem	problem
is	is	is
,	,	,
though	though	though
,	,	,
that	that	that
Trump	trump	Trump
did	did	did
not	not	not
tell	tell	tell
his	his	his
supporters	support	supporter
that	that	that
we	we	we
,	,	,
the	the	the
