Token	Stem	Lemma
MOBILE	mobil	MOBILE
Ala	ala	Ala
Reuters	reuter	Reuters
U	u	U
S	s	S
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
wrapped	wrap	wrapped
up	up	up
his	his	his
post	post	post
-election	-elect	-election
thank	thank	thank
you	you	you
tour	tour	tour
on	on	on
Saturday	saturday	Saturday
with	with	with
celebratory	celebratori	celebratory
geysers	geyser	geyser
from	from	from
water	water	water
cannons	cannon	cannon
greetings	greet	greeting
from	from	from
hoop	hoop	hoop
-skirted	-skirt	-skirted
Southern	southern	Southern
belles	bell	belle
and	and	and
some	some	some
gloating	gloat	gloating
over	over	over
the	the	the
TV	tv	TV
newscasters	newscast	newscaster
who	who	who
had	had	had
expected	expect	expected
him	him	him
to	to	to
lose	lose	lose
In	in	In
the	the	the
last	last	last
in	in	in
a	a	a
series	seri	series
of	of	of
rallies	ralli	rally
Trump	trump	Trump
has	has	ha
staged	stage	staged
during	dure	during
the	the	the
past	past	past
three	three	three
weeks	week	week
mainly	main	mainly
in	in	in
battleground	battleground	battleground
states	state	state
that	that	that
gave	gave	gave
him	him	him
the	the	the
margin	margin	margin
of	of	of
victory	victori	victory
in	in	in
the	the	the
Nov	nov	Nov
8	8	8
election	elect	election
Trump	trump	Trump
came	came	came
back	back	back
to	to	to
where	where	where
it	it	it
all	all	all
began	began	began
for	for	for
his	his	his
improbable	improb	improbable
presidential	presidenti	presidential
campaign	campaign	campaign
It	it	It
was	was	wa
in	in	in
Mobile	mobil	Mobile
Alabama	alabama	Alabama
last	last	last
year	year	year
where	where	where
Trump	trump	Trump
a	a	a
real	real	real
estate	estat	estate
magnate	magnat	magnate
and	and	and
reality	realiti	reality
television	televis	television
star	star	star
with	with	with
no	no	no
previous	previous	previous
political	polit	political
experience	experi	experience
drew	drew	drew
a	a	a
huge	huge	huge
crowd	crowd	crowd
that	that	that
gave	gave	gave
notice	notic	notice
to	to	to
his	his	his
rivals	rival	rival
that	that	that
he	he	he
was	was	wa
a	a	a
threat	threat	threat
for	for	for
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
nomination	nomin	nomination
When	when	When
his	his	his
plane	plane	plane
landed	land	landed
at	at	at
the	the	the
Mobile	mobil	Mobile
airport	airport	airport
on	on	on
Saturday	saturday	Saturday
it	it	it
taxied	taxi	taxied
beneath	beneath	beneath
blasts	blast	blast
from	from	from
two	two	two
water	water	water
cannon	cannon	cannon
trucks	truck	truck
Stepping	step	Stepping
off	off	off
the	the	the
plane	plane	plane
a	a	a
half	half	half
dozen	dozen	dozen
young	young	young
women	women	woman
wearing	wear	wearing
Old	old	Old
South	south	South
hoop	hoop	hoop
skirts	skirt	skirt
in	in	in
a	a	a
panoply	panopli	panoply
of	of	of
pastel	pastel	pastel
colors	color	color
were	were	were
on	on	on
hand	hand	hand
to	to	to
greet	greet	greet
him	him	him
Speaking	speak	Speaking
at	at	at
Ladd	ladd	Ladd
-Peebles	-peebl	-Peebles
Stadium	stadium	Stadium
where	where	where
there	there	there
was	was	wa
a	a	a
steady	steadi	steady
drizzle	drizzl	drizzle
that	that	that
he	he	he
said	said	said
would	would	would
ruin	ruin	ruin
his	his	his
suit	suit	suit
Trump	trump	Trump
relived	reliv	relived
his	his	his
tense	tens	tense
election	elect	election
night	night	night
when	when	when
he	he	he
went	went	went
from	from	from
big	big	big
underdog	underdog	underdog
to	to	to
eking	eke	eking
out	out	out
a	a	a
victory	victori	victory
over	over	over
heavily	heavili	heavily
favored	favor	favored
Democrat	democrat	Democrat
Hillary	hillari	Hillary
Clinton	clinton	Clinton
Faced	face	Faced
with	with	with
predictions	predict	prediction
that	that	that
he	he	he
would	would	would
lose	lose	lose
Trump	trump	Trump
said	said	said
he	he	he
told	told	told
his	his	his
wife	wife	wife
Melania	melania	Melania
that	that	that
he	he	he
was	was	wa
at	at	at
peace	peac	peace
with	with	with
his	his	his
campaign	campaign	campaign
because	becaus	because
he	he	he
had	had	had
worked	work	worked
so	so	so
hard	hard	hard
I	i	I
went	went	went
to	to	to
my	my	my
wife	wife	wife
and	and	and
I	i	I
said	said	said
You	you	You
know	know	know
what	what	what
I	i	I
don	don	don
t	t	t
feel	feel	feel
badly	bad	badly
about	about	about
this	this	this
Trump	trump	Trump
said	said	said
Trump	trump	Trump
said	said	said
the	the	the
faces	face	face
of	of	of
the	the	the
newscasters	newscast	newscaster
seemed	seem	seemed
to	to	to
sink	sink	sink
as	as	a
his	his	his
fortunes	fortun	fortune
improved	improv	improved
part	part	part
of	of	of
his	his	his
running	run	running
diatribe	diatrib	diatribe
against	against	against
the	the	the
U	u	U
S	s	S
mainstream	mainstream	mainstream
news	news	news
media	media	medium
that	that	that
he	he	he
claims	claim	claim
is	is	is
stacked	stack	stacked
against	against	against
him	him	him
They	they	They
got	got	got
paid	paid	paid
a	a	a
lot	lot	lot
of	of	of
money	money	money
Trump	trump	Trump
said	said	said
of	of	of
television	televis	television
commentators	comment	commentator
They	they	They
don	don	don
t	t	t
know	know	know
what	what	what
the	the	the
hell	hell	hell
they	they	they
re	re	re
talking	talk	talking
about	about	about
folks	folk	folk
Trump	trump	Trump
who	who	who
will	will	will
be	be	be
sworn	sworn	sworn
into	into	into
office	offic	office
on	on	on
Jan	jan	Jan
20	20	20
took	took	took
swings	swing	swing
at	at	at
a	a	a
few	few	few
other	other	other
favorite	favorit	favorite
targets	target	target
from	from	from
his	his	his
campaign	campaign	campaign
corporations	corpor	corporation
that	that	that
outsource	outsourc	outsource
jobs	job	job
Islamic	islam	Islamic
State	state	State
militants	milit	militant
drug	drug	drug
dealers	dealer	dealer
illegal	illeg	illegal
immigrants	immigr	immigrant
and	and	and
the	the	the
political	polit	political
culture	cultur	culture
in	in	in
Washington	washington	Washington
But	but	But
he	he	he
pulled	pull	pulled
his	his	his
punches	punch	punch
when	when	when
it	it	it
came	came	came
to	to	to
first	first	first
lady	ladi	lady
Michelle	michell	Michelle
Obama	obama	Obama
who	who	who
in	in	in
excerpts	excerpt	excerpt
from	from	from
an	an	an
interview	interview	interview
with	with	with
Oprah	oprah	Oprah
Winfrey	winfrey	Winfrey
set	set	set
to	to	to
air	air	air
on	on	on
CBS	cbs	CBS
on	on	on
Monday	monday	Monday
said	said	said
We	we	We
feel	feel	feel
the	the	the
difference	differ	difference
now	now	now
See	see	See
now	now	now
we	we	we
re	re	re
feeling	feel	feeling
what	what	what
not	not	not
having	have	having
hope	hope	hope
feels	feel	feel
like	like	like
I	i	I
honestly	honest	honestly
believe	believ	believe
she	she	she
meant	meant	meant
that	that	that
statement	statement	statement
in	in	in
a	a	a
different	differ	different
way	way	way
than	than	than
it	it	it
came	came	came
out	out	out
Trump	trump	Trump
said	said	said
Trump	trump	Trump
lost	lost	lost
the	the	the
popular	popular	popular
vote	vote	vote
by	by	by
more	more	more
than	than	than
2	2	2
5	5	5
million	million	million
votes	vote	vote
but	but	but
still	still	still
won	won	won
306	306	306
votes	vote	vote
in	in	in
the	the	the
Electoral	elector	Electoral
College	colleg	College
plenty	plenti	plenty
more	more	more
than	than	than
the	the	the
270	270	270
required	requir	required
to	to	to
win	win	win
With	with	With
some	some	some
Democrats	democrat	Democrats
now	now	now
saying	say	saying
the	the	the
Electoral	elector	Electoral
College	colleg	College
should	should	should
be	be	be
abandoned	abandon	abandoned
and	and	and
that	that	that
the	the	the
presidential	presidenti	presidential
election	elect	election
should	should	should
be	be	be
decided	decid	decided
by	by	by
the	the	the
popular	popular	popular
vote	vote	vote
Trump	trump	Trump
said	said	said
he	he	he
s	s	s
happy	happi	happy
with	with	with
the	the	the
system	system	system
the	the	the
way	way	way
it	it	it
is	is	is
now	now	now
I	i	I
never	never	never
appreciated	appreci	appreciated
it	it	it
until	until	until
now	now	now
how	how	how
genius	genius	genius
it	it	it
was	was	wa
he	he	he
said	said	said
