Here	here	Here
is	is	is
the	the	the
list	list	list
of	of	of
Republicans	republican	Republicans
who	who	who
won	won	won
t	t	t
support	support	support
Trump	trump	Trump
.	.	.
The	the	The
candidates	candid	candidate
highlighted	highlight	highlighted
in	in	in
blue	blue	blue
are	are	are
in	in	in
close	close	close
races	race	race
in	in	in
their	their	their
states	state	state
.	.	.
Hmmm	hmmm	Hmmm
.	.	.
I	i	I
wonder	wonder	wonder
how	how	how
many	mani	many
of	of	of
these	these	these
politicians	politician	politician
wouldn	wouldn	wouldn
t	t	t
be	be	be
in	in	in
close	close	close
races	race	race
today	today	today
if	if	if
they	they	they
had	had	had
endorsed	endors	endorsed
Trump	trump	Trump
?	?	?
Kelly	kelli	Kelly
Ayotte	ayott	Ayotte
,	,	,
Senator	senat	Senator
of	of	of
New	new	New
Hampshire	hampshir	Hampshire
Robert	robert	Robert
Bentley	bentley	Bentley
,	,	,
Governor	governor	Governor
of	of	of
Alabama	alabama	Alabama
Jaime	jaim	Jaime
Herrera	herrera	Herrera
Beutler	beutler	Beutler
,	,	,
Representative	repres	Representative
of	of	of
Washington	washington	Washington
Bradley	bradley	Bradley
Byrne	byrn	Byrne
,	,	,
Representative	repres	Representative
of	of	of
Alabama	alabama	Alabama
Jason	jason	Jason
Chaffetz	chaffetz	Chaffetz
,	,	,
Representative	repres	Representative
of	of	of
Utah	utah	Utah
Mike	mike	Mike
Coffman	coffman	Coffman
,	,	,
Representative	repres	Representative
of	of	of
Colorado	colorado	Colorado
Barbara	barbara	Barbara
Comstock	comstock	Comstock
,	,	,
Representative	repres	Representative
of	of	of
Virginia	virginia	Virginia
Michael	michael	Michael
D	d	D
.	.	.
Crapo	crapo	Crapo
,	,	,
Senator	senat	Senator
of	of	of
Idaho	idaho	Idaho
Dennis	denni	Dennis
Daugaard	daugaard	Daugaard
,	,	,
Governor	governor	Governor
of	of	of
South	south	South
Dakota	dakota	Dakota
Rodney	rodney	Rodney
Davis	davi	Davis
,	,	,
Representative	repres	Representative
of	of	of
Illinois	illinoi	Illinois
Deb	deb	Deb
Fischer	fischer	Fischer
,	,	,
Senator	senat	Senator
of	of	of
Nebraska	nebraska	Nebraska
Jeff	jeff	Jeff
Flake	flake	Flake
,	,	,
Senator	senat	Senator
of	of	of
Arizona	arizona	Arizona
Jeff	jeff	Jeff
Fortenberry	fortenberri	Fortenberry
,	,	,
Representative	repres	Representative
of	of	of
Nebraska	nebraska	Nebraska
Darryl	darryl	Darryl
Glenn	glenn	Glenn
,	,	,
Running	run	Running
for	for	for
Senate	senat	Senate
from	from	from
Colorado	colorado	Colorado
Cory	cori	Cory
Gardner	gardner	Gardner
,	,	,
Senator	senat	Senator
of	of	of
Colorado	colorado	Colorado
Scott	scott	Scott
Garrett	garrett	Garrett
,	,	,
Representative	repres	Representative
of	of	of
New	new	New
Jersey	jersey	Jersey
Kay	kay	Kay
Granger	granger	Granger
,	,	,
Representative	repres	Representative
of	of	of
Texas	texa	Texas
Cresent	cresent	Cresent
Hardy	hardi	Hardy
,	,	,
Representative	repres	Representative
of	of	of
Nevada	nevada	Nevada
Bill	bill	Bill
Haslam	haslam	Haslam
,	,	,
Governor	governor	Governor
of	of	of
Tennessee	tennesse	Tennessee
Joe	joe	Joe
Heck	heck	Heck
,	,	,
Representative	repres	Representative
of	of	of
Nevada	nevada	Nevada
,	,	,
running	run	running
for	for	for
Senate	senat	Senate
Gary	gari	Gary
R	r	R
.	.	.
