NEW	new	NEW
YORK	york	YORK
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Three	three	Three
senior	senior	senior
officials	offici	official
with	with	with
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
have	have	have
resigned	resign	resigned
,	,	,
the	the	the
DNC	dnc	DNC
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
amid	amid	amid
a	a	a
shake	shake	shake
-up	-up	-up
following	follow	following
a	a	a
hack	hack	hack
of	of	of
thousands	thousand	thousand
of	of	of
emails	email	email
that	that	that
embarrassed	embarrass	embarrassed
the	the	the
party	parti	party
just	just	just
as	as	a
it	it	it
staged	stage	staged
its	it	it
national	nation	national
convention	convent	convention
last	last	last
week	week	week
.	.	.

The	the	The
resignations	resign	resignation
of	of	of
DNC	dnc	DNC
Chief	chief	Chief
Executive	execut	Executive
Officer	offic	Officer
Amy	ami	Amy
Dacey	dacey	Dacey
,	,	,
Communications	communic	Communications
Director	director	Director
Luis	lui	Luis
Miranda	miranda	Miranda
and	and	and
Chief	chief	Chief
Financial	financi	Financial
Officer	offic	Officer
Brad	brad	Brad
Marshall	marshal	Marshall
were	were	were
announced	announc	announced
by	by	by
interim	interim	interim
Chairwoman	chairwoman	Chairwoman
Donna	donna	Donna
Brazile	brazil	Brazile
.	.	.

Brazile	brazil	Brazile
,	,	,
who	who	who
took	took	took
over	over	over
the	the	the
role	role	role
after	after	after
Debbie	debbi	Debbie
Wasserman	wasserman	Wasserman
Schultz	schultz	Schultz
stepped	step	stepped
down	down	down
last	last	last
week	week	week
,	,	,
did	did	did
not	not	not
mention	mention	mention
the	the	the
hacks	hack	hack
or	or	or
give	give	give
a	a	a
reason	reason	reason
for	for	for
the	the	the
resignations	resign	resignation
in	in	in
a	a	a
statement	statement	statement
on	on	on
the	the	the
reorganization	reorgan	reorganization
,	,	,
but	but	but
cast	cast	cast
the	the	the
changes	chang	change
as	as	a
looking	look	looking
ahead	ahead	ahead
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
general	general	general
election	elect	election
on	on	on
Nov	nov	Nov
.	.	.

8	8	8
.	.	.

The	the	The
hack	hack	hack
on	on	on
the	the	the
DNC	dnc	DNC
emails	email	email
stirred	stir	stirred
discord	discord	discord
at	at	at
the	the	the
start	start	start
of	of	of
the	the	the
party	parti	party
s	s	s
convention	convent	convention
in	in	in
Philadelphia	philadelphia	Philadelphia
where	where	where
Hillary	hillari	Hillary
Clinton	clinton	Clinton
formally	formal	formally
accepted	accept	accepted
her	her	her
party	parti	party
s	s	s
presidential	presidenti	presidential
nomination	nomin	nomination
for	for	for
the	the	the
Nov	nov	Nov
.	.	.

8	8	8
election	elect	election
.	.	.

Some	some	Some
of	of	of
the	the	the
emails	email	email
,	,	,
which	which	which
were	were	were
published	publish	published
by	by	by
WikiLeaks	wikileak	WikiLeaks
,	,	,
showed	show	showed
party	parti	party
officials	offici	official
favoring	favor	favoring
Clinton	clinton	Clinton
over	over	over
her	her	her
rival	rival	rival
for	for	for
the	the	the
nomination	nomin	nomination
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
during	dure	during
the	the	the
primary	primari	primary
contests	contest	contest
.	.	.

Brazile	brazil	Brazile
announced	announc	announced
a	a	a
transition	transit	transition
team	team	team
that	that	that
she	she	she
said	said	said
would	would	would
help	help	help
to	to	to
position	posit	position
the	the	the
party	parti	party
for	for	for
the	the	the
general	general	general
election	elect	election
and	and	and
to	to	to
prepare	prepar	prepare
for	for	for
an	an	an
eventual	eventu	eventual
permanent	perman	permanent
party	parti	party
chair	chair	chair
.	.	.

Tom	tom	Tom
McMahon	mcmahon	McMahon
,	,	,
a	a	a
former	former	former
executive	execut	executive
director	director	director
of	of	of
the	the	the
DNC	dnc	DNC
,	,	,
will	will	will
lead	lead	lead
the	the	the
transition	transit	transition
team	team	team
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.

Chief	chief	Chief
of	of	of
Staff	staff	Staff
Brandon	brandon	Brandon
Davis	davi	Davis
will	will	will
also	also	also
continue	continu	continue
in	in	in
that	that	that
role	role	role
and	and	and
will	will	will
oversee	overse	oversee
DNC	dnc	DNC
general	general	general
election	elect	election
efforts	effort	effort
,	,	,
and	and	and
strategist	strategist	strategist
Doug	doug	Doug
Thornell	thornel	Thornell
will	will	will
join	join	join
as	as	a
a	a	a
senior	senior	senior
adviser	advis	adviser
on	on	on
an	an	an
interim	interim	interim
basis	basi	basis
,	,	,
it	it	it
said	said	said
.	.	.

Other	other	Other
Democratic	democrat	Democratic
Party	parti	Party
systems	system	system
have	have	have
also	also	also
been	been	been
hacked	hack	hacked
.	.	.

The	the	The
FBI	fbi	FBI
is	is	is
investigating	investig	investigating
a	a	a
cyber	cyber	cyber
attack	attack	attack
incident	incid	incident
at	at	at
the	the	the
Democratic	democrat	Democratic
Congressional	congression	Congressional
Campaign	campaign	Campaign
Committee	committe	Committee
,	,	,
or	or	or
DCCC	dccc	DCCC
,	,	,
and	and	and
a	a	a
computer	comput	computer
network	network	network
used	use	used
by	by	by
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
was	was	wa
