Modern	modern	Modern
day	day	day
culture	cultur	culture
is	is	is
far	far	far
from	from	from
what	what	what
it	it	it
used	use	used
to	to	to
be	be	be
.	.	.

Technology	technolog	Technology
has	has	ha
taken	taken	taken
over	over	over
human	human	human
contact	contact	contact
and	and	and
conversation	convers	conversation
,	,	,
and	and	and
people	peopl	people
are	are	are
seemingly	seem	seemingly
forgetting	forget	forgetting
what	what	what
it	it	it
s	s	s
like	like	like
the	the	the
actually	actual	actually
speak	speak	speak
with	with	with
a	a	a
person	person	person
who	who	who
is	is	is
directly	direct	directly
in	in	in
front	front	front
of	of	of
them	them	them
.	.	.

This	this	This
forgetfulness	forget	forgetfulness
can	can	can
also	also	also
be	be	be
seen	seen	seen
in	in	in
the	the	the
depths	depth	depth
of	of	of
Twitter	twitter	Twitter
as	as	a
trolls	troll	troll
seem	seem	seem
to	to	to
feel	feel	feel
they	they	they
can	can	can
say	say	say
anything	anyth	anything
to	to	to
anyone	anyon	anyone
at	at	at
any	ani	any
time	time	time
with	with	with
no	no	no
remorse	remors	remorse
for	for	for
their	their	their
actions	action	action
or	or	or
words	word	word
because	becaus	because
there	there	there
is	is	is
no	no	no
human	human	human
face	face	face
attached	attach	attached
to	to	to
who	who	who
they	they	they
are	are	are
attacking	attack	attacking
.	.	.
A	a	A
great	great	great
example	exampl	example
of	of	of
this	this	this
lack	lack	lack
of	of	of
human	human	human
interaction	interact	interaction
experience	experi	experience
occurred	occur	occurred
after	after	after
Jennifer	jennif	Jennifer
Lawrence	lawrenc	Lawrence
won	won	won
her	her	her
Golden	golden	Golden
Globe	globe	Globe
for	for	for
her	her	her
performance	perform	performance
in	in	in
Joy	joy	Joy
.	.	.

In	in	In
what	what	what
some	some	some
people	peopl	people
are	are	are
calling	call	calling
rude	rude	rude
,	,	,
the	the	the
actress	actress	actress
was	was	wa
just	just	just
being	be	being
brutally	brutal	brutally
honest	honest	honest
and	and	and
some	some	some
people	peopl	people
forget	forget	forget
what	what	what
it	it	it
s	s	s
like	like	like
to	to	to
point	point	point
something	someth	something
out	out	out
to	to	to
someone	someon	someone
s	s	s
face	face	face
.	.	.

In	in	In
actuality	actual	actuality
,	,	,
the	the	the
person	person	person
who	who	who
was	was	wa
being	be	being
rude	rude	rude
was	was	wa
a	a	a
particular	particular	particular
reporter	report	reporter
who	who	who
was	was	wa
asking	ask	asking
Lawrence	lawrenc	Lawrence
a	a	a
question	question	question
surrounding	surround	surrounding
her	her	her
win	win	win
.	.	.
The	the	The
reporter	report	reporter
begins	begin	begin
to	to	to
ask	ask	ask
Lawrence	lawrenc	Lawrence
a	a	a
question	question	question
,	,	,
but	but	but
the	the	the
Oscar	oscar	Oscar
winner	winner	winner
quickly	quick	quickly
cuts	cut	cut
him	him	him
off	off	off
and	and	and
says	say	say
You	you	You
can	can	can
t	t	t
live	live	live
your	your	your
whole	whole	whole
life	life	life
behind	behind	behind
your	your	your
phone	phone	phone
,	,	,
bro	bro	bro
You	you	You
can	can	can
t	t	t
do	do	do
that	that	that
.	.	.

You	you	You
ve	ve	ve
got	got	got
to	to	to
live	live	live
in	in	in
the	the	the
now	now	now
.	.	.

You	you	You
know	know	know
?	?	?

The	the	The
reporter	report	reporter
continuing	continu	continuing
on	on	on
,	,	,
mentioned	mention	mentioned
the	the	the
Oscars	oscar	Oscars
,	,	,
so	so	so
Lawrence	lawrenc	Lawrence
,	,	,
being	be	being
the	the	the
quit	quit	quit
-witted	-wit	-witted
person	person	person
that	that	that
she	she	she
is	is	is
,	,	,
drove	drove	drove
home	home	home
her	her	her
point	point	point
We	we	We
re	re	re
at	at	at
the	the	the
Golden	golden	Golden
Globes	globe	Globes
.	.	.

If	if	If
you	you	you
put	put	put
your	your	your
phone	phone	phone
down	down	down
,	,	,
you	you	you
d	d	d
