While	while	While
there	there	there
have	have	have
been	been	been
what	what	what
seems	seem	seems
like	like	like
dozens	dozen	dozen
of	of	of
Republican	republican	Republican
debates	debat	debate
,	,	,
one	one	one
stands	stand	stand
on	on	on
its	it	it
own	own	own
as	as	a
the	the	the
one	one	one
Trump	trump	Trump
didn	didn	didn
t	t	t
attend	attend	attend
.	.	.
That	that	That
debate	debat	debate
happened	happen	happened
in	in	in
January	januari	January
,	,	,
and	and	and
in	in	in
lieu	lieu	lieu
of	of	of
attending	attend	attending
,	,	,
Trump	trump	Trump
held	held	held
a	a	a
rally	ralli	rally
that	that	that
was	was	wa
supposed	suppos	supposed
to	to	to
raise	rais	raise
money	money	money
for	for	for
veterans	veteran	veteran
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
though	though	though
,	,	,
half	half	half
the	the	the
6	6	6
million	million	million
raised	rais	raised
never	never	never
got	got	got
to	to	to
the	the	the
veterans	veteran	veteran
and	and	and
no	no	no
one	one	one
knows	know	know
where	where	where
it	it	it
is	is	is
.	.	.
The	the	The
Trump	trump	Trump
campaign	campaign	campaign
said	said	said
the	the	the
event	event	event
raised	rais	raised
6	6	6
million	million	million
for	for	for
different	differ	different
veterans	veteran	veteran
groups	group	group
,	,	,
with	with	with
Trump	trump	Trump
himself	himself	himself
contributing	contribut	contributing
1	1	1
million	million	million
,	,	,
but	but	but
details	detail	detail
released	releas	released
by	by	by
the	the	the
campaign	campaign	campaign
Thursday	thursday	Thursday
show	show	show
only	onli	only
about	about	about
half	half	half
of	of	of
that	that	that
money	money	money
has	has	ha
been	been	been
dispersed	dispers	dispersed
so	so	so
far	far	far
.	.	.
The	the	The
campaign	campaign	campaign
did	did	did
not	not	not
provide	provid	provide
specifics	specif	specific
earlier	earlier	earlier
this	this	this
week	week	week
,	,	,
but	but	but
after	after	after
a	a	a
CNN	cnn	CNN
report	report	report
aired	air	aired
Thursday	thursday	Thursday
morning	morn	morning
questioning	question	questioning
the	the	the
contributions	contribut	contribution
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
shared	share	shared
a	a	a
list	list	list
in	in	in
the	the	the
afternoon	afternoon	afternoon
showing	show	showing
27	27	27
veterans	veteran	veteran
organizations	organ	organization
that	that	that
have	have	have
received	receiv	received
a	a	a
total	total	total
of	of	of
2	2	2
.	.	.
9	9	9
million	million	million
to	to	to
date	date	date
.	.	.
The	the	The
campaign	campaign	campaign
promised	promis	promised
that	that	that
it	it	it
was	was	wa
no	no	no
big	big	big
deal	deal	deal
and	and	and
that	that	that
the	the	the
veterans	veteran	veteran
would	would	would
get	get	get
the	the	the
money	money	money
as	as	a
soon	soon	soon
as	as	a
they	they	they
figured	figur	figured
it	it	it
out	out	out
.	.	.
Well	well	Well
,	,	,
several	sever	several
months	month	month
have	have	have
passed	pass	passed
,	,	,
and	and	and
the	the	the
missing	miss	missing
3	3	3
million	million	million
is	is	is
still	still	still
missing	miss	missing
.	.	.
All	all	All
they	they	they
have	have	have
now	now	now
is	is	is
deflection	deflect	deflection
.	.	.
If	if	If
the	the	the
media	media	medium
spent	spent	spent
half	half	half
as	as	a
much	much	much
time	time	time
highlighting	highlight	highlighting
the	the	the
work	work	work
of	of	of
these	these	these
groups	group	group
and	and	and
how	how	how
our	our	our
veterans	veteran	veteran
have	have	have
been	been	been
so	so	so
mistreated	mistreat	mistreated
,	,	,
rather	rather	rather
than	than	than
trying	tri	trying
to	to	to
