WORD	word	WORD
MUST	must	MUST
BE	be	BE
OUT	out	OUT
THAT	that	THAT
THE	the	THE
US	us	US
IS	is	IS
GIVING	give	GIVING
OUT	out	OUT
FOOD	food	FOOD
STAMPS	stamp	STAMPS
AND	and	AND
MONEY	money	MONEY
LIKE	like	LIKE
CANDY	candi	CANDY
!	!	!
It	it	It
s	s	s
also	also	also
true	true	true
that	that	that
these	these	these
people	peopl	people
are	are	are
coming	come	coming
here	here	here
to	to	to
work	work	work
the	the	the
system	system	system
because	becaus	because
fraud	fraud	fraud
is	is	is
way	way	way
too	too	too
easy	easi	easy
to	to	to
commit	commit	commit
with	with	with
SNAP	snap	SNAP
.	.	.
We	we	We
ve	ve	ve
reported	report	reported
on	on	on
so	so	so
many	mani	many
immigrant	immigr	immigrant
fraud	fraud	fraud
schemes	scheme	scheme
with	with	with
food	food	food
stamps	stamp	stamp
that	that	that
I	i	I
ve	ve	ve
lost	lost	lost
count	count	count
.	.	.
Here	here	Here
are	are	are
just	just	just
a	a	a
few	few	few
22	22	22
LATINOS	latino	LATINOS
ARRESTED	arrest	ARRESTED
In	in	In
Largest	largest	Largest
Food	food	Food
Stamp	stamp	Stamp
Fraud	fraud	Fraud
Bust	bust	Bust
In	in	In
History	histori	History
Here	here	Here
s	s	s
How	how	How
They	they	They
Did	did	Did
ItIMMIGRANT	itimmigr	ItIMMIGRANT
Ghanaian	ghanaian	Ghanaian
Woman	woman	Woman
Pleads	plead	Pleads
Guilty	guilti	Guilty
To	to	To
3	3	3
.	.	.
6	6	6
Million	million	Million
in	in	in
Food	food	Food
Stamp	stamp	Stamp
Fraud	fraud	Fraud
Media	media	Media
Ignores	ignor	Ignores
Her	her	Her
Immigrant	immigr	Immigrant
StatusALABAMA	statusalabama	StatusALABAMA
FRAUD	fraud	FRAUD
FOOD	food	FOOD
STAMPS	stamp	STAMPS
TO	to	TO
CASH	cash	CASH
SENT	sent	SENT
TO	to	TO
YEMENHOMESTEAD	yemenhomestead	YEMENHOMESTEAD
,	,	,
Fla	fla	Fla
.	.	.
Three	three	Three
men	men	men
are	are	are
in	in	in
custody	custodi	custody
,	,	,
