SEATTLE	seattl	SEATTLE
,	,	,
Wash	wash	Wash
.	.	.
Reuters	reuter	Reuters
-	-	-
Hacked	hack	Hacked
emails	email	email
published	publish	published
by	by	by
Wikileaks	wikileak	Wikileaks
this	this	this
week	week	week
appear	appear	appear
to	to	to
show	show	show
Qatar	qatar	Qatar
pledging	pledg	pledging
to	to	to
donate	donat	donate
1	1	1
million	million	million
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
family	famili	family
s	s	s
charitable	charit	charitable
foundation	foundat	foundation
,	,	,
despite	despit	despite
her	her	her
promise	promis	promise
to	to	to
curb	curb	curb
new	new	new
donations	donat	donation
by	by	by
foreign	foreign	foreign
governments	govern	government
while	while	while
U	u	U
.	.	.
S	s	S
.	.	.
secretary	secretari	secretary
of	of	of
state	state	state
.	.	.
In	in	In
an	an	an
email	email	email
from	from	from
2012	2012	2012
,	,	,
a	a	a
senior	senior	senior
official	offici	official
from	from	from
the	the	the
Bill	bill	Bill
,	,	,
Hillary	hillari	Hillary
Chelsea	chelsea	Chelsea
Clinton	clinton	Clinton
Foundation	foundat	Foundation
informs	inform	informs
colleagues	colleagu	colleague
that	that	that
a	a	a
planned	plan	planned
donation	donat	donation
by	by	by
Qatar	qatar	Qatar
s	s	s
government	govern	government
to	to	to
mark	mark	mark
Bill	bill	Bill
Clinton	clinton	Clinton
s	s	s
birthday	birthday	birthday
came	came	came
up	up	up
in	in	in
a	a	a
meeting	meet	meeting
he	he	he
had	had	had
with	with	with
the	the	the
Gulf	gulf	Gulf
state	state	state
s	s	s
ambassador	ambassador	ambassador
in	in	in
Washington	washington	Washington
.	.	.
The	the	The
ambassador	ambassador	ambassador
said	said	said
that	that	that
he	he	he
asked	ask	asked
to	to	to
see	see	see
WJC	wjc	WJC
for	for	for
five	five	five
minutes	minut	minute
in	in	in
NYC	nyc	NYC
,	,	,
to	to	to
present	present	present
1	1	1
million	million	million
check	check	check
that	that	that
Qatar	qatar	Qatar
promised	promis	promised
for	for	for
WJC	wjc	WJC
s	s	s
birthday	birthday	birthday
in	in	in
2011	2011	2011
,	,	,
Amitabh	amitabh	Amitabh
Desai	desai	Desai
,	,	,
the	the	the
foundation	foundat	foundation
official	offici	official
,	,	,
writes	write	writes
in	in	in
his	his	his
email	email	email
,	,	,
using	use	using
the	the	the
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
s	s	s
initials	initi	initial
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
who	who	who
is	is	is
the	the	the
Democratic	democrat	Democratic
nominee	nomine	nominee
for	for	for
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
presidential	presidenti	presidential
election	elect	election
,	,	,
served	serv	served
as	as	a
secretary	secretari	secretary
of	of	of
state	state	state
from	from	from
2009	2009	2009
until	until	until
2013	2013	2013
.	.	.
The	the	The
hacked	hack	hacked
email	email	email
is	is	is
among	among	among
thousands	thousand	thousand
published	publish	published
over	over	over
the	the	the
last	last	last
week	week	week
by	by	by
the	the	the
pro	pro	pro
-transparency	-transpar	-transparency
group	group	group
Wikileaks	wikileak	Wikileaks
from	from	from
the	the	the
account	account	account
of	of	of
John	john	John
Podesta	podesta	Podesta
,	,	,
the	the	the
chairman	chairman	chairman
of	of	of
Hillary	hillari	Hillary
