Imagine	imagin	Imagine
what	what	what
it	it	it
must	must	must
be	be	be
like	like	like
to	to	to
be	be	be
one	one	one
of	of	of
the	the	the
only	onli	only
people	peopl	people
in	in	in
America	america	America
who	who	who
doesn	doesn	doesn
t	t	t
have	have	have
to	to	to
abide	abid	abide
by	by	by
any	ani	any
of	of	of
our	our	our
laws	law	law
.	.	.

Apparently	appar	Apparently
it	it	it
pays	pay	pay
to	to	to
be	be	be
a	a	a
Clinton	clinton	Clinton
.	.	.
Even	even	Even
though	though	though
it	it	it
s	s	s
against	against	against
the	the	the
law	law	law
to	to	to
campaign	campaign	campaign
inside	insid	inside
the	the	the
polling	poll	polling
place	place	place
or	or	or
within	within	within
100	100	100
feet	feet	foot
of	of	of
the	the	the
measured	measur	measured
entrances	entranc	entrance
of	of	of
the	the	the
polling	poll	polling
place	place	place
in	in	in
NY	ny	NY
,	,	,
Hillary	hillari	Hillary
and	and	and
Bill	bill	Bill
can	can	can
clearly	clear	clearly
been	been	been
seen	seen	seen
breaking	break	breaking
that	that	that
law	law	law
in	in	in
the	the	the
video	video	video
below	below	below
.	.	.

Much	much	Much
like	like	like
Obama	obama	Obama
though	though	though
,	,	,
Hillary	hillari	Hillary
knows	know	know
that	that	that
no	no	no
one	one	one
will	will	will
hold	hold	hold
her	her	her
accountable	account	accountable
for	for	for
her	her	her
actions	action	action
.	.	.

She	she	She
and	and	and
Bill	bill	Bill
are	are	are
above	abov	above
the	the	the
laws	law	law
that	that	that
the	the	the
everyday	everyday	everyday
people	peopl	people
Hillary	hillari	Hillary
claims	claim	claim
to	to	to
be	be	be
a	a	a
champion	champion	champion
for	for	for
,	,	,
are	are	are
required	requir	required
to	to	to
follow	follow	follow
.	.	.
Watch	watch	Watch
Hillary	hillari	Hillary
and	and	and
Bill	bill	Bill
pander	pander	pander
for	for	for
votes	vote	vote
in	in	in
the	the	the
video	video	video
below	below	below
NY	ny	NY
State	state	State
Law	law	Law
Prohibiting	prohibit	Prohibiting
Electioneering	election	Electioneering
Activities	activ	Activities
In	in	In
NY	ny	NY
While	while	While
the	the	the
polls	poll	poll
are	are	are
open	open	open
no	no	no
person	person	person
shall	shall	shall
do	do	do
any	ani	any
electioneering	election	electioneering
within	within	within
the	the	the
polling	poll	polling
place	place	place
,	,	,
or	or	or
in	in	in
any	ani	any
public	public	public
street	street	street
,	,	,
within	within	within
a	a	a
one	one	one
hundred	hundr	hundred
foot	foot	foot
radial	radial	radial
measured	measur	measured
from	from	from
the	the	the
entrances	entranc	entrance
designated	design	designated
by	by	by
the	the	the
inspectors	inspector	inspector
of	of	of
election	elect	election
,	,	,
to	to	to
such	such	such
polling	poll	polling
place	place	place
or	or	or
within	within	within
such	such	such
distance	distanc	distance
in	in	in
any	ani	any
place	place	place
in	in	in
a	a	a
public	public	public
manner	manner	manner
;	;	;
and	and	and
no	no	no
political	polit	political
banner	banner	banner
,	,	,
button	button	button
,	,	,
poster	poster	poster
or	or	or
placard	placard	placard
shall	shall	shall
be	be	be
allowed	allow	allowed
in	in	in
or	or	or
upon	upon	upon
the	the	the
polling	poll	polling
place	place	place
or	or	or
within	within	within
such	such	such
one	one	one
hundred	hundr	hundred
foot	foot	foot
radial	radial	radial
.	.	.

N	n	N
.	.	.
Y	y	Y
.	.	.
Election	elect	Election
Law	law	Law
8	8	8
104	104	104
1	1	1

