100	100	100
FED	fed	FED
Up	up	Up
!	!	!

was	was	wa
able	abl	able
to	to	to
easily	easili	easily
find	find	find
evidence	evid	evidence
about	about	about
the	the	the
anti	anti	anti
-American	-american	-American
,	,	,
cop	cop	cop
-hating	-hate	-hating
,	,	,
racist	racist	racist
who	who	who
attacked	attack	attacked
Trump	trump	Trump
during	dure	during
a	a	a
rally	ralli	rally
on	on	on
Sunday	sunday	Sunday
.	.	.

Either	either	Either
the	the	the
mainstream	mainstream	mainstream
media	media	medium
news	news	news
organizations	organ	organization
don	don	don
t	t	t
have	have	have
any	ani	any
investigative	investig	investigative
journalists	journalist	journalist
working	work	working
for	for	for
them	them	them
,	,	,
or	or	or
they	they	they
prefer	prefer	prefer
to	to	to
hide	hide	hide
the	the	the
truth	truth	truth
about	about	about
Trump	trump	Trump
s	s	s
attacker	attack	attacker
.	.	.

We	we	We
believe	believ	believe
the	the	the
latter	latter	latter
is	is	is
true	true	true
.	.	.
An	an	An
even	even	even
bigger	bigger	bigger
question	question	question
is	is	is
how	how	how
this	this	this
radical	radic	radical
cop	cop	cop
hating	hate	hating
,	,	,
white	white	white
hating	hate	hating
self	self	self
-loathing	-loath	-loathing
Bernie	berni	Bernie
Sanders	sander	Sanders
supporter	support	supporter
is	is	is
able	abl	able
to	to	to
jump	jump	jump
on	on	on
the	the	the
stage	stage	stage
of	of	of
the	the	the
GOP	gop	GOP
Presidential	presidenti	Presidential
front	front	front
-runner	-runner	-runner
,	,	,
grab	grab	grab
him	him	him
,	,	,
scuffle	scuffl	scuffle
with	with	with
the	the	the
US	us	US
Secret	secret	Secret
Service	servic	Service
and	and	and
only	onli	only
be	be	be
charged	charg	charged
with	with	with
two	two	two
misdemeanors	misdemeanor	misdemeanor
?	?	?

Watch	watch	Watch
new	new	new
video	video	video
that	that	that
was	was	wa
just	just	just
released	releas	released
of	of	of
Tommy	tommi	Tommy
DiMassimo	dimassimo	DiMassimo
rushing	rush	rushing
to	to	to
get	get	get
at	at	at
Trump	trump	Trump
on	on	on
stage	stage	stage
here	here	here
CNN	cnn	CNN
interviewed	interview	interviewed
Thomas	thoma	Thomas
Tommy	tommi	Tommy
DiMassimo	dimassimo	DiMassimo
,	,	,
the	the	the
man	man	man
who	who	who
was	was	wa
arrested	arrest	arrested
and	and	and
charged	charg	charged
with	with	with
disorderly	disord	disorderly
conduct	conduct	conduct
and	and	and
inducing	induc	inducing
panic	panic	panic
after	after	after
he	he	he
rushed	rush	rushed
the	the	the
stage	stage	stage
at	at	at
an	an	an
Ohio	ohio	Ohio
Trump	trump	Trump
rally	ralli	rally
on	on	on
Sunday	sunday	Sunday
.	.	.
During	dure	During
the	the	the
interview	interview	interview
,	,	,
Tommy	tommi	Tommy
DiMassimo	dimassimo	DiMassimo
explained	explain	explained
to	to	to
CNN	cnn	CNN
that	that	that
he	he	he
just	just	just
wanted	want	wanted
to	to	to
take	take	take
the	the	the
podium	podium	podium
away	away	away
from	from	from
the	the	the
GOP	gop	GOP
presidential	presidenti	presidential
front	front	front
-runner	-runner	-runner
to	to	to
send	send	send
a	a	a
message	messag	message
.	.	.

CNN	cnn	CNN
never	never	never
asked	ask	asked
him	him	him
a	a	a
single	singl	single
quesiton	quesiton	quesiton
about	about	about
his	his	his
past	past	past
or	or	or
his	his	his
support	support	support
for	for	for
Bernie	berni	Bernie
Sanders	sander	Sanders
.	.	.
It	it	It
s	s	s
almost	almost	almost
as	as	a
though	though	though
CNN	cnn	CNN
was	was	wa
giving	give	giving
Tommy	tommi	Tommy
DiMassimo	dimassimo	DiMassimo
,	,	,
a	a	a
Wright	wright	Wright
State	state	State
University	univers	University
senior	senior	senior
,	,	,
a	a	a
platform	platform	platform
to	to	to
express	express	express
his	his	his
dissatisfaction	dissatisfact	dissatisfaction
with	with	with
Donald	donald	Donald
Trump	trump	Trump
.	.	.

They	they	They
wouldn	wouldn	wouldn
t	t	t
do	do	do
that	that	that
for	for	for
someone	someon	someone
who	who	who
just	just	just
committed	commit	committed
a	a	a
crime	crime	crime
by	by	by
rushing	rush	rushing
the	the	the
stage	stage	stage
of	of	of
the	the	the
top	top	top
GOP	gop	GOP
Presidential	presidenti	Presidential
candidate	candid	candidate
would	would	would
they	they	they
?	?	?
https://youtu.be/RIAEQonBgO0Here	https://youtu.be/riaeqonbgo0her	https://youtu.be/RIAEQonBgO0Here
is	is	is
the	the	the
real	real	real
truth	truth	truth
about	about	about
the	the	the
soft	soft	soft
-spoken	-spoken	-spoken
Tommy	tommi	Tommy
DiMassimo	dimassimo	DiMassimo
that	that	that
appeared	appear	appeared
in	in	in
the	the	the
CNN	cnn	CNN
video	video	video
who	who	who
was	was	wa
worried	worri	worried
about	about	about
Trump	trump	Trump
being	be	being
a	a	a
bully	bulli	bully
.	.	.

We	we	We
found	found	found
these	these	these
videos	video	video
on	on	on
YouTube	youtub	YouTube
that	that	that
were	were	were
co	co	co
-written	-written	-written
by	by	by
the	the	the
Wright	wright	Wright
State	state	State
University	univers	University
senior	senior	senior
.	.	.

The	the	The
name	name	name
of	of	of
the	the	the
video	video	video
is	is	is
Red	red	Red
Black	black	Black
and	and	and
Blue	blue	Blue
.	.	.

The	the	The
video	video	video
appears	appear	appears
to	to	to
be	be	be
promoting	promot	promoting
a	a	a
Revolution	revolut	Revolution
featuring	featur	featuring
blacks	black	black
killing	kill	killing
cops	cop	cop
and	and	and
of	of	of
course	cours	course
,	,	,
cops	cop	cop
killing	kill	killing
innocent	innoc	innocent
blacks	black	black
.	.	.
LANGUAGE	languag	LANGUAGE
and	and	and
VIOLENCE	violenc	VIOLENCE
Warning	warn	Warning
Here	here	Here
is	is	is
the	the	the
first	first	first
shocking	shock	shocking
trailer	trailer	trailer
for	for	for
DiMassimo	dimassimo	DiMassimo
s	s	s
movie	movi	movie
Red	red	Red
Black	black	Black
and	and	and
Blue	blue	Blue
https://youtu.be/R8dgSibelNQHere	https://youtu.be/r8dgsibelnqher	https://youtu.be/R8dgSibelNQHere
is	is	is
the	the	the
second	second	second
violent	violent	violent
trailer	trailer	trailer
.	.	.

The	the	The
video	video	video
in	in	in
its	it	it
entirety	entireti	entirety
can	can	can
be	be	be
found	found	found
below	below	below
https://youtu.be/PEP4hWfHzj8Here	https://youtu.be/pep4hwfhzj8her	https://youtu.be/PEP4hWfHzj8Here
are	are	are
tweets	tweet	tweet
that	that	that
were	were	were
sent	sent	sent
out	out	out
by	by	by
Tommy	tommi	Tommy
DiMassimo	dimassimo	DiMassimo
just	just	just
prior	prior	prior
to	to	to
the	the	the
Ohio	ohio	Ohio
Trump	trump	Trump
rally	ralli	rally
where	where	where
he	he	he
rushed	rush	rushed
the	the	the
stage	stage	stage
.	.	.

In	in	In
the	the	the
first	first	first
tweet	tweet	tweet
,	,	,
he	he	he
talks	talk	talk
about	about	about
becomig	becomig	becomig
a	a	a
martyr	martyr	martyr
.	.	.

The	the	The
second	second	second
tweet	tweet	tweet
talks	talk	talk
about	about	about
getting	get	getting
into	into	into
a	a	a
Trump	trump	Trump
rally	ralli	rally
and	and	and
slapping	slap	slapping
fire	fire	fire
into	into	into
Trump	trump	Trump
.	.	.

From	from	From
the	the	the
Urban	urban	Urban
dictionary	dictionari	dictionary
The	the	The
art	art	art
of	of	of
slapping	slap	slapping
fire	fire	fire
out	out	out
of	of	of
a	a	a
person	person	person
is	is	is
to	to	to
give	give	give
said	said	said
person	person	person
an	an	an
intense	intens	intense
slap	slap	slap
that	that	that
will	will	will
leave	leav	leave
their	their	their
face	face	face
red	red	red
for	for	for
an	an	an
extended	extend	extended
period	period	period
of	of	of
time	time	time
.	.	.

That	that	That
sure	sure	sure
sounds	sound	sound
a	a	a
LOT	lot	LOT
differnt	differnt	differnt
that	that	that
the	the	the
non	non	non
-violent	-violent	-violent
explanation	explan	explanation
he	he	he
gave	gave	gave
CNN	cnn	CNN
.	.	.

The	the	The
last	last	last
tweet	tweet	tweet
with	with	with
the	the	the
gun	gun	gun
and	and	and
smiley	smiley	smiley
face	face	face
emoji	emoji	emoji
was	was	wa
sent	sent	sent
to	to	to
fake	fake	fake
black	black	black
guy	guy	guy
,	,	,
Shaun	shaun	Shaun
King	king	King
.	.	.

You	you	You
be	be	be
the	the	the
judge	judg	judge
of	of	of
what	what	what
he	he	he
s	s	s
trying	tri	trying
to	to	to
say	say	say
in	in	in
his	his	his
tweets	tweet	tweet
below	below	below
.	.	.
And	and	And
of	of	of
course	cours	course
,	,	,
the	the	the
fact	fact	fact
that	that	that
he	he	he
s	s	s
a	a	a
Bernie	berni	Bernie
Sanders	sander	Sanders
supporter	support	supporter
should	should	should
come	come	come
as	as	a
no	no	no
surprise	surpris	surprise
Folks	folk	Folks
in	in	in
OHIOGo	ohiogo	OHIOGo
vote	vote	vote
for	for	for
Bernie	berni	Bernie
and	and	and
or	or	or
Not	not	Not
Trump	trump	Trump
il	il	il
ragazzo	ragazzo	ragazzo
@Younglionking7	@younglionking7	@Younglionking7
March	march	March
13	13	13
,	,	,
2016This	2016this	2016This
tweet	tweet	tweet
was	was	wa
posted	post	posted
in	in	in
Sept	sept	Sept
,	,	,
2015	2015	2015
.	.	.

The	the	The
most	most	most
recent	recent	recent
tweets	tweet	tweet
seen	seen	seen
above	abov	above
have	have	have
all	all	all
been	been	been
deleted	delet	deleted
.	.	.
DiMassimo	dimassimo	DiMassimo
posts	post	post
a	a	a
picture	pictur	picture
of	of	of
a	a	a
bloodied	bloodi	bloodied
cop	cop	cop
seen	seen	seen
in	in	in
the	the	the
film	film	film
on	on	on
his	his	his
Facebook	facebook	Facebook
page	page	page
.	.	.

One	one	One
of	of	of
his	his	his
friends	friend	friend
asks	ask	asks
in	in	in
the	the	the
comment	comment	comment
section	section	section
,	,	,
Is	is	Is
that	that	that
you	you	you
?	?	?

He	he	He
doesn	doesn	doesn
t	t	t
respond	respond	respond
.	.	.
This	this	This
picture	pictur	picture
was	was	wa
taken	taken	taken
from	from	from
DiMassimo	dimassimo	DiMassimo
s	s	s
facebook	facebook	facebook
page	page	page
advertising	advertis	advertising
his	his	his
one	one	one
man	man	man
show	show	show
on	on	on
Wright	wright	Wright
College	colleg	College
campus	campus	campus
.	.	.
Here	here	Here
s	s	s
DiMassio	dimassio	DiMassio
hanging	hang	hanging
out	out	out
with	with	with
a	a	a
few	few	few
sweet	sweet	sweet
boys	boy	boy
in	in	in
the	the	the
neighborhood	neighborhood	neighborhood
Oh	oh	Oh
,	,	,
the	the	the
irony	ironi	irony
of	of	of
DiMassimo	dimassimo	DiMassimo
looking	look	looking
to	to	to
the	the	the
police	polic	police
officer	offic	officer
for	for	for
help	help	help
when	when	when
he	he	he
was	was	wa
concerned	concern	concerned
about	about	about
a	a	a
concealed	conceal	concealed
carrier	carrier	carrier
,	,	,
after	after	after
spending	spend	spending
the	the	the
afternoon	afternoon	afternoon
taunting	taunt	taunting
the	the	the
Confederate	confeder	Confederate
flag	flag	flag
supporters	support	supporter
,	,	,
and	and	and
actually	actual	actually
burning	burn	burning
a	a	a
Confederate	confeder	Confederate
flag	flag	flag
in	in	in
front	front	front
of	of	of
them	them	them
at	at	at
a	a	a
GA	ga	GA
rally	ralli	rally
see	see	see
below	below	below
Open	open	Open
Carry	carri	Carry
Activist	activist	Activist
Prepares	prepar	Prepares
to	to	to
Draw	draw	Draw
Gun	gun	Gun
on	on	on
Counterprotester	counterprotest	Counterprotester
at	at	at
Yesterday's	yesterday	Yesterday's
Confederate	confeder	Confederate
Flag	flag	Flag
Rally	ralli	Rally
in	in	in
#GA	#ga	#GA
#p2	#p2	#p2
#tcot	#tcot	#tcot
pic.twitter.com/cNuEKHXmF6	pic.twitter.com/cnuekhxmf6	pic.twitter.com/cNuEKHXmF6
CSGV	csgv	CSGV
@CSGV	@csgv	@CSGV
August	august	August
2	2	2
,	,	,
2015Hero	2015hero	2015Hero
of	of	of
the	the	the
Day	day	Day
burns	burn	burn
Confederate	confeder	Confederate
flag	flag	flag
and	and	and
waves	wave	wave
it	it	it
at	at	at
500	500	500
idiots	idiot	idiot
at	at	at
Stone	stone	Stone
Mountain	mountain	Mountain
.	.	.

pic.twitter.com/iBzwN3ElcK	pic.twitter.com/ibzwn3elck	pic.twitter.com/iBzwN3ElcK
Derf	derf	Derf
Backderf	backderf	Backderf
@DerfBackderf	@derfbackderf	@DerfBackderf
August	august	August
3	3	3
,	,	,
2015Here	2015here	2015Here
s	s	s
a	a	a
video	video	video
showing	show	showing
the	the	the
controversy	controversi	controversy
DiMassio	dimassio	DiMassio
created	creat	created
when	when	when
standing	stand	standing
on	on	on
an	an	an
American	american	American
flag	flag	flag
on	on	on
campus	campus	campus
Here	here	Here
is	is	is
the	the	the
video	video	video
of	of	of
the	the	the
actual	actual	actual
event	event	event
.	.	.

Watch	watch	Watch
the	the	the
disrespect	disrespect	disrespect
this	this	this
punk	punk	punk
has	has	ha
an	an	an
elderly	elder	elderly
veteran	veteran	veteran
confronts	confront	confronts
him	him	him
https://youtu.be/Q0Kwcp2DLFoIf	https://youtu.be/q0kwcp2dlfoif	https://youtu.be/Q0Kwcp2DLFoIf
you	you	you
can	can	can
stomach	stomach	stomach
it	it	it
,	,	,
here	here	here
is	is	is
the	the	the
violent	violent	violent
full	full	full
-edition	-edit	-edition
of	of	of
the	the	the
video	video	video
co	co	co
-written	-written	-written
by	by	by
Tommy	tommi	Tommy
DiMassimo	dimassimo	DiMassimo
,	,	,
the	the	the
intelligent	intellig	intelligent
,	,	,
bright	bright	bright
,	,	,
college	colleg	college
senior	senior	senior
Tommy	tommi	Tommy
DiMassimo	dimassimo	DiMassimo
is	is	is
sadly	sad	sadly
,	,	,
representative	repres	representative
of	of	of
many	mani	many
of	of	of
the	the	the
whiny	whini	whiny
,	,	,
anti	anti	anti
-American	-american	-American
students	student	student
we	we	we
see	see	see
supporting	support	supporting
Bernie	berni	Bernie
Sanders	sander	Sanders
and	and	and
a	a	a
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
terror	terror	terror
movement	movement	movement
today	today	today
.	.	.

Black	black	Black
Lives	live	Lives
Matter	matter	Matter
was	was	wa
created	creat	created
to	to	to
threaten	threaten	threaten
and	and	and
intimidate	intimid	intimidate
Americans	american	Americans
into	into	into
giving	give	giving
them	them	them
not	not	not
equal	equal	equal
treatment	treatment	treatment
,	,	,
but	but	but
special	special	special
treatment	treatment	treatment
.	.	.

Our	our	Our
hateful	hate	hateful
and	and	and
divisive	divis	divisive
President	presid	President
is	is	is
responsible	respons	responsible
for	for	for
the	the	the
groundswell	groundswel	groundswell
of	of	of
support	support	support
for	for	for
hate	hate	hate
groups	group	group
like	like	like
this	this	this
that	that	that
are	are	are
popping	pop	popping
up	up	up
across	across	across
colleges	colleg	college
,	,	,
universities	univers	university
and	and	and
large	larg	large
cities	citi	city
across	across	across
America	america	America
.	.	.

The	the	The
reason	reason	reason
they	they	they
are	are	are
trying	tri	trying
so	so	so
hard	hard	hard
to	to	to
prevent	prevent	prevent
a	a	a
Trump	trump	Trump
presidency	presid	presidency
is	is	is
because	becaus	because
they	they	they
fear	fear	fear
he	he	he
will	will	will
call	call	call
them	them	them
out	out	out
and	and	and
expose	expos	expose
them	them	them
for	for	for
their	their	their
self	self	self
-serving	-serv	-serving
agenda	agenda	agenda
.	.	.

Their	their	Their
only	onli	only
hope	hope	hope
to	to	to
keep	keep	keep
this	this	this
radical	radic	radical
movement	movement	movement
going	go	going
is	is	is
to	to	to
elect	elect	elect
Bernie	berni	Bernie
Sanders	sander	Sanders
or	or	or
Hillary	hillari	Hillary
.	.	.

Trump	trump	Trump
is	is	is
the	the	the
only	onli	only
person	person	person
who	who	who
they	they	they
fear	fear	fear
is	is	is
an	an	an
obstacle	obstacl	obstacle
standing	stand	standing
in	in	in
the	the	the
way	way	way
of	of	of
their	their	their
goal	goal	goal
.	.	.
We	we	We
ll	ll	ll
never	never	never
know	know	know
how	how	how
far	far	far
Tommy	tommi	Tommy
Massimo	massimo	Massimo
would	would	would
have	have	have
gone	gone	gone
if	if	if
he	he	he
was	was	wa
allowed	allow	allowed
to	to	to
get	get	get
ahold	ahold	ahold
of	of	of
Trump	trump	Trump
on	on	on
the	the	the
stage	stage	stage
.	.	.

One	one	One
thing	thing	thing
is	is	is
clear	clear	clear
though	though	though
,	,	,
his	his	his
ridiculous	ridicul	ridiculous
punishment	punish	punishment
and	and	and
the	the	the
special	special	special
treatment	treatment	treatment
he	he	he
was	was	wa
given	given	given
by	by	by
CNN	cnn	CNN
will	will	will
certainly	certain	certainly
not	not	not
dissuade	dissuad	dissuade
the	the	the
next	next	next
radical	radic	radical
from	from	from
attempting	attempt	attempting
to	to	to
harm	harm	harm
Trump	trump	Trump
at	at	at
one	one	one
of	of	of
his	his	his
public	public	public
events	event	event
.	.	.
Here	here	Here
is	is	is
a	a	a
screen	screen	screen
grab	grab	grab
that	that	that
shows	show	show
DiMassimo	dimassimo	DiMassimo
as	as	a
one	one	one
of	of	of
the	the	the
co	co	co
