Donald	donald	Donald
Trump	trump	Trump
just	just	just
got	got	got
caught	caught	caught
lying	lie	lying
about	about	about
one	one	one
of	of	of
his	his	his
biggest	biggest	biggest
claims	claim	claim
as	as	a
the	the	the
South	south	South
Carolina	carolina	Carolina
primary	primari	primary
approaches	approach	approach
.	.	.
Throughout	throughout	Throughout
his	his	his
campaign	campaign	campaign
,	,	,
Trump	trump	Trump
has	has	ha
hammered	hammer	hammered
Jeb	jeb	Jeb
Bush	bush	Bush
over	over	over
his	his	his
brother	brother	brother
George	georg	George
W	w	W
.	.	.

Bush	bush	Bush
s	s	s
terrible	terribl	terrible
decision	decis	decision
to	to	to
go	go	go
to	to	to
war	war	war
with	with	with
Iraq	iraq	Iraq
,	,	,
a	a	a
war	war	war
that	that	that
cost	cost	cost
America	america	America
trillions	trillion	trillion
of	of	of
dollars	dollar	dollar
and	and	and
thousands	thousand	thousand
of	of	of
lives	live	life
.	.	.
He	he	He
has	has	ha
even	even	even
claimed	claim	claimed
to	to	to
be	be	be
the	the	the
only	onli	only
candidate	candid	candidate
in	in	in
the	the	the
GOP	gop	GOP
field	field	field
who	who	who
opposed	oppos	opposed
the	the	the
war	war	war
before	befor	before
we	we	we
invaded	invad	invaded
and	and	and
he	he	he
did	did	did
so	so	so
again	again	again
during	dure	during
the	the	the
GOP	gop	GOP
Debate	debat	Debate
on	on	on
Saturday	saturday	Saturday
night	night	night
.	.	.

I	i	I
m	m	m
the	the	the
only	onli	only
one	one	one
on	on	on
this	this	this
stage	stage	stage
that	that	that
said	said	said
,	,	,
Do	do	Do
not	not	not
go	go	go
into	into	into
Iraq	iraq	Iraq
.	.	.

Do	do	Do
not	not	not
attack	attack	attack
Iraq	iraq	Iraq
,	,	,
Trump	trump	Trump
declared	declar	declared
.	.	.

Nobody	nobodi	Nobody
else	els	else
on	on	on
this	this	this
stage	stage	stage
said	said	said
that	that	that
.	.	.

And	and	And
I	i	I
said	said	said
it	it	it
loud	loud	loud
and	and	and
strong	strong	strong
.	.	.

And	and	And
I	i	I
was	was	wa
in	in	in
the	the	the
private	privat	private
sector	sector	sector
.	.	.

I	i	I
wasn	wasn	wasn
t	t	t
a	a	a
politician	politician	politician
,	,	,
fortunately	fortun	fortunately
.	.	.

But	but	But
I	i	I
said	said	said
it	it	it
,	,	,
and	and	and
I	i	I
said	said	said
it	it	it
loud	loud	loud
and	and	and
clear	clear	clear
,	,	,
You	you	You
ll	ll	ll
destabilize	destabil	destabilize
the	the	the
Middle	middl	Middle
East	east	East
.	.	.

That	that	That
s	s	s
exactly	exact	exactly
what	what	what
happened	happen	happened
.	.	.

Trump	trump	Trump
repeated	repeat	repeated
himself	himself	himself
again	again	again
on	on	on
Thursday	thursday	Thursday
night	night	night
during	dure	during
the	the	the
GOP	gop	GOP
Town	town	Town
Hall	hall	Hall
event	event	event
,	,	,
even	even	even
going	go	going
so	so	so
far	far	far
as	as	a
to	to	to
say	say	say
that	that	that
George	georg	George
H	h	H
.	.	.

W	w	W
.	.	.

Bush	bush	Bush
dealt	dealt	dealt
with	with	with
Iraq	iraq	Iraq
the	the	the
right	right	right
way	way	way
when	when	when
we	we	we
went	went	went
to	to	to
war	war	war
against	against	against
Saddam	saddam	Saddam
Hussein	hussein	Hussein
in	in	in
order	order	order
to	to	to
protect	protect	protect
Kuwait	kuwait	Kuwait
in	in	in
1992	1992	1992
.	.	.
Up	up	Up
to	to	to
this	this	this
point	point	point
,	,	,
Trump	trump	Trump
s	s	s
claims	claim	claim
had	had	had
gone	gone	gone
unchallenged	unchalleng	unchallenged
.	.	.

But	but	But
now	now	now
an	an	an
audio	audio	audio
recording	record	recording
has	has	ha
popped	pop	popped
up	up	up
of	of	of
a	a	a
Trump	trump	Trump
interview	interview	interview
with	with	with
Howard	howard	Howard
Stern	stern	Stern
that	that	that
blows	blow	blow
both	both	both
of	of	of
Trump	trump	Trump
s	s	s
claims	claim	claim
about	about	about
both	both	both
wars	war	war
in	in	in
Iraq	iraq	Iraq
out	out	out
of	of	of
the	the	the
water	water	water
.	.	.
As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
Trump	trump	Trump
not	not	not
only	onli	only
lied	lie	lied
about	about	about
his	his	his
opposition	opposit	opposition
to	to	to
the	the	the
Iraq	iraq	Iraq
invasion	invas	invasion
in	in	in
2003	2003	2003
,	,	,
he	he	he
lied	lie	lied
about	about	about
believing	believ	believing
that	that	that
Operation	oper	Operation
Desert	desert	Desert
Storm	storm	Storm
was	was	wa
handled	handl	handled
correctly	correct	correctly
.	.	.

Are	are	Are
you	you	you
for	for	for
invading	invad	invading
Iraq	iraq	Iraq
?	?	?

Stern	stern	Stern
asked	ask	asked
Trump	trump	Trump
point	point	point
-blank	-blank	-blank
back	back	back
in	in	in
2002	2002	2002
,	,	,
a	a	a
year	year	year
before	befor	before
the	the	the
first	first	first
troops	troop	troop
set	set	set
foot	foot	foot
in	in	in
Iraq	iraq	Iraq
.	.	.
TRUMP	trump	TRUMP
Yeah	yeah	Yeah
,	,	,
I	i	I
guess	guess	guess
so	so	so
.	.	.

I	i	I
wish	wish	wish
the	the	the
first	first	first
time	time	time
it	it	it
was	was	wa
done	done	done
correctly	correct	correctly
.	.	.

Here	here	Here
s	s	s
the	the	the
damning	damn	damning
audio	audio	audio
via	via	via
Buzzfeed	buzzfe	Buzzfeed
.	.	.
And	and	And
when	when	when
Anderson	anderson	Anderson
Cooper	cooper	Cooper
asked	ask	asked
Trump	trump	Trump
about	about	about
the	the	the
Stern	stern	Stern
interview	interview	interview
on	on	on
Thursday	thursday	Thursday
,	,	,
here	here	here
is	is	is
what	what	what
Trump	trump	Trump
had	had	had
to	to	to
say	say	say
.	.	.

I	i	I
could	could	could
have	have	have
said	said	said
that	that	that
.	.	.

Nobody	nobodi	Nobody
asked	ask	asked
me	me	me
that	that	that
.	.	.

I	i	I
wasn	wasn	wasn
t	t	t
a	a	a
politician	politician	politician
.	.	.

It	it	It
was	was	wa
probably	probabl	probably
the	the	the
first	first	first
time	time	time
anyone	anyon	anyone
has	has	ha
asked	ask	asked
me	me	me
that	that	that
question	question	question
.	.	.

When	when	When
you	you	you
re	re	re
