Last	last	Last
night	night	night
,	,	,
The	the	The
New	new	New
York	york	York
Times	time	Times
ran	ran	ran
a	a	a
story	stori	story
that	that	that
s	s	s
a	a	a
potential	potenti	potential
bombshell	bombshel	bombshell
for	for	for
poor	poor	poor
,	,	,
put	put	put
-upon	-upon	-upon
Donald	donald	Donald
Trump	trump	Trump
he	he	he
declared	declar	declared
a	a	a
916	916	916
million	million	million
loss	loss	loss
on	on	on
his	his	his
taxes	tax	tax
in	in	in
1995	1995	1995
,	,	,
which	which	which
means	mean	mean
he	he	he
potentially	potenti	potentially
didn	didn	didn
t	t	t
pay	pay	pay
any	ani	any
income	incom	income
tax	tax	tax
for	for	for
the	the	the
following	follow	following
18	18	18
years	year	year
.	.	.

Today	today	Today
,	,	,
everyone	everyon	everyone
is	is	is
buzzing	buzz	buzzing
about	about	about
it	it	it
on	on	on
all	all	all
the	the	the
TV	tv	TV
shows	show	show
,	,	,
and	and	and
Chris	chris	Chris
Christie	christi	Christie
takes	take	take
the	the	the
cake	cake	cake
for	for	for
most	most	most
implausible	implaus	implausible
spin	spin	spin
to	to	to
make	make	make
Trump	trump	Trump
look	look	look
good	good	good
for	for	for
this	this	this
.	.	.
While	while	While
speaking	speak	speaking
to	to	to
Fox	fox	Fox
host	host	host
Chris	chris	Chris
Wallace	wallac	Wallace
on	on	on
Fox	fox	Fox
News	news	News
Sunday	sunday	Sunday
,	,	,
Christie	christi	Christie
called	call	called
this	this	this
a	a	a
good	good	good
story	stori	story
for	for	for
Trump	trump	Trump
because	becaus	because
it	it	it
not	not	not
only	onli	only
highlights	highlight	highlight
all	all	all
the	the	the
flaws	flaw	flaw
in	in	in
the	the	the
tax	tax	tax
code	code	code
,	,	,
but	but	but
it	it	it
also	also	also
shows	show	show
Trump	trump	Trump
to	to	to
be	be	be
the	the	the
extremely	extrem	extremely
intelligent	intellig	intelligent
,	,	,
honest	honest	honest
,	,	,
dependable	depend	dependable
,	,	,
law	law	law
and	and	and
order	order	order
candidate	candid	candidate
he	he	he
claims	claim	claim
he	he	he
is	is	is
.	.	.
Wallace	wallac	Wallace
came	came	came
back	back	back
,	,	,
absolutely	absolut	absolutely
stunned	stun	stunned
by	by	by
that	that	that
,	,	,
and	and	and
said	said	said
Wait	wait	Wait
,	,	,
wait	wait	wait
wait	wait	wait
you	you	you
re	re	re
saying	say	saying
it	it	it
s	s	s
a	a	a
good	good	good
story	stori	story
for	for	for
Donald	donald	Donald
Trump	trump	Trump
that	that	that
he	he	he
failed	fail	failed
to	to	to
pay	pay	pay
any	ani	any
federal	feder	federal
income	incom	income
taxes	tax	tax
first	first	first
of	of	of
all	all	all
,	,	,
that	that	that
he	he	he
took	took	took
a	a	a
billion	billion	billion
-dollar	-dollar	-dollar
loss	loss	loss
and	and	and
that	that	that
he	he	he
failed	fail	failed
to	to	to
pay	pay	pay
any	ani	any
federal	feder	federal
income	incom	income
taxes	tax	tax
for	for	for
years	year	year
.	.	.

That	that	That
s	s	s
a	a	a
good	good	good
story	stori	story
?	?	?

Of	of	Of
course	cours	course
it	it	it
is	is	is
,	,	,
Christie	christi	Christie
insists	insist	insists
.	.	.

There	there	There
s	s	s
nothing	noth	nothing
illegal	illeg	illegal
about	about	about
what	what	what
Trump	trump	Trump
did	did	did
.	.	.

He	he	He
also	also	also
has	has	ha
a	a	a
fiduciary	fiduciari	fiduciary
duty	duti	duty
to	to	to
his	his	his
shareholders	sharehold	shareholder
to	to	to
pay	pay	pay
as	as	a
little	littl	little
tax	tax	tax
as	as	a
possible	possibl	possible
,	,	,
so	so	so
obviously	obvious	obviously
it	it	it
s	s	s
okay	okay	okay
.	.	.

Besides	besid	Besides
,	,	,
we	we	we
don	don	don
t	t	t
know	know	know
that	that	that
Trump	trump	Trump
didn	didn	didn
t	t	t
pay	pay	pay
any	ani	any
income	incom	income
taxes	tax	tax
for	for	for
that	that	that
long	long	long
although	although	although
knowing	know	knowing
him	him	him
,	,	,
he	he	he
really	realli	really
didn	didn	didn
t	t	t
.	.	.
Watch	watch	Watch
Wallace	wallac	Wallace
s	s	s
sheer	sheer	sheer
astonishment	astonish	astonishment
below	below	below
There	there	There
s	s	s
a	a	a
reason	reason	reason
that	that	that
this	this	this
isn	isn	isn
t	t	t
okay	okay	okay
,	,	,
even	even	even
though	though	though
it	it	it
s	s	s
legal	legal	legal
,	,	,
and	and	and
it	it	it
s	s	s
because	becaus	because
Trump	trump	Trump
not	not	not
only	onli	only
brags	brag	brag
incessantly	incess	incessantly
about	about	about
paying	pay	paying
as	as	a
little	littl	little
tax	tax	tax
as	as	a
possible	possibl	possible
,	,	,
but	but	but
he	he	he
also	also	also
said	said	said
that	that	that
doing	do	doing
so	so	so
makes	make	make
him	him	him
smart	smart	smart
.	.	.

Legal	legal	Legal
and	and	and
smart	smart	smart
do	do	do
not	not	not
mean	mean	mean
right	right	right
