Conservative	conserv	Conservative
Hollywood	hollywood	Hollywood
actor	actor	actor
,	,	,
James	jame	James
Woods	wood	Woods
,	,	,
is	is	is
known	known	known
for	for	for
his	his	his
brilliant	brilliant	brilliant
wit	wit	wit
and	and	and
his	his	his
great	great	great
sense	sens	sense
of	of	of
humor	humor	humor
on	on	on
Twitter	twitter	Twitter
,	,	,
but	but	but
today	today	today
he	he	he
really	realli	really
outdid	outdid	outdid
himself	himself	himself
when	when	when
he	he	he
posted	post	posted
two	two	two
hilarious	hilari	hilarious
videos	video	video
on	on	on
Twitter	twitter	Twitter
,	,	,
proving	prove	proving
,	,	,
beyond	beyond	beyond
a	a	a
shadow	shadow	shadow
of	of	of
a	a	a
doubt	doubt	doubt
,	,	,
that	that	that
liberalism	liber	liberalism
really	realli	really
is	is	is
truly	truli	truly
a	a	a
mental	mental	mental
disorder	disord	disorder
.	.	.
His	his	His
first	first	first
video	video	video
was	was	wa
a	a	a
retweet	retweet	retweet
of	of	of
Democrat	democrat	Democrat
Rep	rep	Rep
.	.	.
Hank	hank	Hank
Johnson	johnson	Johnson
,	,	,
who	who	who
,	,	,
in	in	in
2010	2010	2010
actually	actual	actually
questioned	question	questioned
Admiral	admir	Admiral
Robert	robert	Robert
Willard	willard	Willard
,	,	,
commander	command	commander
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Pacific	pacif	Pacific
Command	command	Command
,	,	,
about	about	about
a	a	a
proposal	propos	proposal
to	to	to
move	move	move
8	8	8
,	,	,
000	000	000
Marines	marin	Marines
from	from	from
the	the	the
Japanese	japanes	Japanese
island	island	island
of	of	of
Okinawa	okinawa	Okinawa
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Pacific	pacif	Pacific
island	island	island
territory	territori	territory
of	of	of
Guam	guam	Guam
.	.	.
Johnson	johnson	Johnson
expressed	express	expressed
his	his	his
concern	concern	concern
over	over	over
moving	move	moving
too	too	too
many	mani	many
US	us	US
troops	troop	troop
to	to	to
the	the	the
very	veri	very
small	small	small
island	island	island
of	of	of
Guam	guam	Guam
because	becaus	because
too	too	too
many	mani	many
people	peopl	people
on	on	on
the	the	the
island	island	island
may	may	may
cause	caus	cause
it	it	it
to	to	to
tip	tip	tip
over	over	over
and	and	and
capsize	capsiz	capsize
.	.	.
Here	here	Here
is	is	is
the	the	the
transcript	transcript	transcript
of	of	of
the	the	the
unbelievable	unbeliev	unbelievable
exchange	exchang	exchange
between	between	between
Democrat	democrat	Democrat
Rep	rep	Rep
.	.	.
Hank	hank	Hank
Johnson	johnson	Johnson
and	and	and
Admiral	admir	Admiral
Rober	rober	Rober
Willard	willard	Willard
Johnson	johnson	Johnson
This	this	This
is	is	is
a	a	a
n	n	n
island	island	island
that	that	that
at	at	at
its	it	it
widest	widest	widest
level	level	level
is	is	is
what	what	what
twelve	twelv	twelve
miles	mile	mile
from	from	from
shore	shore	shore
to	to	to
shore	shore	shore
?	?	?
And	and	And
at	at	at
its	it	it
smallest	smallest	smallest
level	level	level
uh	uh	uh
,	,	,
smallest	smallest	smallest
location	locat	location
it	it	it
s	s	s
seven	seven	seven
miles	mile	mile
between	between	between
one	one	one
shore	shore	shore
and	and	and
the	the	the
other	other	other
?	?	?
Is	is	Is
that	that	that
correct	correct	correct
?	?	?
Willard	willard	Willard
I	i	I
don	don	don
t	t	t
have	have	have
the	the	the
exact	exact	exact
dimensions	dimens	dimension
,	,	,
but	but	but
to	to	to
your	your	your
point	point	point
,	,	,
sir	sir	sir
,	,	,
I	i	I
think	think	think
Guam	guam	Guam
is	is	is
a	a	a
small	small	small
island	island	island
.	.	.
Johnson	johnson	Johnson
Very	veri	Very
small	small	small
island	island	island
,	,	,
about	about	about
twenty	twenti	twenty
-four	-four	-four
miles	mile	mile
,	,	,
if	if	if
I	i	I
recall	recal	recall
,	,	,
long	long	long
,	,	,
twenty	twenti	twenty
-four	-four	-four
miles	mile	mile
long	long	long
,	,	,
about	about	about
seven	seven	seven
miles	mile	mile
wide	wide	wide
at	at	at
the	the	the
least	least	least
widest	widest	widest
place	place	place
on	on	on
the	the	the
island	island	island
and	and	and
about	about	about
twelve	twelv	twelve
miles	mile	mile
wide	wide	wide
on	on	on
the	the	the
widest	widest	widest
part	part	part
of	of	of
the	the	the
island	island	island
,	,	,
and	and	and
I	i	I
don	don	don
t	t	t
know	know	know
how	how	how
many	mani	many
square	squar	square
miles	mile	mile
that	that	that
is	is	is
.	.	.
Do	do	Do
you	you	you
happen	happen	happen
to	to	to
know	know	know
?	?	?
Willard	willard	Willard
I	i	I
don	don	don
t	t	t
have	have	have
that	that	that
figure	figur	figure
with	with	with
me	me	me
,	,	,
sir	sir	sir
,	,	,
I	i	I
can	can	can
certainly	certain	certainly
supply	suppli	supply
it	it	it
to	to	to
you	you	you
if	if	if
you	you	you
like	like	like
.	.	.
Johnson	johnson	Johnson
Yeah	yeah	Yeah
,	,	,
my	my	my
fear	fear	fear
is	is	is
that	that	that
the	the	the
whole	whole	whole
island	island	island
will	will	will
become	becom	become
so	so	so
overly	over	overly
populated	popul	populated
that	that	that
it	it	it
will	will	will
tip	tip	tip
over	over	over
and	and	and
capsize	capsiz	capsize
.	.	.
Willard	willard	Willard
We	we	We
don	don	don
t	t	t
anticipate	anticip	anticipate
that	that	that
the	the	the
Guam	guam	Guam
population	popul	population
I	i	I
think	think	think
currently	current	currently
about	about	about
175	175	175
,	,	,
000	000	000
and	and	and
again	again	again
with	with	with
8	8	8
,	,	,
000	000	000
Marines	marin	Marines
and	and	and
their	their	their
families	famili	family
,	,	,
it	it	it
s	s	s
an	an	an
addition	addit	addition
of	of	of
about	about	about
25	25	25
,	,	,
000	000	000
more	more	more
into	into	into
the	the	the
population	popul	population
.	.	.
How	how	How
the	the	the
Admiral	admir	Admiral
was	was	wa
able	abl	able
to	to	to
keep	keep	keep
a	a	a
straight	straight	straight
face	face	face
during	dure	during
this	this	this
question	question	question
and	and	and
answer	answer	answer
session	session	session
is	is	is
beyond	beyond	beyond
our	our	our
comprehension	comprehens	comprehension
.	.	.
Here	here	Here
is	is	is
what	what	what
Woods	wood	Woods
had	had	had
to	to	to
say	say	say
about	about	about
the	the	the
tweet	tweet	tweet
from	from	from
Based	base	Based
Monitored	monitor	Monitored
My	my	My
favorite	favorit	favorite
#LiberalTribute	#liberaltribut	#LiberalTribute
video	video	video
ever	ever	ever
My	my	My
favorite	favorit	favorite
#LiberalTribute	#liberaltribut	#LiberalTribute
video	video	video
ever	ever	ever
https://t.co/afHPsh9flM	https://t.co/afhpsh9flm	https://t.co/afHPsh9flM
James	jame	James
Woods	wood	Woods
@RealJamesWoods	@realjameswood	@RealJamesWoods
December	decemb	December
10	10	10
